% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 17:47:40
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 213627.328757; -213605.155635; -89.1744872483; 3077.81801262
1009.000818256205; 211741.883638; -211719.903911; -89.1744454788; 3050.80784236
1018.00163651241; 209885.223512; -209863.409941; -89.173943371; 3025.89582455
1027.002454768615; 208062.623513; -208041.048276; -89.1748776069; 2996.22759317
1036.00327302482; 206268.56927; -206247.222824; -89.1756999863; 2967.43178826
1045.004091281025; 204507.69574; -204486.482739; -89.1747500228; 2945.48974737
1054.004909537231; 202776.568993; -202755.498152; -89.1740174558; 2923.14912492
1063.005727793436; 201074.26857; -201053.397193; -89.1744655715; 2897.0367983
1072.006546049641; 199402.587175; -199381.869996; -89.1740782985; 2874.29938729
1081.007364305846; 197759.650909; -197739.05699; -89.1731253058; 2853.90614761
1090.008182562051; 196141.989041; -196121.566058; -89.1731755483; 2830.38936417
1099.009000818256; 194551.836641; -194531.589172; -89.1733775592; 2806.75711151
1108.009819074461; 192986.390596; -192966.270936; -89.1726552916; 2786.60509257
1117.010637330666; 191446.23413; -191426.260416; -89.1723529314; 2765.3764502
1126.011455586872; 189930.291747; -189910.496998; -89.1727868094; 2742.04109859
1135.012273843077; 188435.012963; -188415.389793; -89.1731175271; 2719.3660744
1144.013092099282; 186968.503986; -186949.00831; -89.1725838545; 2699.94378773
1153.013910355487; 185519.628427; -185500.280819; -89.1725213682; 2679.22324919
1162.014728611692; 184094.697183; -184075.498158; -89.1725191892; 2658.65194872
1171.015546867897; 182690.048607; -182670.994643; -89.1724867855; 2638.4697411
1180.016365124102; 181311.294223; -181292.370518; -89.1721931851; 2619.48621596
1189.017183380307; 179951.056943; -179932.26626; -89.1719943061; 2600.45885454
1198.018001636513; 178608.768637; -178590.097651; -89.171540073; 2582.47740005
1207.018819892718; 177294.01778; -177275.490091; -89.1716710217; 2563.06229476
1216.019638148923; 175993.71277; -175975.328987; -89.1718550326; 2543.69922042
1225.020456405128; 174714.218711; -174695.936745; -89.1711330491; 2527.40767679
1234.021274661333; 173449.945158; -173431.76594; -89.1704561549; 2511.16763861
1243.022092917538; 172203.483228; -172185.446233; -89.1707240009; 2492.31666261
1252.022911173743; 170976.50039; -170958.62586; -89.1715095384; 2472.2145964
1261.023729429948; 169775.109121; -169757.255608; -89.1690696825; 2462.07207668
1270.024547686153; 168578.53063; -168560.860799; -89.1704290628; 2440.72012677
1279.025365942358; 167398.830247; -167381.280195; -89.1703374814; 2423.90771943
1288.026184198563; 166240.166338; -166222.737575; -89.170334177; 2407.13997759
1297.027002454769; 165097.437152; -165080.124846; -89.1702517839; 2390.83080106
1306.027820710974; 163970.239116; -163953.045404; -89.1702631862; 2374.47486593
1315.028638967179; 162856.297406; -162839.234826; -89.1706115958; 2357.35335872
1324.029457223384; 161758.695853; -161741.734025; -89.1702625829; 2342.45090032
1333.030275479589; 160677.538137; -160660.678836; -89.1699947964; 2327.54541543
1342.031093735794; 159611.307573; -159594.569343; -89.1702230723; 2311.46436797
1351.031911991999; 158554.732078; -158538.110729; -89.1703756451; 2295.74097179
1360.032730248204; 157518.001464; -157501.472619; -89.1699671782; 2281.85287776
1369.03354850441; 156493.455261; -156477.04237; -89.170182056; 2266.42417114
1378.034366760615; 155470.697188; -155454.439836; -89.171408652; 2248.28413636
1387.03518501682; 154477.726142; -154461.484874; -89.1691634019; 2239.97746555
1396.036003273025; 153491.850171; -153475.696835; -89.1687583864; 2226.76669734
1405.03682152923; 152516.100258; -152500.066804; -89.1692047379; 2211.42311387
1414.037639785435; 151555.887478; -151539.961248; -89.1693675946; 2197.06967857
1423.03845804164; 150603.068287; -150587.253954; -89.1696765159; 2182.44504693
1432.039276297845; 149666.239245; -149650.512025; -89.1693812559; 2169.64032822
1441.04009455405; 148737.410613; -148721.756196; -89.1687175817; 2157.89799892
1450.040912810256; 147823.992435; -147808.445726; -89.1690321898; 2143.83454461
1459.041731066461; 146921.262716; -146905.816723; -89.1691860387; 2130.34817649
1468.042549322666; 146026.989064; -146011.627396; -89.1689256557; 2118.04475437
1477.043367578871; 145144.801733; -145129.536635; -89.1690279856; 2104.98996638
1486.044185835076; 144273.62448; -144258.457747; -89.1692117672; 2091.89275461
1495.045004091281; 143407.71784; -143392.550715; -89.1666960194; 2085.63392211
1504.045822347486; 142557.401621; -142542.374996; -89.1680938083; 2069.78965714
1513.046640603691; 141723.291577; -141708.340725; -89.1677556206; 2058.51575867
1522.047458859896; 140892.264904; -140877.377085; -89.1670659802; 2048.14088973
1531.048277116101; 140072.54278; -140057.759886; -89.1675815486; 2034.96438581
1540.049095372307; 139262.051722; -139247.350943; -89.1674833278; 2023.42827132
1549.049913628512; 138459.395021; -138444.777083; -89.167429644; 2011.89562162
1558.050731884717; 137665.53697; -137651.024026; -89.16803418; 1998.90814154
1567.051550140922; 136882.907454; -136868.458041; -89.1674891165; 1988.84626443
1576.052368397127; 136106.656876; -136092.284496; -89.1673477487; 1977.90358182
1585.053186653332; 135340.106469; -135325.786675; -89.1665209583; 1968.71681051
1594.054004909537; 134588.163477; -134573.944; -89.1671273677; 1956.3544358
1603.054823165742; 133835.708422; -133821.551326; -89.1666245877; 1946.59113597
1612.055641421947; 133095.07851; -133081.017867; -89.1671601651; 1934.57491335
1621.056459678153; 132368.309267; -132354.329954; -89.1672946961; 1923.70042134
1630.057277934358; 131638.080659; -131624.153119; -89.1665368599; 1914.82897135
1639.058096190563; 130923.110743; -130909.237709; -89.1659011689; 1905.88134229
1648.058914446768; 130215.293776; -130201.508422; -89.1662833681; 1894.70896326
1657.059732702973; 129513.991401; -129500.256956; -89.1655741077; 1886.10764444
1666.060550959178; 128819.257576; -128805.605826; -89.1658498756; 1875.37033736
1675.061369215383; 128135.404244; -128121.816232; -89.1655815336; 1866.01472132
1684.062187471588; 127457.89147; -127444.369849; -89.1654129005; 1856.52333656
1693.063005727794; 126783.787666; -126770.340145; -89.1654932655; 1846.52665761
1702.063823983999; 126120.679851; -126107.294013; -89.1652230684; 1837.46360766
1711.064642240204; 125463.232141; -125449.907824; -89.1649643635; 1828.45161613
1720.065460496409; 124811.966723; -124798.714827; -89.1650670231; 1818.73673985
1729.066278752614; 124167.313389; -124154.116722; -89.1646488501; 1810.24913473
1738.067097008819; 123532.486272; -123519.377928; -89.1653118492; 1799.56459336
1747.067915265024; 122902.345267; -122889.293122; -89.1649703146; 1791.11751212
1756.068733521229; 122278.207209; -122265.214267; -89.164743117; 1782.50645667
1765.069551777434; 121659.035734; -121646.107608; -89.1647116094; 1773.54741037
1774.070370033639; 121048.330417; -121035.44293; -89.1639242266; 1766.3078229
1783.071188289844; 120442.338268; -120429.538827; -89.1646916408; 1755.85232618
1792.07200654605; 119842.173272; -119829.421577; -89.1641659743; 1748.20229743
1801.072824802255; 119248.840738; -119236.143399; -89.1638769621; 1740.14850368
1810.07364305846; 118661.142921; -118648.498669; -89.1635628931; 1732.22284114
1819.074461314665; 118078.95833; -118066.378791; -89.1636520748; 1723.54030588
1828.07527957087; 117505.867983; -117493.345716; -89.1635253887; 1715.43495792
1837.076097827075; 116935.474208; -116923.009378; -89.1634137855; 1707.33573384
1846.07691608328; 116369.859372; -116357.45461; -89.1634053948; 1699.09440807
1855.077734339485; 115810.642376; -115798.313447; -89.1639551918; 1689.81818948
1864.078552595691; 115258.801187; -115246.505291; -89.163079678; 1683.52718861
1873.079370851896; 114708.195306; -114695.954298; -89.1629483446; 1675.7476869
1882.080189108101; 114165.663981; -114153.48132; -89.1629638395; 1667.79107446
1891.081007364306; 113625.631885; -113613.499007; -89.162692813; 1660.43944476
1900.081825620511; 113091.396595; -113079.313275; -89.162433706; 1653.14390945
1909.082643876716; 112563.393308; -112551.365979; -89.1624188382; 1645.45486064
