% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 20:06:50
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 40642.6165667; -40637.9317383; -89.1300436771; 617.077614371
1009.000818256205; 40284.4477552; -40279.8015862; -89.1297976052; 611.812516935
1018.00163651241; 39931.0755275; -39926.4667405; -89.1294793659; 606.667514593
1027.002454768615; 39584.4606349; -39579.8899349; -89.1292965436; 601.527726515
1036.00327302482; 39244.000864; -39239.4659014; -89.1289528563; 596.58945981
1045.004091281025; 38909.1072435; -38904.6088319; -89.1287448039; 591.639665431
1054.004909537231; 38580.234028; -38575.7778788; -89.1291588602; 586.360140607
1063.005727793436; 38256.7980729; -38252.3707069; -89.1283147789; 582.007953727
1072.006546049641; 37939.012994; -37934.6206513; -89.1281405815; 577.288753822
1081.007364305846; 37625.5098601; -37621.1512647; -89.1278855504; 572.685878389
1090.008182562051; 37318.3278372; -37314.0029783; -89.1276988253; 568.131962455
1099.009000818256; 37015.6353452; -37011.3458849; -89.1277313354; 563.502787254
1108.009819074461; 36718.1496711; -36713.8933681; -89.1275969647; 559.060155119
1117.010637330666; 36424.9212512; -36420.697255; -89.127422487; 554.706449098
1126.011455586872; 36136.3755729; -36132.180044; -89.126902909; 550.639916028
1135.012273843077; 35853.1504891; -35848.9875649; -89.126873723; 546.342446171
1144.013092099282; 35573.7992501; -35569.6659577; -89.1265773783; 542.2695649
1153.013910355487; 35298.4566388; -35294.3584801; -89.1269121782; 537.866142859
1162.014728611692; 35027.2555537; -35023.1842139; -89.1264108962; 534.04008918
1171.015546867897; 34761.3586377; -34757.3148802; -89.1260519016; 530.203893546
1180.016365124102; 34498.4747342; -34494.4612709; -89.126020746; 526.212963392
1189.017183380307; 34239.6831251; -34235.6994801; -89.1259888415; 522.284620595
1198.018001636513; 33985.3341613; -33981.3791399; -89.1258820032; 518.46820269
1207.018819892718; 33734.4944962; -33730.5673189; -89.1257320833; 514.729736014
1216.019638148923; 33486.776082; -33482.8738282; -89.1252928978; 511.206642298
1225.020456405128; 33243.4553671; -33239.5804859; -89.125182186; 507.556355598
1234.021274661333; 33003.1086994; -32999.2548643; -89.1243899218; 504.34307578
1243.022092917538; 32765.925867; -32762.0976197; -89.1241488257; 500.856383805
1252.022911173743; 32532.9799712; -32529.1801924; -89.1242932993; 497.213571395
1261.023729429948; 32303.319406; -32299.5371391; -89.1232130571; 494.312557769
1270.024547686153; 32076.5749914; -32072.8266363; -89.1240732423; 490.361352003
1279.025365942358; 31852.5256054; -31848.8000319; -89.1236730454; 487.158717814
1288.026184198563; 31632.3014269; -31628.5987849; -89.1233384456; 483.975272091
1297.027002454769; 31414.7405366; -31411.0644235; -89.1234654106; 480.576977646
1306.027820710974; 31200.2390412; -31196.5838263; -89.1229605953; 477.570437217
1315.028638967179; 30988.5185042; -30984.8878658; -89.122933233; 474.344507898
1324.029457223384; 30779.7318033; -30776.1253198; -89.1228959735; 471.168600498
1333.030275479589; 30574.1668928; -30570.5838027; -89.1228111137; 468.06713973
1342.031093735794; 30371.4270029; -30367.8685903; -89.1229242682; 464.903374089
1351.031911991999; 30170.687404; -30167.151831; -89.1228398902; 461.875025362
1360.032730248204; 29972.7949465; -29969.2793068; -89.1224335007; 459.058112917
1369.03354850441; 29777.6908926; -29774.1971155; -89.1223050623; 456.136676791
1378.034366760615; 29585.1401217; -29581.6695267; -89.122379404; 453.148789819
1387.03518501682; 29395.2143023; -29391.7634399; -89.1220554865; 450.405904265
1396.036003273025; 29207.4915213; -29204.0624559; -89.122024687; 447.545233268
1405.03682152923; 29021.9346947; -29018.5261074; -89.1218565033; 444.787131439
1414.037639785435; 28838.693344; -28835.3032253; -89.1214606171; 442.178029856
1423.03845804164; 28657.8029007; -28654.4305517; -89.1210047652; 439.632452645
1432.039276297845; 28479.6166861; -28476.2671416; -89.121245938; 436.779076334
1441.04009455405; 28303.3803865; -28300.0474946; -89.1207082916; 434.341783515
1450.040912810256; 28129.7285282; -28126.4171762; -89.120853076; 431.605854488
1459.041731066461; 27957.6511995; -27954.3570798; -89.1204491897; 429.162655064
1468.042549322666; 27787.5894045; -27784.3145287; -89.1203427598; 426.603739673
1477.043367578871; 27619.6773238; -27616.4217649; -89.1202793384; 424.056473202
1486.044185835076; 27454.0553733; -27450.8176295; -89.1200465366; 421.625146896
1495.045004091281; 27290.3958424; -27287.1705343; -89.1191087531; 419.558367003
1504.045822347486; 27128.2660879; -27125.0604898; -89.119184137; 417.030120794
1513.046640603691; 26968.7974336; -26965.6159133; -89.1199078718; 414.238065632
1522.047458859896; 26810.9744924; -26807.80795; -89.1194014993; 412.050850271
1531.048277116101; 26654.7473858; -26651.5985889; -89.1193030275; 409.695637348
1540.049095372307; 26500.6309169; -26497.4978454; -89.1189538691; 407.48827308
1549.049913628512; 26348.0696415; -26344.9540904; -89.1188808544; 405.175977736
1558.050731884717; 26197.1354974; -26194.037158; -89.1187902956; 402.896341653
1567.051550140922; 26048.0827292; -26045.0011131; -89.1186607002; 400.662908798
1576.052368397127; 25900.4720204; -25897.4062264; -89.1184249933; 398.498947157
1585.053186653332; 25755.1789084; -25752.1288503; -89.1182133177; 396.358640581
1594.054004909537; 25610.9615196; -25607.9260723; -89.1178546793; 394.29950192
1603.054823165742; 25468.5507742; -25465.529655; -89.1174820565; 392.272598456
1612.055641421947; 25327.2080796; -25324.2034675; -89.1174439862; 390.11243326
1621.056459678153; 25187.6335572; -25184.6415176; -89.116855487; 388.221255775
1630.057277934358; 25050.1370551; -25047.1602082; -89.1166863734; 386.17593256
1639.058096190563; 24913.7959145; -24910.8336511; -89.1164449295; 384.179053303
1648.058914446768; 24778.9419713; -24775.9948386; -89.1163094336; 382.158152708
1657.059732702973; 24645.3385719; -24642.4020827; -89.1155187394; 380.437697103
1666.060550959178; 24513.373124; -24510.4501184; -89.1151796434; 378.545674341
1675.061369215383; 24382.8792355; -24379.966658; -89.1143991537; 376.862640543
1684.062187471588; 24253.5762752; -24250.6767824; -89.1140382933; 375.016863714
1693.063005727794; 24125.4941078; -24122.6041237; -89.1131474321; 373.411483893
1702.063823983999; 23998.5770297; -23995.6975709; -89.1124260254; 371.749204564
1711.064642240204; 23873.4649751; -23870.5939067; -89.1114008336; 370.238276825
1720.065460496409; 23749.7878326; -23746.922632; -89.1100010578; 368.900400974
1729.066278752614; 23627.1931545; -23624.3327327; -89.1084394021; 367.640069597
1738.067097008819; 23505.9917642; -23503.1333518; -89.1064577036; 366.56707864
1747.067915265024; 23386.2075063; -23383.3479966; -89.104000371; 365.701964907
1756.068733521229; 23268.2749487; -23265.4158247; -89.1017931096; 364.754071106
1765.069551777434; 23151.8311192; -23148.9735605; -89.0997837154; 363.740543331
1774.070370033639; 23036.6720195; -23033.8224437; -89.0987977576; 362.327637498
1783.071188289844; 22922.9125132; -22920.0763234; -89.0986887776; 360.581990203
1792.07200654605; 22809.7608024; -22806.9475309; -89.1001140565; 358.23474928
1801.072824802255; 22697.464104; -22694.6745178; -89.1016963672; 355.844345653
1810.07364305846; 22585.9732238; -22583.2107757; -89.1038729098; 353.238536408
1819.074461314665; 22475.8478129; -22473.109417; -89.1055995971; 350.838946266
1828.07527957087; 22366.2233573; -22363.5082579; -89.1072323377; 348.490467246
1837.076097827075; 22257.4916399; -22254.7969334; -89.1084216424; 346.334357322
1846.07691608328; 22149.88518; -22147.208754; -89.1092951689; 344.322308594
1855.077734339485; 22043.3359543; -22040.6755748; -89.1098257075; 342.461900948
1864.078552595691; 21937.7607593; -21935.1153544; -89.110201143; 340.677969914
1873.079370851896; 21833.3133562; -21830.6840603; -89.1107951757; 338.829637466
1882.080189108101; 21729.4134883; -21726.7995396; -89.1112770341; 337.034500008
1891.081007364306; 21627.2308217; -21624.6299783; -89.111415942; 335.397167115
1900.081825620511; 21525.6948006; -21523.1061775; -89.1114175214; 333.821944596
1909.082643876716; 21425.1345031; -21422.5593455; -89.1116542202; 332.173947129
1918.083462132921; 21325.3901006; -21322.8269116; -89.1116507967; 330.628791591
1927.084280389126; 21226.582595; -21224.0318476; -89.1117491738; 329.060438127
1936.085098645332; 21128.6242209; -21126.0846714; -89.1116489852; 327.578801194
1945.085916901537; 21031.6084637; -21029.080439; -89.1116250326; 326.083456952
1954.086735157742; 20935.6086435; -20933.0924312; -89.1116732954; 324.577399929
1963.087553413947; 20840.648062; -20838.1437576; -89.1117610529; 323.073250624
1972.088371670152; 20746.2030055; -20743.7099468; -89.1117425753; 321.615847265
1981.089189926357; 20652.6967366; -20650.213757; -89.1115355039; 320.240907244
1990.090008182562; 20560.1760136; -20557.7039029; -89.1114898325; 318.822668372
1999.090826438767; 20468.3297705; -20465.8696678; -89.1116638895; 317.336252816
2008.091644694972; 20377.7974498; -20375.3474435; -89.1115215493; 315.983279471
2017.092462951177; 20287.5277297; -20285.0854679; -89.1109556094; 314.783900393
2026.093281207382; 20198.2432691; -20195.8136249; -89.1112973655; 313.278087575
2035.094099463588; 20109.8681196; -20107.4484786; -89.1111821228; 311.947818501
2044.094917719793; 20022.2517888; -20019.8436471; -89.1113587171; 310.526993393
2053.095735975998; 19935.2948462; -19932.8958284; -89.1111114359; 309.264397917
2062.096554232203; 19849.4162099; -19847.0265016; -89.1109206972; 307.998198499
2071.097372488408; 19763.7338125; -19761.3547603; -89.1109843758; 306.646725568
2080.098190744613; 19679.1884133; -19676.8189294; -89.1108701039; 305.374193419
2089.099009000818; 19595.2000704; -19592.8388411; -89.1105200543; 304.190597303
2098.099827257023; 19511.8524754; -19509.5019495; -89.110644864; 302.854233846
2107.100645513228; 19429.2309748; -19426.8907664; -89.1107141265; 301.548335325
2116.101463769433; 19347.3915474; -19345.0602378; -89.1105312908; 300.339891336
2125.102282025638; 19266.1766899; -19263.8545322; -89.110409765; 299.120007931
2134.103100281844; 19185.7695373; -19183.4564673; -89.1102936417; 297.910514725
2143.103918538049; 19105.9266138; -19103.6230852; -89.1102772496; 296.676204812
2152.104736794254; 19026.8056001; -19024.5103349; -89.1100298418; 295.529764992
2161.105555050459; 18948.30043; -18946.0140357; -89.1099131536; 294.348986275
2170.106373306664; 18870.4760326; -18868.1989308; -89.1098939357; 293.146365583
2179.107191562869; 18793.2252231; -18790.9559308; -89.1095972322; 292.04360896
2188.108009819074; 18716.2544943; -18713.9942658; -89.1095518114; 290.862332103
2197.108828075279; 18640.4587775; -18638.2071384; -89.1094403168; 289.720688047
2206.109646331484; 18564.8568597; -18562.6131653; -89.1092045266; 288.622030234
2215.110464587689; 18490.2134035; -18487.978303; -89.1091193502; 287.489056367
2224.111282843895; 18416.3134155; -18414.0863289; -89.1089354338; 286.399154946
2233.1121011001; 18342.4765799; -18340.2583436; -89.1089196065; 285.255955869
2242.112919356305; 18269.7363746; -18267.5262051; -89.1087724804; 284.171633199
2251.11373761251; 18197.2924446; -18195.0901243; -89.1085872577; 283.103644058
2260.114555868715; 18125.4631982; -18123.2682477; -89.1083184582; 282.071187371
2269.11537412492; 18054.193402; -18052.007587; -89.1084214671; 280.929621269
2278.116192381126; 17983.5929704; -17981.4151556; -89.1083093886; 279.866228372
2287.117010637331; 17913.5442899; -17911.3743876; -89.1081921071; 278.812772536
2296.117828893536; 17844.0295781; -17841.866333; -89.1078284949; 277.844048976
2305.118647149741; 17775.0185022; -17772.8636431; -89.1078325499; 276.768240661
2314.119465405946; 17706.7176539; -17704.5714882; -89.1079184493; 275.678210405
2323.120283662151; 17638.5174734; -17636.3789566; -89.1077896176; 274.656048618
2332.121101918356; 17571.1308082; -17568.9997043; -89.1076311031; 273.655351674
2341.121920174561; 17504.38907; -17502.2648873; -89.1073844845; 272.691241256
2350.122738430767; 17437.8611052; -17435.7450023; -89.1073859008; 271.654407936
2359.123556686972; 17372.0897171; -17369.9804913; -89.1071522168; 270.700637716
2368.124374943177; 17306.3955694; -17304.2936968; -89.107019748; 269.716965814
2377.125193199382; 17241.3413452; -17239.2475765; -89.1070630085; 268.690092047
2386.126011455587; 17177.0171407; -17174.9304748; -89.1069114169; 267.733100327
2395.126829711792; 17113.1549418; -17111.0764568; -89.1070022525; 266.710571737
2404.127647967997; 17049.7806105; -17047.7084858; -89.1067139678; 265.808651138
2413.128466224202; 16986.7327913; -16984.6682668; -89.1067005632; 264.829700095
2422.129284480407; 16924.1126334; -16922.0554157; -89.1066345512; 263.872923687
2431.130102736613; 16862.0563193; -16860.0049361; -89.1062622144; 263.014934673
2440.130920992818; 16800.3424572; -16798.2981673; -89.1061715893; 262.078890472
2449.131739249023; 16739.2759269; -16737.2382707; -89.1059967733; 261.177343408
2458.132557505228; 16678.5263207; -16676.4957592; -89.1059305986; 260.248748342
2467.133375761433; 16618.6009955; -16616.5776656; -89.1059165153; 259.317767925
2476.134194017638; 16558.4892133; -16556.4727132; -89.105808074; 258.41111608
2485.135012273843; 16499.0996462; -16497.089975; -89.1057182836; 257.5101374
2494.135830530048; 16440.089269; -16438.0852704; -89.1053799715; 256.686193233
2503.136648786253; 16381.3465242; -16379.3499264; -89.1054337926; 255.753631005
2512.137467042458; 16323.1953048; -16321.2046401; -89.105174251; 254.919678582
2521.138285298664; 16265.3555275; -16263.3716109; -89.105105374; 254.035943591
2530.139103554869; 16208.2772737; -16206.3000282; -89.1050395454; 253.163103331
2539.139921811074; 16151.2713934; -16149.2999858; -89.1047860435; 252.34415859
2548.140740067279; 16094.6454572; -16092.6810329; -89.104802311; 251.454877851
2557.141558323484; 16038.4393143; -16036.4804095; -89.10449586; 250.662512439
2566.142376579689; 15982.711999; -15980.7597601; -89.1044636593; 249.800539842
2575.143194835894; 15927.3135085; -15925.3680874; -89.1044753132; 248.931453873
2584.144013092099; 15872.4027124; -15870.4635931; -89.1043817245; 248.099164406
2593.144831348304; 15817.8991535; -15815.9654573; -89.1040954971; 247.326238201
2602.145649604509; 15763.8324059; -15761.9044199; -89.1038864665; 246.538362423
2611.146467860714; 15709.8481104; -15707.927178; -89.1039916588; 245.665236568
2620.14728611692; 15656.4245734; -15654.5090212; -89.1037220442; 244.903482215
2629.148104373125; 15603.2166049; -15601.30744; -89.103693225; 244.079031219
2638.14892262933; 15550.4112113; -15548.5079503; -89.1035620296; 243.288606678
2647.149740885535; 15498.0348655; -15496.1367476; -89.1032625633; 242.550163582
2656.15055914174; 15445.8861719; -15443.9935481; -89.1030509926; 241.791044849
2665.151377397945; 15394.4108755; -15392.5244546; -89.1030261454; 240.991922328
2674.15219565415; 15343.0313935; -15341.150391; -89.1028168643; 240.24363723
2683.153013910355; 15292.1228047; -15290.2477672; -89.1027507323; 239.464150621
2692.15383216656; 15241.3570173; -15239.4865222; -89.1023469455; 238.776592392
2701.154650422765; 15191.109382; -15189.2447062; -89.1022633222; 238.011563402
2710.15546867897; 15141.0869548; -15139.2278756; -89.1021320394; 237.262509923
2719.156286935176; 15091.3595441; -15089.5051112; -89.1017785565; 236.576369772
2728.157105191381; 15041.9545846; -15040.1054631; -89.1015940424; 235.850318744
2737.157923447586; 14992.9777358; -14991.1345847; -89.1015817406; 235.085604817
2746.158741703791; 14944.5743389; -14942.7354347; -89.1011653438; 234.435250027
2755.159559959996; 14896.202997; -14894.3699269; -89.101136405; 233.683971981
2764.160378216201; 14848.0915414; -14846.2635398; -89.1009268952; 232.983511568
2773.161196472407; 14800.3975985; -14798.575035; -89.1008198572; 232.262785456
2782.162014728612; 14753.1023589; -14751.2851461; -89.1007027435; 231.550732658
2791.162832984817; 14705.8811027; -14704.0693204; -89.1006069372; 230.834180049
2800.163651241022; 14659.0923352; -14657.2862843; -89.1005987456; 230.101844911
2809.164469497227; 14612.7220628; -14610.9212927; -89.1004907723; 229.401511047
2818.165287753432; 14566.348843; -14564.553452; -89.1004067076; 228.694878102
2827.166106009637; 14520.4577522; -14518.6679923; -89.100400355; 227.975987786
2836.166924265842; 14474.9571427; -14473.1726316; -89.1003097041; 227.284512219
2845.167742522047; 14429.3817029; -14427.602653; -89.1002699394; 226.578904318
2854.168560778252; 14384.3247715; -14382.5505981; -89.100097737; 225.914619298
2863.169379034458; 14339.4622852; -14337.6930469; -89.0999455459; 225.248110824
2872.170197290663; 14294.8685919; -14293.1041377; -89.099762393; 224.593310547
2881.171015546868; 14250.7061861; -14248.947315; -89.0997961427; 223.891061241
2890.171833803073; 14206.6652434; -14204.9113853; -89.0996876354; 223.226041205
2899.172652059278; 14163.1444321; -14161.3950658; -89.0994608714; 222.598256228
2908.173470315483; 14119.5397801; -14117.7955484; -89.0993960206; 221.928913718
2917.174288571689; 14076.5109671; -14074.7717075; -89.0993071303; 221.274428662
2926.175106827894; 14033.4719498; -14031.7368435; -89.0990046801; 220.671950781
2935.175925084099; 13990.9557673; -13989.2261201; -89.0990573929; 219.990527414
2944.176743340304; 13948.4964392; -13946.77034; -89.0986131001; 219.43105469
2953.177561596509; 13906.2135706; -13904.493244; -89.0987545892; 218.73154448
2962.178379852714; 13864.3594122; -13862.6436083; -89.0985825045; 218.114854222
2971.179198108919; 13822.7188639; -13821.0077243; -89.0984536442; 217.490846208
2980.180016365124; 13781.4204375; -13779.7141743; -89.0983913084; 216.856036546
2989.180834621329; 13740.261725; -13738.5597528; -89.0981780765; 216.25951708
2998.181652877534; 13699.4777412; -13697.780023; -89.0979660649; 215.668299737
3007.182471133739; 13658.8046333; -13657.1110723; -89.0977307587; 215.084078555
3016.183289389945; 13618.7217887; -13617.032782; -89.0976198001; 214.479267925
3025.18410764615; 13578.3580217; -13576.6733643; -89.0974438173; 213.8852854
3034.184925902355; 13538.4767956; -13536.7966192; -89.0973183031; 213.286733402
3043.18574415856; 13498.8717763; -13497.1960264; -89.0971866709; 212.693800144
3052.186562414765; 13459.4317803; -13457.7606267; -89.0971057522; 212.091373465
3061.18738067097; 13420.4759991; -13418.8083601; -89.0967475565; 211.561405266
3070.188198927175; 13381.3994561; -13379.7369292; -89.0968171984; 210.929137033
3079.18901718338; 13342.7522603; -13341.0936758; -89.0965831619; 210.37444092
3088.189835439585; 13304.1076635; -13302.453621; -89.0965116769; 209.781730352
3097.19065369579; 13265.8928949; -13264.243331; -89.0964370119; 209.196438449
3106.191471951995; 13228.0527144; -13226.4079772; -89.096470382; 208.592014334
3115.192290208201; 13189.9534856; -13188.3130403; -89.0963477613; 208.019455327
3124.193108464406; 13152.0806634; -13150.4453687; -89.0964693819; 207.394246987
3133.193926720611; 13114.8376928; -13113.2070354; -89.0964712113; 206.806546302
3142.194744976816; 13077.6165198; -13075.9900475; -89.0963481374; 206.247697573
3151.195563233021; 13040.5087088; -13038.8868969; -89.0963608274; 205.65958065
3160.196381489226; 13003.6670496; -13002.0492732; -89.0962081445; 205.113205378
3169.197199745431; 12967.1409667; -12965.5275167; -89.0961471124; 204.550872656
3178.198018001637; 12930.8724302; -12929.263395; -89.0961196128; 203.984958268
3187.198836257842; 12894.7178614; -12893.1127376; -89.0959542135; 203.45183799
3196.199654514047; 12858.5396027; -12856.9394235; -89.0960787815; 202.853067965
3205.200472770252; 12822.8408655; -12821.2443847; -89.0958680358; 202.337052542
3214.201291026457; 12787.2230435; -12785.6311817; -89.0959203829; 201.763342592
3223.202109282662; 12751.8994424; -12750.3115846; -89.0958083948; 201.23090999
3232.202927538867; 12716.6227871; -12715.0394149; -89.0958349244; 200.668340304
3241.203745795072; 12681.6718669; -12680.092498; -89.0957351511; 200.138895765
3250.204564051277; 12646.7996218; -12645.2245637; -89.0957259245; 199.590587367
3259.205382307483; 12612.1305476; -12610.5594438; -89.0956213391; 199.066462088
3268.206200563688; 12577.7144155; -12576.1474971; -89.0955919179; 198.529704927
3277.207018819893; 12543.5673424; -12542.0047465; -89.0956118091; 197.986364814
3286.207837076098; 12509.4380676; -12507.879258; -89.0954767147; 197.477163472
3295.208655332303; 12475.3795119; -12473.8253064; -89.0955814681; 196.916700983
3304.209473588508; 12441.7904248; -12440.2394875; -89.0953141548; 196.444556147
3313.210291844713; 12408.1845389; -12406.6373006; -89.0951708535; 195.944979951
3322.211110100918; 12374.8281247; -12373.2850772; -89.0951800583; 195.416241237
3331.211928357123; 12341.6766281; -12340.1370615; -89.0949881282; 194.934068879
3340.212746613328; 12308.8459021; -12307.3105714; -89.0950295203; 194.406623584
3349.213564869533; 12276.0501288; -12274.5180878; -89.0947928482; 193.939347535
3358.214383125739; 12243.3452421; -12241.8169659; -89.094699004; 193.442720248
3367.215201381944; 12210.9349657; -12209.4106924; -89.0946862924; 192.933352408
3376.216019638149; 12178.5725702; -12177.0512119; -89.0943514965; 192.493179095
3385.216837894354; 12146.4766881; -12144.9592941; -89.0943380114; 191.988733902
3394.217656150559; 12114.4913234; -12112.9777033; -89.0942716091; 191.497207121
3403.218474406764; 12082.721814; -12081.2115432; -89.0940856356; 191.034231109
3412.219292662969; 12051.0560759; -12049.549207; -89.0939184019; 190.568749096
3421.220110919174; 12019.4805711; -12017.9774381; -89.0938543851; 190.082859262
3430.220929175379; 11988.3223563; -11986.8219617; -89.0935044508; 189.663315231
