% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 20:45:38
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 40020.9514302; -40016.3717199; -89.1332042475; 605.431459311
1009.000818256205; 39667.3454628; -39662.7943941; -89.1320761184; 600.86310191
1018.00163651241; 39319.5359301; -39315.0233264; -89.1319378218; 595.689525824
1027.002454768615; 38978.1021503; -38973.628018; -89.1318685428; 590.563952563
1036.00327302482; 38643.1381111; -38638.7012783; -89.1317559215; 585.564798614
1045.004091281025; 38313.3723228; -38308.9697342; -89.1313989117; 580.80652267
1054.004909537231; 37989.1454732; -37984.780093; -89.1313941185; 575.894621339
1063.005727793436; 37670.5938736; -37666.2623504; -89.1311184607; 571.246776279
1072.006546049641; 37356.8341371; -37352.5376393; -89.1310118631; 566.558327983
1081.007364305846; 37048.9705461; -37044.7103619; -89.1311043187; 561.829454723
1090.008182562051; 36745.8831355; -36741.6547667; -89.1307921698; 557.43345331
1099.009000818256; 36447.8661554; -36443.6716384; -89.130746412; 552.941656167
1108.009819074461; 36154.8051291; -36150.6428682; -89.1305929919; 548.592493784
1117.010637330666; 35866.3398618; -35862.2102878; -89.1305379333; 544.249950249
1126.011455586872; 35582.0333327; -35577.9318658; -89.1300474154; 540.240358024
1135.012273843077; 35302.8372611; -35298.7692749; -89.1301860009; 535.915958221
1144.013092099282; 35027.9666912; -35023.9266991; -89.1297893342; 531.985750779
1153.013910355487; 34756.9532668; -34752.9440181; -89.1297338912; 527.903377316
1162.014728611692; 34490.0842394; -34486.101993; -89.1293201766; 524.09907041
1171.015546867897; 34227.389171; -34223.4407545; -89.1297055716; 519.877046875
1180.016365124102; 33968.7293509; -33964.8053998; -89.1291096173; 516.301565357
1189.017183380307; 33713.6515619; -33709.7577999; -89.1291900057; 512.377259981
1198.018001636513; 33462.2910927; -33458.4246593; -89.1289982848; 508.669063121
1207.018819892718; 33215.7830933; -33211.9405767; -89.1284803386; 505.222059921
1216.019638148923; 32972.3899807; -32968.5781678; -89.1287713064; 501.352550453
1225.020456405128; 32732.1727687; -32728.3822291; -89.1280238655; 498.126943031
