% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/24 17:09:37
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1189.017183380307; 31846.1160723; -31840.4653296; -88.9206348138; 599.896816393
1198.018001636513; 31609.9579418; -31604.3508418; -88.9208021638; 595.35591281
1207.018819892718; 31376.9957887; -31371.4303386; -88.9208337243; 590.950919736
1216.019638148923; 31147.7068866; -31142.1790613; -88.9205363274; 586.794162612
1225.020456405128; 30921.5509295; -30916.0652604; -88.9207348925; 582.426448408
1234.021274661333; 30699.1549234; -30693.7090114; -88.9207651633; 578.221265211
1243.022092917538; 30480.2129827; -30474.80607; -88.9207809173; 574.089097107
1252.022911173743; 30263.8684773; -30258.503075; -88.9210959282; 569.847929302
1261.023729429948; 30050.1747844; -30044.8489043; -88.9212617334; 565.737278987
1270.024547686153; 29840.0379727; -29834.7501002; -88.9213397328; 561.740538181
1279.025365942358; 29632.4614877; -29627.2088271; -88.9211781807; 557.916433642
1288.026184198563; 29428.3244267; -29423.1131209; -88.9217129788; 553.798332075
1297.027002454769; 29226.5842312; -29221.4066649; -88.9215061209; 550.107373627
1306.027820710974; 29027.8007965; -29022.660301; -88.921700693; 546.267284448
1315.028638967179; 28831.5694163; -28826.4644678; -88.9217850241; 542.532023896
1324.029457223384; 28637.8380178; -28632.7668037; -88.921724314; 538.916862066
1333.030275479589; 28446.7432279; -28441.7102295; -88.9221929079; 535.088161651
1342.031093735794; 28258.0197291; -28253.0204793; -88.9222316123; 531.519157369
1351.031911991999; 28072.4220386; -28067.4554763; -88.9222156289; 528.035987287
1360.032730248204; 27888.7281851; -27883.7942753; -88.9222323577; 524.572604574
1369.03354850441; 27707.5472397; -27702.6490325; -88.9226335656; 520.970696597
1378.034366760615; 27528.7053801; -27523.8367999; -88.9224133393; 517.713818791
1387.03518501682; 27352.1347355; -27347.3003007; -88.9227385438; 514.237957366
1396.036003273025; 27177.8964132; -27173.0929447; -88.9227575798; 510.953135388
1405.03682152923; 27005.8728257; -27001.098997; -88.9226713368; 507.759678132
1414.037639785435; 26836.6605903; -26831.9196476; -88.9230092079; 504.419951424
1423.03845804164; 26668.6724704; -26663.9586122; -88.9227132499; 501.400189716
1432.039276297845; 26503.2479779; -26498.565419; -88.922949882; 498.180587312
1441.04009455405; 26339.8166732; -26335.1638195; -88.9230460125; 495.064393351
1450.040912810256; 26178.1107451; -26173.4863346; -88.9230317025; 492.031620147
1459.041731066461; 26018.9223443; -26014.3251933; -88.9229307458; 489.085426466
1468.042549322666; 25861.4315644; -25856.8651287; -88.9232712866; 485.971343631
1477.043367578871; 25705.9942046; -25701.4555684; -88.9233133094; 483.031615173
1486.044185835076; 25551.850198; -25547.3402579; -88.9234899817; 480.056379255
1495.045004091281; 25399.725937; -25395.2402655; -88.923179964; 477.335746102
1504.045822347486; 25249.4048392; -25244.9471711; -88.9233557731; 474.433307804
1513.046640603691; 25101.4520993; -25097.0206595; -88.9233688427; 471.647567519
1522.047458859896; 24954.7286633; -24950.3223074; -88.9232688319; 468.934237672
1531.048277116101; 24809.4574324; -24805.0784335; -88.9234786077; 466.113569522
1540.049095372307; 24666.2886992; -24661.9365532; -88.9236741365; 463.339588197
1549.049913628512; 24524.6318249; -24520.3043642; -88.9236357909; 460.695072101
1558.050731884717; 24384.6108224; -24380.3076662; -88.9235854522; 458.086197737
1567.051550140922; 24246.3703641; -24242.0924628; -88.9236936516; 455.443450714
1576.052368397127; 24109.5978258; -24105.3399675; -88.9231765066; 453.091888907
1585.053186653332; 23974.1378631; -23969.9068656; -88.9235500702; 450.389907703
