% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/12 17:08:26
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 33080.9815183; -33076.9651592; -89.1071696111; 515.474447142
1009.000818256205; 32788.6328432; -32784.6473062; -89.1066459611; 511.218646087
1018.00163651241; 32501.2239414; -32497.2649706; -89.105700336; 507.273899297
1027.002454768615; 32218.7682066; -32214.8385022; -89.1051147243; 503.19463779
1036.00327302482; 31941.3101192; -31937.4052733; -89.1040836976; 499.43598772
1045.004091281025; 31669.1096496; -31665.2298278; -89.1031292884; 495.707318179
1054.004909537231; 31400.8426805; -31396.9937235; -89.1028961643; 491.635959196
1063.005727793436; 31137.6340689; -31133.8093272; -89.1019507157; 488.028705037
1072.006546049641; 30878.3941767; -30874.5949582; -89.1012027532; 484.368616642
1081.007364305846; 30624.1838865; -30620.4095501; -89.1004403633; 480.788431653
1090.008182562051; 30373.7645211; -30370.0150296; -89.0997175842; 477.240052681
1099.009000818256; 30127.4894246; -30123.7600849; -89.0984778206; 474.022336493
1108.009819074461; 29885.3356491; -29881.6329484; -89.0980712379; 470.424363148
1117.010637330666; 29647.022344; -29643.3438997; -89.0974245871; 467.007637877
1126.011455586872; 29412.0662637; -29408.4092885; -89.0964750025; 463.793946149
1135.012273843077; 29181.5497359; -29177.917061; -89.0959320144; 460.435484485
1144.013092099282; 28953.6399438; -28950.0309698; -89.0953464645; 457.135319471
1153.013910355487; 28730.0443518; -28726.4561557; -89.0944509476; 454.054060868
1162.014728611692; 28509.2516529; -28505.6853252; -89.0937256499; 450.925464916
1171.015546867897; 28291.9576072; -28288.411417; -89.092824047; 447.933712368
1180.016365124102; 28078.4027784; -28074.8786907; -89.0922229483; 444.847133763
1189.017183380307; 27868.5502991; -27865.0488913; -89.0917482752; 441.753284033
1198.018001636513; 27660.5047272; -27657.0206832; -89.0906023735; 439.008622307
1207.018819892718; 27456.7180391; -27453.2556629; -89.0900765473; 436.026208464
1216.019638148923; 27255.4287001; -27251.9839699; -89.0890529319; 433.316502326
1225.020456405128; 27056.9542139; -27053.5281852; -89.0882031709; 430.562320633
1234.021274661333; 26861.8031196; -26858.3977943; -89.0876660065; 427.70865074
1243.022092917538; 26669.6567742; -26666.2680797; -89.0866239219; 425.13418962
1252.022911173743; 26479.6287195; -26476.2587086; -89.0858830167; 422.4473717
1261.023729429948; 26292.3823184; -26289.0329086; -89.085441936; 419.662484612
1270.024547686153; 26108.0802299; -26104.7468411; -89.0844171561; 417.187674192
1279.025365942358; 25925.9879223; -25922.6746276; -89.0839808847; 414.475361092
1288.026184198563; 25746.6809021; -25743.3846884; -89.0831691038; 411.973540953
1297.027002454769; 25569.8975374; -25566.6193712; -89.0825273181; 409.431202183
1306.027820710974; 25395.0298664; -25391.7701452; -89.0819674966; 406.879276821
1315.028638967179; 25223.3924076; -25220.1505188; -89.0813725019; 404.391202592
1324.029457223384; 25053.4479307; -25050.221975; -89.0805298423; 402.035004907
1333.030275479589; 24886.0226672; -24882.8142235; -89.0799495179; 399.600342932
1342.031093735794; 24720.5526339; -24717.360604; -89.0792396331; 397.249598555
1351.031911991999; 24557.3784704; -24554.2028315; -89.0785607759; 394.918378993
1360.032730248204; 24396.3002229; -24393.140551; -89.0778507704; 392.630284938
1369.03354850441; 24237.7435944; -24234.5985837; -89.0769882843; 390.443308132
1378.034366760615; 24080.9704229; -24077.8440366; -89.0767346197; 388.024464854
1387.03518501682; 23926.4791594; -23923.3660381; -89.0757257214; 385.956352959
1396.036003273025; 23773.548787; -23770.4526759; -89.0752944478; 383.668367859
1405.03682152923; 23622.914052; -23619.8319065; -89.0744454239; 381.587360635
1414.037639785435; 23473.9216581; -23470.8535181; -89.0736246083; 379.516885489
1423.03845804164; 23327.1300424; -23324.0782814; -89.0731981279; 377.317233874
1432.039276297845; 23181.9823092; -23178.9446485; -89.0724514474; 375.271531427
1441.04009455405; 23038.7865039; -23035.7642689; -89.0719389326; 373.159524707
1450.040912810256; 22897.4078754; -22894.3996101; -89.0712320684; 371.152064315
1459.041731066461; 22757.7415667; -22754.7470581; -89.0705190066; 369.171352876
1468.042549322666; 22619.7376014; -22616.7576158; -89.069951472; 367.156708046
1477.043367578871; 22482.984242; -22480.0182185; -89.0693151524; 365.186629488
1486.044185835076; 22348.1324917; -22345.1785093; -89.0684081821; 363.349975696
1495.045004091281; 22214.9219027; -22211.9809085; -89.0676756107; 361.468151388
1504.045822347486; 22083.2413296; -22080.3149131; -89.0672204253; 359.500939678
1513.046640603691; 21952.9906223; -21950.0784647; -89.0667393053; 357.564858978
1522.047458859896; 21824.4001246; -21821.501; -89.066090869; 355.717369356
1531.048277116101; 21697.3316676; -21694.4445463; -89.0653011584; 353.945290043
1540.049095372307; 21571.8271043; -21568.9538406; -89.0648385341; 352.072105054
1549.049913628512; 21448.0292061; -21445.1662566; -89.0638282007; 350.429767733
1558.050731884717; 21325.1296484; -21322.2817115; -89.0635993468; 348.506932865
1567.051550140922; 21204.1034601; -21201.2680879; -89.0630044856; 346.749174064
1576.052368397127; 21084.1096837; -21081.2853492; -89.0621727197; 345.092962769
1585.053186653332; 20965.4942367; -20962.6815297; -89.0614614214; 343.411772714
1594.054004909537; 20848.2139096; -20845.4142927; -89.0610178963; 341.65210117
1603.054823165742; 20732.3573723; -20729.5692734; -89.0603368657; 339.999887392
1612.055641421947; 20617.5712222; -20614.7950686; -89.0597454405; 338.330248054
1621.056459678153; 20504.4596249; -20501.6954421; -89.0591905031; 336.672677397
