% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/12 17:53:46
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 13758.1949853; -13757.1336605; -89.2883217032; 170.887927208
1009.000818256205; 13636.2839283; -13635.2267465; -89.2865440856; 169.796729758
1018.00163651241; 13516.5048987; -13515.451548; -89.2846894724; 168.742744532
1027.002454768615; 13398.9170979; -13397.8682801; -89.2831050274; 167.64525691
1036.00327302482; 13283.474585; -13282.4302121; -89.2815239077; 166.567395727
1045.004091281025; 13169.8223699; -13168.7816307; -89.2796867703; 165.564505273
1054.004909537231; 13058.2555076; -13057.2189018; -89.2780540837; 164.534017213
1063.005727793436; 12948.4251933; -12947.3920138; -89.2761978682; 163.569612968
1072.006546049641; 12840.4161806; -12839.386696; -89.2744608178; 162.594455407
1081.007364305846; 12734.2316209; -12733.2057155; -89.2727097296; 161.639026823
1090.008182562051; 12629.8432294; -12628.8208734; -89.270974751; 160.696411544
1099.009000818256; 12527.1565393; -12526.1381315; -89.2694077175; 159.732460888
1108.009819074461; 12426.1236337; -12425.1088144; -89.2677371183; 158.80648584
1117.010637330666; 12326.5162384; -12325.5047847; -89.2660045695; 157.906205121
1126.011455586872; 12228.6822255; -12227.673492; -89.264065846; 157.066672803
1135.012273843077; 12132.2005786; -12131.1946405; -89.2621698137; 156.228896158
1144.013092099282; 12037.4410761; -12036.4391262; -89.2607412371; 155.30876729
1153.013910355487; 11943.8450326; -11942.8459001; -89.2588944989; 154.486115801
1162.014728611692; 11851.8065501; -11850.8109985; -89.2573568273; 153.613701734
1171.015546867897; 11761.2202176; -11760.2282701; -89.2558529389; 152.748273556
1180.016365124102; 11672.1190776; -11671.1300651; -89.2541239669; 151.943267988
