% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 15:38:47
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 14912.8592614; -14911.5558687; -89.2424734234; 197.162133038
1009.000818256205; 14781.0915464; -14779.7959127; -89.2413724405; 195.704044362
1018.00163651241; 14651.3607078; -14650.0731317; -89.240394292; 194.236491886
1027.002454768615; 14523.6901296; -14522.4098444; -89.2392260234; 192.840046942
1036.00327302482; 14398.2927167; -14397.0201199; -89.2382180949; 191.428335439
1045.004091281025; 14275.1282915; -14273.862852; -89.2370933513; 190.071041218
1054.004909537231; 14154.1303956; -14152.8727799; -89.2362115204; 188.677798854
1063.005727793436; 14035.4222738; -14034.1715918; -89.2351056228; 187.366273982
1072.006546049641; 13918.3311029; -13917.0865793; -89.2337882517; 186.123149961
1081.007364305846; 13803.4057338; -13802.1684302; -89.2328402238; 184.814681609
1090.008182562051; 13690.3179754; -13689.08705; -89.2316661921; 183.581041614
1099.009000818256; 13579.0778704; -13577.8535381; -89.2305944151; 182.34334969
1108.009819074461; 13469.5823105; -13468.3646654; -89.2295861557; 181.110024024
1117.010637330666; 13361.8853617; -13360.6739448; -89.2284683045; 179.922615476
1126.011455586872; 13255.8671572; -13254.6614101; -89.2272040078; 178.787521325
1135.012273843077; 13151.5304788; -13150.3310158; -89.2261689779; 177.617844442
1144.013092099282; 13048.6675242; -13047.4734963; -89.2248870123; 176.520561226
1153.013910355487; 12947.5590121; -12946.3706047; -89.2237000003; 175.420993012
1162.014728611692; 12847.9152305; -12846.7323309; -89.2225034114; 174.339258438
1171.015546867897; 12749.9174314; -12748.7394715; -89.221152435; 173.31008353
1180.016365124102; 12653.3836139; -12652.2106493; -89.2198465115; 172.286273419
1189.017183380307; 12558.4344549; -12557.2651846; -89.2181371027; 171.36810565
1198.018001636513; 12464.7077358; -12463.5438998; -89.21702883; 170.330225429
1207.018819892718; 12372.4459013; -12371.2861819; -89.2155059116; 169.398295767
1216.019638148923; 12281.7337184; -12280.5785914; -89.2141747158; 168.441626635
1225.020456405128; 12192.3130749; -12191.1626364; -89.2129005741; 167.486346736
1234.021274661333; 12104.0469545; -12102.9015147; -89.2117538979; 166.51604964
1243.022092917538; 12017.1094857; -12015.969132; -89.2106660847; 165.548180417
1252.022911173743; 11931.5121103; -11930.3770482; -89.2096798435; 164.574346723
1261.023729429948; 11847.1031793; -11845.9742771; -89.2090244282; 163.54558146
1270.024547686153; 11763.6854846; -11762.5614494; -89.207937781; 162.617109625
1279.025365942358; 11681.4957561; -11680.3774229; -89.2071749087; 161.636467331
1288.026184198563; 11600.4525621; -11599.3402394; -89.206551063; 160.641370772
1297.027002454769; 11520.6214388; -11519.5144555; -89.2057199632; 159.702976458
1306.027820710974; 11441.6561555; -11440.554879; -89.2050408708; 158.743929529
1315.028638967179; 11363.8322801; -11362.7360455; -89.2041514832; 157.840565625
1324.029457223384; 11287.1622163; -11286.0700326; -89.2029298361; 157.016278185
