% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/22 18:19:55
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 15113.1227005; -15111.1223612; -89.0677828547; 245.883564238
1009.000818256205; 14979.6694116; -14977.6826828; -89.0668304347; 243.961313029
1018.00163651241; 14848.4706685; -14846.4966982; -89.0657312343; 242.109414969
1027.002454768615; 14719.6257654; -14717.6653108; -89.0648691715; 240.229993
1036.00327302482; 14593.1545632; -14591.2059865; -89.0636751055; 238.470020473
1045.004091281025; 14468.8724115; -14466.9366614; -89.0627623296; 236.669570186
1054.004909537231; 14346.3380035; -14344.4134693; -89.0614990523; 234.981526429
1063.005727793436; 14226.3547813; -14224.4439136; -89.0609020217; 233.164519206
1072.006546049641; 14107.9894843; -14106.0887208; -89.0594672493; 231.577794162
1081.007364305846; 13991.4394767; -13989.5506078; -89.0585177033; 229.896510102
1090.008182562051; 13877.2756124; -13875.3986301; -89.0576321217; 228.235121256
1099.009000818256; 13765.0203682; -13763.1543101; -89.056554894; 226.647658419
1108.009819074461; 13654.1902049; -13652.3358741; -89.055714953; 225.022926109
1117.010637330666; 13545.3057355; -13543.4619981; -89.0546392185; 223.482775812
1126.011455586872; 13437.9357927; -13436.1027958; -89.053638466; 221.945967956
1135.012273843077; 13332.4910301; -13330.6685607; -89.0526357376; 220.437702692
1144.013092099282; 13228.641758; -13226.8297107; -89.051647774; 218.948745233
1153.013910355487; 13126.1895951; -13124.3877093; -89.0506270562; 217.486857088
1162.014728611692; 13025.6029589; -13023.8122569; -89.0499306358; 215.978547211
1171.015546867897; 12926.4955797; -12924.7139555; -89.0487159896; 214.609238337
1180.016365124102; 12828.7088429; -12826.9370494; -89.0477353381; 213.205296809
1189.017183380307; 12732.5636427; -12730.8020741; -89.0469088904; 211.791054249
1198.018001636513; 12637.7483828; -12635.9952409; -89.0456311159; 210.495715649
1207.018819892718; 12544.4965818; -12542.753085; -89.0447290628; 209.139973679
1216.019638148923; 12452.6023766; -12450.8681606; -89.0437660498; 207.817198443
1225.020456405128; 12362.0099997; -12360.2842099; -89.0426030359; 206.556227711
1234.021274661333; 12272.6666488; -12270.9507846; -89.0418916004; 205.215761199
1243.022092917538; 12184.7161243; -12183.0087907; -89.040833185; 203.970163455
1252.022911173743; 12097.9518331; -12096.2532464; -89.0398687015; 202.721364017
1261.023729429948; 12012.4658638; -12010.7756466; -89.038835225; 201.50554926
1270.024547686153; 11928.1352272; -11926.453988; -89.0380086643; 200.262981546
1279.025365942358; 11845.1256787; -11843.4519442; -89.0368007462; 199.119009027
1288.026184198563; 11762.9757392; -11761.3107183; -89.0359624001; 197.910141983
1297.027002454769; 11682.098562; -11680.4412667; -89.0348779829; 196.770468015
1306.027820710974; 11602.2717116; -11600.6239921; -89.0343652996; 195.529686158
1315.028638967179; 11523.6997729; -11522.0590328; -89.0331331402; 194.453321038
1324.029457223384; 11445.9687415; -11444.3364998; -89.0323713405; 193.293834438
