% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/22 15:28:15
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 28829.1954332; -28825.901583; -89.1338817568; 435.783252305
1009.000818256205; 28574.2181234; -28570.946422; -89.1329560074; 432.390639365
1018.00163651241; 28323.3129663; -28320.0588488; -89.1314673301; 429.329711767
1027.002454768615; 28077.5039694; -28074.2641558; -89.1295930112; 426.52209328
1036.00327302482; 27836.0290131; -27832.8140868; -89.1291897974; 423.049743199
1045.004091281025; 27597.8883072; -27594.6891882; -89.12759349; 420.199310634
1054.004909537231; 27363.7331222; -27360.5493213; -89.1259688571; 417.409931143
1063.005727793436; 27134.2841679; -27131.1186142; -89.1247998938; 414.463423787
1072.006546049641; 26908.6333878; -26905.4856316; -89.1236120492; 411.574511625
1081.007364305846; 26686.5786759; -26683.4471157; -89.1222401882; 408.817024418
1090.008182562051; 26468.2052069; -26465.0904954; -89.1210009082; 406.044142861
1099.009000818256; 26253.6845089; -26250.5848752; -89.1195559219; 403.415250389
1108.009819074461; 26041.9494903; -26038.8674329; -89.1184939878; 400.644335671
1117.010637330666; 25834.4473424; -25831.3801008; -89.1170907127; 398.084656801
1126.011455586872; 25630.0292571; -25626.9775051; -89.1158175593; 395.5042168
1135.012273843077; 25427.753536; -25424.7162388; -89.1144125712; 393.006299416
1144.013092099282; 25229.5844483; -25226.5625705; -89.1132009849; 390.476882489
1153.013910355487; 25034.1773496; -25031.1699551; -89.1118828256; 388.028451401
1162.014728611692; 24841.7174748; -24838.7241548; -89.1105375591; 385.628528668
1171.015546867897; 24652.5896774; -24649.6103623; -89.109223405; 383.257989831
1180.016365124102; 24465.8123412; -24462.844172; -89.1075038534; 381.088456245
1189.017183380307; 24282.2119699; -24279.2574419; -89.1061970997; 378.782371632
1198.018001636513; 24101.0118035; -24098.0695931; -89.1047153661; 376.579003966
1207.018819892718; 23923.7028312; -23920.7736116; -89.1033897717; 374.361974587
1216.019638148923; 23748.0582205; -23745.1384536; -89.1015333735; 372.382809169
1225.020456405128; 23574.8808742; -23571.9734154; -89.1001419059; 370.239752645
1234.021274661333; 23404.5749744; -23401.677336; -89.0984005884; 368.276345513
1243.022092917538; 23236.4182208; -23233.5316469; -89.0968730735; 366.249768379
1252.022911173743; 23070.429098; -23067.5533497; -89.0953311861; 364.254238581
1261.023729429948; 22907.6683279; -22904.8040204; -89.0939307025; 362.244306483
1270.024547686153; 22746.4870679; -22743.6291897; -89.0917472717; 360.562224751
1279.025365942358; 22587.9055483; -22585.0575042; -89.090133989; 358.68442484
1288.026184198563; 22431.7033451; -22428.8662524; -89.088728588; 356.754168306
1297.027002454769; 22277.4258715; -22274.5963; -89.0867915881; 355.053574196
1306.027820710974; 22125.3671365; -22122.5465363; -89.0851125922; 353.278370285
1315.028638967179; 21975.4405202; -21972.6311505; -89.083826316; 351.377752772
1324.029457223384; 21827.4059152; -21824.608139; -89.0826236101; 349.468870559
1333.030275479589; 21681.1490706; -21678.3642368; -89.0816660381; 347.489521973
1342.031093735794; 21537.4441347; -21534.6715112; -89.0806296223; 345.575862717
1351.031911991999; 21395.3597719; -21392.5984319; -89.0794606819; 343.732518762
1360.032730248204; 21255.015837; -21252.2657423; -89.0783091198; 341.904929293
1369.03354850441; 21116.3358169; -21113.5954384; -89.076922393; 340.185152923
1378.034366760615; 20979.2711364; -20976.5387604; -89.0752649495; 338.583841368
1387.03518501682; 20844.5388728; -20841.8122475; -89.073258029; 337.13943477
1396.036003273025; 20711.5785717; -20708.8596003; -89.0715938189; 335.590444239
1405.03682152923; 20580.2014763; -20577.4879192; -89.0695631135; 334.191054097
1414.037639785435; 20450.4228139; -20447.7146271; -89.0675394084; 332.805867196
1423.03845804164; 20322.6876285; -20319.9861862; -89.0657790574; 331.351441536
1432.039276297845; 20196.6437706; -20193.9513792; -89.0644395318; 329.768475223
1441.04009455405; 20072.2875153; -20069.6052517; -89.0633127183; 328.132701687
1450.040912810256; 19949.1433719; -19946.472789; -89.0624740751; 326.411555723
1459.041731066461; 19827.6758575; -19825.0221374; -89.0625804531; 324.387274101
1468.042549322666; 19707.4214656; -19704.7804497; -89.0619781414; 322.627015059
1477.043367578871; 19588.3232788; -19585.6974441; -89.0618388306; 320.724900154
1486.044185835076; 19471.0099133; -19468.3997482; -89.0618287709; 318.807514139
1495.045004091281; 19354.8999997; -19352.3040555; -89.0615858071; 316.988459784
1504.045822347486; 19240.0983689; -19237.5173579; -89.06150135; 315.136630803
1513.046640603691; 19126.7625439; -19124.1912734; -89.0605026874; 313.61361903
1522.047458859896; 19014.5724944; -19012.0131617; -89.059924995; 311.965777168
1531.048277116101; 18903.8641788; -18901.3143708; -89.0589322939; 310.476903953
1540.049095372307; 18794.1515706; -18791.6137057; -89.058402511; 308.848740459
1549.049913628512; 18685.8165509; -18683.2890726; -89.057611199; 307.32648097
1558.050731884717; 18578.8482843; -18576.3304253; -89.0567023235; 305.861842653
1567.051550140922; 18473.1694974; -18470.6604577; -89.0556662569; 304.456064827
1576.052368397127; 18368.5643708; -18366.0647315; -89.0547568714; 303.023569948
1585.053186653332; 18265.1165211; -18262.626833; -89.0539726097; 301.566984027
1594.054004909537; 18162.7632523; -18160.2819117; -89.0529024053; 300.216283629
1603.054823165742; 18061.7616645; -18059.2881326; -89.0517535529; 298.908918345
1612.055641421947; 17961.6919307; -17959.2285104; -89.0510613026; 297.469822204
1621.056459678153; 17862.8448228; -17860.3879978; -89.0497139669; 296.252774719
1630.057277934358; 17764.9571156; -17762.5095213; -89.0488912482; 294.884377135
1639.058096190563; 17668.2975467; -17665.8580326; -89.0478686354; 293.595203197
1648.058914446768; 17572.7699436; -17570.3366191; -89.0464960376; 292.428736281
1657.059732702973; 17477.8295093; -17475.4042891; -89.0455033087; 291.151616911
1666.060550959178; 17384.3149184; -17381.8964645; -89.0442754825; 289.966305281
1675.061369215383; 17291.5144787; -17289.1031925; -89.0431353549; 288.762451642
1684.062187471588; 17199.7084153; -17197.3040077; -89.0419546218; 287.583718611
1693.063005727794; 17108.917701; -17106.5201429; -89.0407850373; 286.414870551
1702.063823983999; 17019.0738788; -17016.6824904; -89.0394947495; 285.294035736
1711.064642240204; 16930.1417684; -16927.7570657; -89.0383223948; 284.149615427
1720.065460496409; 16842.4282785; -16840.0501938; -89.0371602616; 283.019031156
1729.066278752614; 16755.2221407; -16752.8500893; -89.0358832591; 281.927010771
1738.067097008819; 16669.0047199; -16666.6356544; -89.0340015885; 281.023652966
1747.067915265024; 16583.5462283; -16581.1814768; -89.0323979184; 280.046999183
1756.068733521229; 16499.1406595; -16496.7804976; -89.0308678245; 279.062188866
1765.069551777434; 16415.5097096; -16413.1521421; -89.0289364921; 278.200932947
1774.070370033639; 16332.6253162; -16330.2689062; -89.026714547; 277.429546694
1783.071188289844; 16250.5035673; -16248.1466634; -89.0241560873; 276.760146273
1792.07200654605; 16169.3396389; -16166.9788054; -89.0208946933; 276.298112642
1801.072824802255; 16088.5918357; -16086.2220787; -89.0165873279; 276.12763804
1810.07364305846; 16009.0676353; -16006.6818803; -89.0108255635; 276.372430191
1819.074461314665; 15930.435324; -15928.0239984; -89.003087334; 277.166163121
1828.07527957087; 15853.3346134; -15850.8859365; -88.9929559149; 278.627585852
1837.076097827075; 15778.2829111; -15775.7936216; -88.9822270312; 280.262621033
1846.07691608328; 15705.8677619; -15703.3628966; -88.9766963354; 280.492173816
1855.077734339485; 15634.5079425; -15632.0319984; -88.9803021773; 278.233965162
1864.078552595691; 15561.6703028; -15559.2492714; -88.9893166031; 274.48978479
1873.079370851896; 15488.2201883; -15485.8486098; -88.9973229293; 271.030271291
1882.080189108101; 15414.3960349; -15412.0625645; -89.0030325994; 268.202561855
1891.081007364306; 15341.2272791; -15338.9219958; -89.0067121581; 265.944391913
1900.081825620511; 15268.7696157; -15266.484232; -89.0086647373; 264.168053108
1909.082643876716; 15196.7952302; -15194.526106; -89.0098611273; 262.605533589
1918.083462132921; 15125.5317668; -15123.2755123; -89.0103498453; 261.245080955
1927.084280389126; 15055.2545566; -15053.009022; -89.0104020141; 260.017560884
1936.085098645332; 14985.4305914; -14983.1946499; -89.0102201421; 258.85920011
1945.085916901537; 14916.348689; -14914.1211025; -89.0097861183; 257.778851641
1954.086735157742; 14848.2756095; -14846.0558305; -89.0092596399; 256.73885511
1963.087553413947; 14780.5695749; -14778.3568806; -89.0085789774; 255.743726203
1972.088371670152; 14713.514152; -14711.3086616; -89.0079412305; 254.747235117
1981.089189926357; 14647.0477827; -14644.847716; -89.0069161747; 253.858453085
1990.090008182562; 14581.1311844; -14578.9387556; -89.0064032567; 252.846517784
1999.090826438767; 14516.1444063; -14513.9577357; -89.0054901458; 251.950909553
2008.091644694972; 14451.2784876; -14449.098054; -89.0046832105; 251.028554548
2017.092462951177; 14387.333808; -14385.1590372; -89.0037699422; 250.147084356
2026.093281207382; 14323.9498149; -14321.779492; -89.0025896382; 249.340082212
2035.094099463588; 14261.1020636; -14258.9371136; -89.0016324228; 248.484295808
2044.094917719793; 14198.7001784; -14196.5408615; -89.0007434802; 247.61726965
2053.095735975998; 14136.959366; -14134.8050323; -88.9997199428; 246.793050503
2062.096554232203; 14075.7961393; -14073.6472216; -88.9988099285; 245.948834323
2071.097372488408; 14015.1478869; -14013.003166; -88.9976262616; 245.178609861
2080.098190744613; 13954.9765597; -13952.8373481; -88.9967586081; 244.337276239
2089.099009000818; 13895.221163; -13893.0870429; -88.9958008245; 243.523264569
2098.099827257023; 13836.1003037; -13833.970578; -88.9946943221; 242.754293867
2107.100645513228; 13777.6069283; -13775.481592; -88.9936011939; 241.990846414
2116.101463769433; 13719.4800886; -13717.3597852; -88.9926662966; 241.193728932
2125.102282025638; 13661.9293217; -13659.8128995; -88.9914711504; 240.466897806
2134.103100281844; 13604.8786301; -13602.7667942; -88.9904543285; 239.70414192
2143.103918538049; 13548.1577251; -13546.0500068; -88.9893299882; 238.970597519
2152.104736794254; 13492.0019384; -13489.8992277; -88.9884326845; 238.191351883
2161.105555050459; 13436.0898045; -13433.990345; -88.9871140229; 237.51344734
2170.106373306664; 13380.8418279; -13378.7463044; -88.9859769815; 236.802316618
2179.107191562869; 13325.9515119; -13323.859469; -88.9847348724; 236.119762393
2188.108009819074; 13271.5625013; -13269.4747734; -88.9837063197; 235.394263843
2197.108828075279; 13217.7955742; -13215.7121444; -88.9826901682; 234.674996998
2206.109646331484; 13164.2734085; -13162.1928316; -88.9813223864; 234.038950891
2215.110464587689; 13111.4009471; -13109.3236386; -88.9800725314; 233.384934322
2224.111282843895; 13058.8419964; -13056.7683858; -88.9789320858; 232.709265517
