% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/22 21:15:39
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 14697.8574709; -14695.979344; -89.0840380458; 234.958053124
1009.000818256205; 14568.2093608; -14566.3446454; -89.0832622397; 233.082748363
1018.00163651241; 14440.833413; -14438.9819143; -89.0824969185; 231.237675794
1027.002454768615; 14315.7004125; -14313.8624506; -89.0818705561; 229.390430318
1036.00327302482; 14192.7197959; -14190.8964245; -89.0815684716; 227.494646149
1045.004091281025; 14071.8721898; -14070.0611249; -89.0807510806; 225.758310632
1054.004909537231; 13952.8495598; -13951.0512886; -89.0801050214; 224.006113309
1063.005727793436; 13836.1740741; -13834.3884639; -89.0794922262; 222.280907646
1072.006546049641; 13721.2458449; -13719.4717276; -89.0786250099; 220.642217453
1081.007364305846; 13608.2796866; -13606.5189654; -89.0783078496; 218.901002771
1090.008182562051; 13497.0519282; -13495.3027905; -89.0775673464; 217.28622379
1099.009000818256; 13387.9363487; -13386.1983293; -89.0767641675; 215.717244436
1108.009819074461; 13280.4241543; -13278.6981457; -89.076243231; 214.105651464
1117.010637330666; 13174.6087; -13172.8934404; -89.0754334645; 212.585879572
1126.011455586872; 13070.3043471; -13068.6009474; -89.0749661775; 211.009404966
1135.012273843077; 12967.9028923; -12966.2117528; -89.0746691828; 209.423428653
1144.013092099282; 12866.9734629; -12865.2929337; -89.0739657804; 207.951425037
1153.013910355487; 12767.6545417; -12765.9833278; -89.0729510795; 206.572351178
1162.014728611692; 12669.870571; -12668.2099058; -89.0723221852; 205.129320646
1171.015546867897; 12573.4891576; -12571.8393912; -89.071834259; 203.675935502
1180.016365124102; 12478.5652796; -12476.9257407; -89.0712031382; 202.275712817
1189.017183380307; 12385.3423418; -12383.7128689; -89.0705805491; 200.89914651
1198.018001636513; 12293.2837534; -12291.6636539; -89.0697941711; 199.574592743
1207.018819892718; 12202.6147842; -12201.0039785; -89.0690264528; 198.266115484
1216.019638148923; 12113.2581875; -12111.6573579; -89.0684969342; 196.926199129
1225.020456405128; 12025.2778249; -12023.6871436; -89.0680635285; 195.586846715
1234.021274661333; 11938.4644729; -11936.8819876; -89.0670939925; 194.3768498
1243.022092917538; 11853.0701043; -11851.4962975; -89.0663104155; 193.148576229
1252.022911173743; 11768.9433207; -11767.379579; -89.0659802619; 191.845518146
1261.023729429948; 11685.733231; -11684.1772043; -89.0649757644; 190.693955521
1270.024547686153; 11603.760784; -11602.2134514; -89.0643041016; 189.492295285
1279.025365942358; 11522.9363545; -11521.3983857; -89.063873639; 188.258972488
1288.026184198563; 11443.2677999; -11441.7383888; -89.0632377088; 187.084359379
1297.027002454769; 11364.6444642; -11363.1235002; -89.0626023981; 185.92495519
1306.027820710974; 11286.9900433; -11285.4758663; -89.0614842977; 184.874763417
1315.028638967179; 11210.5306126; -11209.0255588; -89.0611303981; 183.691634284
1324.029457223384; 11135.0610801; -11133.5636167; -89.0603325825; 182.610047516
1333.030275479589; 11060.5901372; -11059.0998989; -89.0594520063; 181.558724101
1342.031093735794; 10987.1452836; -10985.662975; -89.0588275524; 180.472862882
1351.031911991999; 10914.6172333; -10913.1431216; -89.0583202305; 179.378160688
1360.032730248204; 10843.0341147; -10841.5670133; -89.057465976; 178.363358096
1369.03354850441; 10772.4563658; -10770.9961818; -89.0566153993; 177.362282678
1378.034366760615; 10702.4804669; -10701.0276342; -89.0559216002; 176.33974958
