"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","15:18:28"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.431568E+03","-1.425125E+03"
"2","10.281E+03","1.384236E+03","-1.381367E+03"
"3","10.561E+03","1.339486E+03","-1.335958E+03"
"4","10.842E+03","1.312938E+03","-1.309993E+03"
"5","11.122E+03","1.275389E+03","-1.272853E+03"
"6","11.403E+03","1.240923E+03","-1.237322E+03"
"7","11.683E+03","1.225927E+03","-1.223202E+03"
"8","11.964E+03","1.188052E+03","-1.185774E+03"
"9","12.244E+03","1.151878E+03","-1.149242E+03"
"10","12.525E+03","1.131433E+03","-1.128691E+03"
"11","12.806E+03","1.107143E+03","-1.103989E+03"
"12","13.086E+03","1.099402E+03","-1.095963E+03"
"13","13.367E+03","1.071073E+03","-1.068710E+03"
"14","13.647E+03","1.043254E+03","-1.040876E+03"
"15","13.928E+03","1.022268E+03","-1.019756E+03"
"16","14.208E+03","1.001407E+03","-998.5570E+00"
"17","14.489E+03","982.8214E+00","-979.8998E+00"
"18","14.770E+03","960.0854E+00","-957.3856E+00"
"19","15.050E+03","943.7926E+00","-940.5496E+00"
"20","15.331E+03","922.8378E+00","-918.9401E+00"
"21","15.611E+03","920.7631E+00","-916.9077E+00"
"22","15.892E+03","907.1222E+00","-903.5257E+00"
"23","16.172E+03","888.6011E+00","-885.0599E+00"
"24","16.453E+03","885.0413E+00","-879.3444E+00"
"25","16.733E+03","881.2888E+00","-878.5675E+00"
"26","17.014E+03","853.3927E+00","-850.9034E+00"
"27","17.295E+03","833.1634E+00","-830.1263E+00"
"28","17.575E+03","842.6422E+00","-838.4573E+00"
"29","17.856E+03","824.8091E+00","-822.1394E+00"
"30","18.136E+03","816.1858E+00","-813.8503E+00"
