"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-09"
"TIME","13:29:25"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.250373E+03","-1.246762E+03"
"2","10.281E+03","1.208914E+03","-1.205752E+03"
"3","10.561E+03","1.156690E+03","-1.152730E+03"
"4","10.842E+03","1.154887E+03","-1.149725E+03"
"5","11.122E+03","1.124906E+03","-1.120297E+03"
"6","11.403E+03","1.089385E+03","-1.086388E+03"
"7","11.683E+03","1.036975E+03","-1.033251E+03"
"8","11.964E+03","975.0693E+00","-965.8845E+00"
"9","12.244E+03","1.114573E+03","-1.086098E+03"
"10","12.525E+03","1.103004E+03","-1.097992E+03"
"11","12.806E+03","1.038628E+03","-1.036519E+03"
"12","13.086E+03","994.3353E+00","-992.3789E+00"
"13","13.367E+03","963.7814E+00","-961.5189E+00"
"14","13.647E+03","942.9540E+00","-940.6683E+00"
"15","13.928E+03","917.3667E+00","-914.6389E+00"
"16","14.208E+03","905.9677E+00","-903.3874E+00"
"17","14.489E+03","884.8635E+00","-882.5658E+00"
"18","14.770E+03","862.3277E+00","-860.0784E+00"
"19","15.050E+03","839.2447E+00","-835.9708E+00"
"20","15.331E+03","845.3622E+00","-841.0410E+00"
"21","15.611E+03","834.3631E+00","-829.9428E+00"
"22","15.892E+03","834.4982E+00","-831.7915E+00"
"23","16.172E+03","816.3563E+00","-814.2954E+00"
"24","16.453E+03","798.6295E+00","-797.0265E+00"
"25","16.733E+03","781.8829E+00","-780.4758E+00"
"26","17.014E+03","765.3744E+00","-764.0475E+00"
"27","17.295E+03","750.4377E+00","-749.0902E+00"
"28","17.575E+03","737.8939E+00","-736.5241E+00"
"29","17.856E+03","725.5152E+00","-724.1543E+00"
"30","18.136E+03","714.5235E+00","-713.1727E+00"
"31","18.417E+03","703.4621E+00","-702.1325E+00"
"32","18.697E+03","692.8770E+00","-691.6097E+00"
"33","18.978E+03","681.4058E+00","-680.1975E+00"
"34","19.259E+03","670.2407E+00","-669.0047E+00"
"35","19.539E+03","661.6969E+00","-660.3636E+00"
"36","19.820E+03","652.4559E+00","-651.2607E+00"
"37","20.100E+03","642.4101E+00","-641.2229E+00"
"38","20.381E+03","632.9699E+00","-631.7844E+00"
"39","20.661E+03","623.6042E+00","-622.4127E+00"
"40","20.942E+03","614.3418E+00","-613.0395E+00"
"41","21.222E+03","608.8976E+00","-607.5003E+00"
"42","21.503E+03","602.5226E+00","-601.2219E+00"
"43","21.784E+03","594.5577E+00","-593.3581E+00"
"44","22.064E+03","586.5646E+00","-585.4030E+00"
"45","22.345E+03","578.6050E+00","-577.4470E+00"
"46","22.625E+03","572.0265E+00","-570.8391E+00"
"47","22.906E+03","565.3730E+00","-564.2424E+00"
"48","23.186E+03","558.5271E+00","-557.4429E+00"
"49","23.467E+03","551.2418E+00","-550.2088E+00"
"50","23.747E+03","544.0188E+00","-542.9956E+00"
"51","24.028E+03","537.0886E+00","-536.0591E+00"
"52","24.309E+03","530.6843E+00","-529.6461E+00"
"53","24.589E+03","524.0025E+00","-522.9652E+00"
"54","24.870E+03","517.4090E+00","-516.3305E+00"
"55","25.150E+03","511.9035E+00","-510.7509E+00"
"56","25.431E+03","506.6064E+00","-505.4477E+00"
"57","25.711E+03","501.4918E+00","-500.3005E+00"
"58","25.992E+03","495.7507E+00","-494.5553E+00"
"59","26.273E+03","490.8005E+00","-489.4454E+00"
"60","26.553E+03","489.2932E+00","-487.9491E+00"
"61","26.834E+03","484.8435E+00","-483.6605E+00"
"62","27.114E+03","479.6079E+00","-478.5162E+00"
"63","27.395E+03","473.9943E+00","-472.9718E+00"
"64","27.675E+03","468.3018E+00","-467.2778E+00"
"65","27.956E+03","463.6856E+00","-462.6599E+00"
"66","28.236E+03","459.0549E+00","-458.0557E+00"
"67","28.517E+03","453.8271E+00","-452.8535E+00"
"68","28.798E+03","448.8961E+00","-447.9086E+00"
"69","29.078E+03","444.1621E+00","-443.1373E+00"
"70","29.359E+03","440.0629E+00","-439.0255E+00"
"71","29.639E+03","435.6379E+00","-434.5713E+00"
"72","29.920E+03","432.5389E+00","-431.4312E+00"
"73","30.200E+03","428.8121E+00","-427.7815E+00"
"74","30.481E+03","424.1031E+00","-423.1027E+00"
"75","30.762E+03","419.3564E+00","-418.3448E+00"
"76","31.042E+03","415.0928E+00","-414.0203E+00"
"77","31.323E+03","411.4958E+00","-410.3539E+00"
"78","31.603E+03","408.5652E+00","-407.3932E+00"
"79","31.884E+03","405.4889E+00","-404.3176E+00"
"80","32.164E+03","401.6654E+00","-400.5481E+00"
"81","32.445E+03","397.1423E+00","-395.9873E+00"
"82","32.725E+03","393.4526E+00","-392.1780E+00"
"83","33.006E+03","391.3906E+00","-389.9877E+00"
"84","33.287E+03","389.5294E+00","-388.1283E+00"
"85","33.567E+03","386.7193E+00","-385.3353E+00"
"86","33.848E+03","384.8094E+00","-383.3493E+00"
"87","34.128E+03","383.2821E+00","-381.9913E+00"
"88","34.409E+03","379.1580E+00","-377.9615E+00"
"89","34.689E+03","375.4438E+00","-374.2279E+00"
"90","34.970E+03","373.0960E+00","-371.8769E+00"
"91","35.251E+03","369.4610E+00","-368.3261E+00"
"92","35.531E+03","365.4213E+00","-364.2762E+00"
"93","35.812E+03","361.5635E+00","-360.3431E+00"
"94","36.092E+03","358.1438E+00","-356.7888E+00"
"95","36.373E+03","356.0746E+00","-354.4993E+00"
"96","36.653E+03","355.3653E+00","-353.6220E+00"
"97","36.934E+03","355.5868E+00","-353.7307E+00"
"98","37.214E+03","355.8091E+00","-354.1423E+00"
"99","37.495E+03","353.6478E+00","-352.1261E+00"
"100","37.776E+03","351.6017E+00","-350.1745E+00"
"101","38.056E+03","349.3249E+00","-347.9801E+00"
"102","38.337E+03","347.0740E+00","-345.7812E+00"
"103","38.617E+03","345.3319E+00","-344.1065E+00"
"104","38.898E+03","343.1518E+00","-342.0490E+00"
"105","39.178E+03","340.2188E+00","-339.2090E+00"
"106","39.459E+03","337.4476E+00","-336.4980E+00"
"107","39.739E+03","334.4590E+00","-333.5660E+00"
"108","40.020E+03","331.4283E+00","-330.5570E+00"
"109","40.301E+03","328.6742E+00","-327.8144E+00"
"110","40.581E+03","326.0652E+00","-325.2188E+00"
"111","40.862E+03","323.3756E+00","-322.5285E+00"
"112","41.142E+03","320.9640E+00","-320.1120E+00"
"113","41.423E+03","318.5748E+00","-317.7164E+00"
"114","41.703E+03","316.4416E+00","-315.5745E+00"
"115","41.984E+03","314.3333E+00","-313.4720E+00"
"116","42.265E+03","312.1379E+00","-311.2851E+00"
"117","42.545E+03","309.8815E+00","-309.0299E+00"
"118","42.826E+03","307.6566E+00","-306.7880E+00"
"119","43.106E+03","305.9518E+00","-305.0532E+00"
"120","43.387E+03","304.5250E+00","-303.6522E+00"
"121","43.667E+03","302.3983E+00","-301.5741E+00"
"122","43.948E+03","299.8594E+00","-299.0436E+00"
"123","44.228E+03","297.6826E+00","-296.8365E+00"
"124","44.509E+03","295.9871E+00","-295.1131E+00"
"125","44.790E+03","294.4842E+00","-293.6044E+00"
"126","45.070E+03","292.8963E+00","-292.0355E+00"
"127","45.351E+03","291.0787E+00","-290.2335E+00"
"128","45.631E+03","289.2914E+00","-288.4545E+00"
"129","45.912E+03","287.5136E+00","-286.6945E+00"
"130","46.192E+03","285.5890E+00","-284.7827E+00"
