"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-09"
"TIME","16:18:55"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","100.00E+03","146.3585E+00","-144.7949E+00"
"2","100.40E+03","146.1260E+00","-144.4573E+00"
"3","100.80E+03","146.2261E+00","-144.5147E+00"
"4","101.20E+03","146.2291E+00","-144.5393E+00"
"5","101.60E+03","145.9578E+00","-144.3620E+00"
"6","102.00E+03","144.8534E+00","-143.3568E+00"
"7","102.40E+03","143.5324E+00","-142.0126E+00"
"8","102.81E+03","142.9691E+00","-141.3699E+00"
"9","103.21E+03","142.6661E+00","-141.0957E+00"
"10","103.61E+03","141.7196E+00","-140.2273E+00"
"11","104.01E+03","140.3376E+00","-138.8642E+00"
"12","104.41E+03","139.1524E+00","-137.6255E+00"
"13","104.81E+03","138.2933E+00","-136.7300E+00"
"14","105.21E+03","137.1860E+00","-135.6050E+00"
"15","105.61E+03","135.9586E+00","-134.3008E+00"
"16","106.01E+03","135.1845E+00","-133.4045E+00"
"17","106.41E+03","134.6680E+00","-132.8117E+00"
"18","106.81E+03","133.9819E+00","-132.0659E+00"
"19","107.21E+03","133.4453E+00","-131.4591E+00"
"20","107.62E+03","132.9636E+00","-130.9611E+00"
"21","108.02E+03","132.1579E+00","-130.1875E+00"
"22","108.42E+03","130.8932E+00","-128.9457E+00"
"23","108.82E+03","129.2383E+00","-127.2501E+00"
"24","109.22E+03","127.5865E+00","-125.4112E+00"
"25","109.62E+03","126.7745E+00","-124.2768E+00"
"26","110.02E+03","126.8866E+00","-124.1200E+00"
"27","110.42E+03","126.9303E+00","-124.0497E+00"
"28","110.82E+03","126.6511E+00","-123.6922E+00"
"29","111.22E+03","126.2801E+00","-123.2545E+00"
"30","111.62E+03","125.6617E+00","-122.6044E+00"
"31","112.02E+03","124.8131E+00","-121.6847E+00"
"32","112.42E+03","123.8775E+00","-120.6226E+00"
"33","112.83E+03","123.1337E+00","-119.6727E+00"
"34","113.23E+03","122.6770E+00","-119.0330E+00"
"35","113.63E+03","122.0722E+00","-118.2813E+00"
"36","114.03E+03","121.3558E+00","-117.3573E+00"
"37","114.43E+03","120.8459E+00","-116.5956E+00"
"38","114.83E+03","120.4017E+00","-115.9028E+00"
"39","115.23E+03","119.9055E+00","-115.1444E+00"
"40","115.63E+03","119.2675E+00","-114.1314E+00"
"41","116.03E+03","119.2004E+00","-113.4193E+00"
"42","116.43E+03","120.7563E+00","-114.2480E+00"
"43","116.83E+03","123.1934E+00","-116.5232E+00"
"44","117.23E+03","124.2557E+00","-118.0771E+00"
"45","117.64E+03","123.3297E+00","-117.6934E+00"
"46","118.04E+03","121.4567E+00","-116.0189E+00"
"47","118.44E+03","119.7092E+00","-114.1109E+00"
"48","118.84E+03","118.5163E+00","-112.5767E+00"
"49","119.24E+03","117.5920E+00","-111.1967E+00"
"50","119.64E+03","117.1217E+00","-110.0784E+00"
"51","120.04E+03","117.5417E+00","-109.6783E+00"
"52","120.44E+03","119.0915E+00","-110.4753E+00"
"53","120.84E+03","121.1585E+00","-112.2527E+00"
"54","121.24E+03","122.4116E+00","-113.7987E+00"
"55","121.64E+03","122.1141E+00","-113.9815E+00"
"56","122.04E+03","120.6865E+00","-112.7645E+00"
"57","122.44E+03","119.2091E+00","-110.9601E+00"
"58","122.85E+03","119.1458E+00","-110.0944E+00"
"59","123.25E+03","120.6901E+00","-111.0127E+00"
"60","123.65E+03","122.3085E+00","-112.8063E+00"
"61","124.05E+03","121.9308E+00","-113.1476E+00"
"62","124.45E+03","119.7869E+00","-111.4566E+00"
"63","124.85E+03","117.2408E+00","-108.7713E+00"
"64","125.25E+03","115.2761E+00","-106.1184E+00"
"65","125.65E+03","114.3980E+00","-104.0598E+00"
"66","126.05E+03","115.3060E+00","-103.5304E+00"
"67","126.45E+03","117.3645E+00","-104.7020E+00"
"68","126.85E+03","118.1920E+00","-105.4913E+00"
"69","127.25E+03","117.2820E+00","-104.3170E+00"
"70","127.66E+03","116.7900E+00","-102.6812E+00"
"71","128.06E+03","117.6614E+00","-101.8987E+00"
"72","128.46E+03","120.3276E+00","-102.7410E+00"
"73","128.86E+03","124.0422E+00","-105.4487E+00"
"74","129.26E+03","126.7074E+00","-108.2326E+00"
"75","129.66E+03","127.5464E+00","-109.5396E+00"
"76","130.06E+03","127.3827E+00","-109.3927E+00"
"77","130.46E+03","127.5976E+00","-108.9420E+00"
"78","130.86E+03","128.7198E+00","-109.1346E+00"
"79","131.26E+03","130.3224E+00","-109.8745E+00"
"80","131.66E+03","132.0753E+00","-110.9809E+00"
"81","132.06E+03","133.2947E+00","-111.7584E+00"
"82","132.46E+03","134.0937E+00","-111.6946E+00"
"83","132.87E+03","135.9244E+00","-111.7040E+00"
"84","133.27E+03","140.0195E+00","-113.5036E+00"
"85","133.67E+03","145.9445E+00","-117.8737E+00"
"86","134.07E+03","152.1336E+00","-123.9086E+00"
"87","134.47E+03","157.2156E+00","-130.3916E+00"
"88","134.87E+03","160.0340E+00","-135.4904E+00"
"89","135.27E+03","160.8860E+00","-138.5014E+00"
"90","135.67E+03","160.8776E+00","-140.0430E+00"
"91","136.07E+03","161.1331E+00","-141.1463E+00"
"92","136.47E+03","162.6476E+00","-143.3275E+00"
