"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","17:40:13"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.267335E+03","-1.264742E+03"
"2","10.581E+03","1.224533E+03","-1.221626E+03"
"3","11.162E+03","1.166109E+03","-1.164207E+03"
"4","11.743E+03","1.101621E+03","-1.099668E+03"
"5","12.325E+03","1.054643E+03","-1.052904E+03"
"6","12.906E+03","1.002267E+03","-1.000443E+03"
"7","13.487E+03","958.0735E+00","-956.3596E+00"
"8","14.068E+03","918.5417E+00","-916.9603E+00"
"9","14.649E+03","879.9288E+00","-878.0294E+00"
"10","15.230E+03","853.7818E+00","-852.1258E+00"
"11","15.812E+03","823.5439E+00","-821.9523E+00"
"12","16.393E+03","789.9611E+00","-788.2313E+00"
"13","16.974E+03","764.2987E+00","-762.5193E+00"
"14","17.555E+03","740.2562E+00","-738.6095E+00"
"15","18.136E+03","709.8099E+00","-707.2273E+00"
"16","18.717E+03","705.9345E+00","-704.0642E+00"
"17","19.299E+03","677.9047E+00","-676.1303E+00"
"18","19.880E+03","664.5071E+00","-660.5246E+00"
"19","20.461E+03","656.5473E+00","-654.6081E+00"
"20","21.042E+03","637.2970E+00","-635.8036E+00"
"21","21.623E+03","620.5349E+00","-619.3110E+00"
"22","22.204E+03","601.2788E+00","-600.1926E+00"
"23","22.786E+03","584.7722E+00","-583.7045E+00"
"24","23.367E+03","568.9164E+00","-567.8175E+00"
"25","23.948E+03","554.7374E+00","-553.6546E+00"
"26","24.529E+03","544.1574E+00","-543.0059E+00"
"27","25.110E+03","531.2591E+00","-530.2144E+00"
"28","25.691E+03","519.3921E+00","-518.5098E+00"
"29","26.273E+03","506.1946E+00","-505.3372E+00"
"30","26.854E+03","494.4304E+00","-493.5750E+00"
"31","27.435E+03","483.6457E+00","-482.7582E+00"
"32","28.016E+03","472.7360E+00","-471.8473E+00"
"33","28.597E+03","462.8510E+00","-461.9305E+00"
"34","29.178E+03","455.1203E+00","-454.1827E+00"
"35","29.760E+03","444.9498E+00","-444.0921E+00"
"36","30.341E+03","435.1447E+00","-434.2060E+00"
"37","30.922E+03","428.9180E+00","-427.8870E+00"
"38","31.503E+03","421.0139E+00","-420.0488E+00"
"39","32.084E+03","413.7444E+00","-412.7886E+00"
"40","32.665E+03","405.8226E+00","-404.9489E+00"
"41","33.246E+03","397.1604E+00","-396.3100E+00"
"42","33.828E+03","388.9192E+00","-388.0274E+00"
"43","34.409E+03","379.9023E+00","-378.9014E+00"
"44","34.990E+03","373.9508E+00","-372.6557E+00"
