"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","17:13:35"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.271349E+03","-1.268691E+03"
"2","10.581E+03","1.216445E+03","-1.213239E+03"
"3","11.162E+03","1.171689E+03","-1.169702E+03"
"4","11.743E+03","1.106109E+03","-1.104359E+03"
"5","12.325E+03","1.049187E+03","-1.047514E+03"
"6","12.906E+03","1.006178E+03","-1.004135E+03"
"7","13.487E+03","962.5907E+00","-961.0628E+00"
"8","14.068E+03","920.9017E+00","-919.3462E+00"
"9","14.649E+03","881.3694E+00","-879.6528E+00"
"10","15.230E+03","850.8817E+00","-849.1708E+00"
"11","15.812E+03","825.2960E+00","-823.5466E+00"
"12","16.393E+03","788.8517E+00","-787.1244E+00"
"13","16.974E+03","767.0780E+00","-765.3684E+00"
"14","17.555E+03","737.7536E+00","-736.3278E+00"
"15","18.136E+03","707.6968E+00","-704.9780E+00"
"16","18.717E+03","707.1148E+00","-705.1770E+00"
"17","19.299E+03","676.4283E+00","-674.4532E+00"
"18","19.880E+03","664.7440E+00","-661.3463E+00"
"19","20.461E+03","660.1821E+00","-658.2913E+00"
"20","21.042E+03","638.2417E+00","-636.5979E+00"
"21","21.623E+03","620.5637E+00","-619.2472E+00"
"22","22.204E+03","602.4833E+00","-601.3337E+00"
"23","22.786E+03","585.7409E+00","-584.6417E+00"
"24","23.367E+03","569.3461E+00","-568.2912E+00"
"25","23.948E+03","557.6191E+00","-556.5238E+00"
"26","24.529E+03","541.7760E+00","-540.7464E+00"
"27","25.110E+03","532.5202E+00","-531.4750E+00"
"28","25.691E+03","518.5549E+00","-517.6464E+00"
"29","26.273E+03","506.4337E+00","-505.5074E+00"
"30","26.854E+03","494.6928E+00","-493.8191E+00"
"31","27.435E+03","483.5538E+00","-482.6267E+00"
"32","28.016E+03","473.9847E+00","-473.0861E+00"
"33","28.597E+03","463.1920E+00","-462.2804E+00"
"34","29.178E+03","454.6353E+00","-453.6588E+00"
"35","29.760E+03","445.7407E+00","-444.8122E+00"
"36","30.341E+03","436.8893E+00","-435.9546E+00"
"37","30.922E+03","427.9880E+00","-427.0428E+00"
"38","31.503E+03","420.2783E+00","-419.2643E+00"
"39","32.084E+03","414.1039E+00","-413.0887E+00"
"40","32.665E+03","406.2783E+00","-405.3825E+00"
"41","33.246E+03","397.5043E+00","-396.6330E+00"
"42","33.828E+03","389.7155E+00","-388.7926E+00"
"43","34.409E+03","381.0640E+00","-380.0910E+00"
"44","34.990E+03","373.3303E+00","-372.0901E+00"
"45","35.571E+03","367.4468E+00","-365.8173E+00"
"46","36.152E+03","368.4406E+00","-366.2855E+00"
"47","36.733E+03","368.5993E+00","-366.7244E+00"
"48","37.315E+03","364.7110E+00","-363.4924E+00"
"49","37.896E+03","356.6965E+00","-355.5987E+00"
"50","38.477E+03","350.2045E+00","-349.1351E+00"
"51","39.058E+03","345.4451E+00","-344.4632E+00"
"52","39.639E+03","338.0844E+00","-337.1150E+00"
"53","40.220E+03","334.5538E+00","-333.4685E+00"
"54","40.802E+03","329.5665E+00","-328.5056E+00"
