"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:18:20"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.422065E+03","-1.419574E+03"
"2","10.281E+03","1.379013E+03","-1.376612E+03"
"3","10.561E+03","1.338361E+03","-1.335755E+03"
"4","10.842E+03","1.310710E+03","-1.307943E+03"
"5","11.122E+03","1.273995E+03","-1.271579E+03"
"6","11.403E+03","1.236833E+03","-1.233755E+03"
"7","11.683E+03","1.225545E+03","-1.222523E+03"
"8","11.964E+03","1.189251E+03","-1.186812E+03"
"9","12.244E+03","1.159519E+03","-1.156505E+03"
"10","12.525E+03","1.136159E+03","-1.133651E+03"
"11","12.806E+03","1.104617E+03","-1.101898E+03"
"12","13.086E+03","1.088334E+03","-1.084995E+03"
"13","13.367E+03","1.074163E+03","-1.070625E+03"
"14","13.647E+03","1.049139E+03","-1.046369E+03"
"15","13.928E+03","1.024662E+03","-1.021682E+03"
"16","14.208E+03","1.005109E+03","-1.001823E+03"
"17","14.489E+03","992.3806E+00","-988.7947E+00"
"18","14.770E+03","978.7127E+00","-975.1062E+00"
"19","15.050E+03","961.4003E+00","-958.5914E+00"
"20","15.331E+03","938.5840E+00","-935.9785E+00"
"21","15.611E+03","914.8188E+00","-911.7671E+00"
"22","15.892E+03","901.9685E+00","-897.7119E+00"
"23","16.172E+03","905.6327E+00","-901.3582E+00"
"24","16.453E+03","892.4958E+00","-889.1509E+00"
"25","16.733E+03","876.3873E+00","-873.3986E+00"
"26","17.014E+03","862.0607E+00","-859.3772E+00"
"27","17.295E+03","849.1867E+00","-846.7242E+00"
"28","17.575E+03","830.2031E+00","-827.9888E+00"
"29","17.856E+03","813.4311E+00","-810.8088E+00"
