"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:24:50"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.410295E+03","-1.407591E+03"
"2","10.281E+03","1.364999E+03","-1.362414E+03"
"3","10.561E+03","1.327195E+03","-1.324080E+03"
"4","10.842E+03","1.305765E+03","-1.302344E+03"
"5","11.122E+03","1.272472E+03","-1.269954E+03"
"6","11.403E+03","1.237014E+03","-1.234699E+03"
"7","11.683E+03","1.201086E+03","-1.198799E+03"
"8","11.964E+03","1.166713E+03","-1.164008E+03"
"9","12.244E+03","1.142710E+03","-1.139242E+03"
"10","12.525E+03","1.132573E+03","-1.128878E+03"
"11","12.806E+03","1.109706E+03","-1.106287E+03"
"12","13.086E+03","1.087257E+03","-1.084586E+03"
"13","13.367E+03","1.063192E+03","-1.060599E+03"
"14","13.647E+03","1.037204E+03","-1.034911E+03"
"15","13.928E+03","1.011425E+03","-1.009086E+03"
"16","14.208E+03","985.8342E+00","-983.2888E+00"
"17","14.489E+03","961.9521E+00","-958.6144E+00"
"18","14.770E+03","949.0331E+00","-944.2456E+00"
"19","15.050E+03","948.4581E+00","-943.4696E+00"
"20","15.331E+03","944.1481E+00","-939.6417E+00"
"21","15.611E+03","922.4670E+00","-918.9815E+00"
"22","15.892E+03","906.1256E+00","-901.9919E+00"
"23","16.172E+03","906.0118E+00","-902.2316E+00"
"24","16.453E+03","889.0768E+00","-886.3899E+00"
"25","16.733E+03","870.3143E+00","-868.0386E+00"
"26","17.014E+03","850.1367E+00","-848.0671E+00"
"27","17.295E+03","832.0552E+00","-829.8184E+00"
"28","17.575E+03","817.7851E+00","-815.5977E+00"
"29","17.856E+03","797.4560E+00","-795.0680E+00"
"30","18.136E+03","786.6173E+00","-782.6349E+00"
"31","18.417E+03","795.1182E+00","-791.0816E+00"
"32","18.697E+03","790.3004E+00","-787.5938E+00"
"33","18.978E+03","774.1602E+00","-771.9801E+00"
"34","19.259E+03","759.8952E+00","-757.9323E+00"
"35","19.539E+03","746.5748E+00","-744.7172E+00"
"36","19.820E+03","733.4485E+00","-731.6625E+00"
"37","20.100E+03","719.9854E+00","-718.1433E+00"
"38","20.381E+03","709.0094E+00","-706.7686E+00"
