"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","16:38:24"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.241903E+03","-1.236173E+03"
"2","10.281E+03","1.205009E+03","-1.200160E+03"
"3","10.561E+03","1.169480E+03","-1.164446E+03"
"4","10.842E+03","1.145094E+03","-1.139668E+03"
"5","11.122E+03","1.113464E+03","-1.109010E+03"
"6","11.403E+03","1.082993E+03","-1.079378E+03"
"7","11.683E+03","1.034883E+03","-1.030619E+03"
"8","11.964E+03","997.2922E+00","-987.9897E+00"
"9","12.244E+03","1.072038E+03","-1.054978E+03"
"10","12.525E+03","1.075144E+03","-1.071258E+03"
"11","12.806E+03","1.014947E+03","-1.012882E+03"
"12","13.086E+03","974.2176E+00","-972.2373E+00"
"13","13.367E+03","946.8357E+00","-944.3183E+00"
"14","13.647E+03","927.9488E+00","-925.5117E+00"
"15","13.928E+03","904.4815E+00","-901.9252E+00"
"16","14.208E+03","887.7092E+00","-885.1922E+00"
"17","14.489E+03","864.9892E+00","-862.3517E+00"
"18","14.770E+03","844.8657E+00","-841.5259E+00"
"19","15.050E+03","838.0869E+00","-833.7654E+00"
"20","15.331E+03","836.8551E+00","-832.4919E+00"
"21","15.611E+03","830.6999E+00","-826.8228E+00"
"22","15.892E+03","823.4625E+00","-820.7441E+00"
"23","16.172E+03","804.7669E+00","-802.8610E+00"
"24","16.453E+03","785.7811E+00","-784.1897E+00"
"25","16.733E+03","769.4038E+00","-767.8402E+00"
"26","17.014E+03","754.9063E+00","-753.4267E+00"
"27","17.295E+03","741.4086E+00","-739.9110E+00"
"28","17.575E+03","728.7965E+00","-727.3566E+00"
"29","17.856E+03","716.8317E+00","-715.4063E+00"
"30","18.136E+03","705.3053E+00","-703.9261E+00"
"31","18.417E+03","693.7941E+00","-692.4447E+00"
"32","18.697E+03","682.5207E+00","-681.1897E+00"
"33","18.978E+03","672.3727E+00","-670.9779E+00"
"34","19.259E+03","662.9676E+00","-661.6689E+00"
"35","19.539E+03","652.8019E+00","-651.4679E+00"
"36","19.820E+03","644.1435E+00","-642.8535E+00"
"37","20.100E+03","634.3978E+00","-633.1544E+00"
"38","20.381E+03","624.9768E+00","-623.7404E+00"
"39","20.661E+03","615.8215E+00","-614.5526E+00"
"40","20.942E+03","606.8387E+00","-605.4952E+00"
"41","21.222E+03","601.7513E+00","-600.2043E+00"
"42","21.503E+03","596.4544E+00","-595.1612E+00"
"43","21.784E+03","587.5881E+00","-586.4253E+00"
"44","22.064E+03","579.2274E+00","-578.0975E+00"
"45","22.345E+03","571.4124E+00","-570.3054E+00"
"46","22.625E+03","563.7780E+00","-562.6877E+00"
"47","22.906E+03","556.4676E+00","-555.3841E+00"
"48","23.186E+03","549.1680E+00","-548.0991E+00"
"49","23.467E+03","541.9208E+00","-540.8367E+00"
"50","23.747E+03","535.1577E+00","-534.0615E+00"
"51","24.028E+03","528.3493E+00","-527.2096E+00"
"52","24.309E+03","522.3980E+00","-521.2126E+00"
"53","24.589E+03","516.8854E+00","-515.6566E+00"
"54","24.870E+03","510.8172E+00","-509.5781E+00"
"55","25.150E+03","506.2776E+00","-504.9850E+00"
"56","25.431E+03","500.6199E+00","-499.3751E+00"
"57","25.711E+03","495.6907E+00","-494.3910E+00"
"58","25.992E+03","490.7061E+00","-489.4127E+00"
"59","26.273E+03","486.4657E+00","-485.1340E+00"
"60","26.553E+03","482.1624E+00","-480.9086E+00"
"61","26.834E+03","477.6295E+00","-476.4038E+00"
"62","27.114E+03","472.4596E+00","-471.3278E+00"
"63","27.395E+03","467.0079E+00","-465.8833E+00"
"64","27.675E+03","462.5234E+00","-461.3607E+00"
"65","27.956E+03","458.4953E+00","-457.4055E+00"
"66","28.236E+03","453.0331E+00","-451.9964E+00"
"67","28.517E+03","448.1163E+00","-447.0646E+00"
"68","28.798E+03","443.7269E+00","-442.6868E+00"
"69","29.078E+03","438.6623E+00","-437.6403E+00"
"70","29.359E+03","433.7849E+00","-432.7023E+00"
"71","29.639E+03","430.4521E+00","-429.3126E+00"
"72","29.920E+03","427.0107E+00","-425.9161E+00"
"73","30.200E+03","422.3478E+00","-421.3062E+00"
"74","30.481E+03","417.5004E+00","-416.4295E+00"
"75","30.762E+03","413.1585E+00","-412.0553E+00"
"76","31.042E+03","409.0982E+00","-407.8903E+00"
"77","31.323E+03","406.6244E+00","-405.3492E+00"
"78","31.603E+03","403.3813E+00","-402.1322E+00"
"79","31.884E+03","399.3793E+00","-398.1079E+00"
"80","32.164E+03","396.7317E+00","-395.3818E+00"
"81","32.445E+03","393.9363E+00","-392.6412E+00"
"82","32.725E+03","389.5686E+00","-388.2786E+00"
"83","33.006E+03","385.7840E+00","-384.3405E+00"
"84","33.287E+03","384.7473E+00","-383.0895E+00"
"85","33.567E+03","384.6523E+00","-383.1312E+00"
"86","33.848E+03","381.7008E+00","-380.3139E+00"
"87","34.128E+03","378.7681E+00","-377.5276E+00"
"88","34.409E+03","374.3354E+00","-373.1738E+00"
"89","34.689E+03","370.1467E+00","-368.9767E+00"
"90","34.970E+03","366.2996E+00","-365.0854E+00"
"91","35.251E+03","363.1787E+00","-361.8490E+00"
"92","35.531E+03","360.4150E+00","-359.0415E+00"
"93","35.812E+03","357.9776E+00","-356.4797E+00"
"94","36.092E+03","355.9034E+00","-354.3209E+00"
"95","36.373E+03","354.9152E+00","-353.2622E+00"
"96","36.653E+03","353.0286E+00","-351.3836E+00"
"97","36.934E+03","351.7665E+00","-350.0661E+00"
"98","37.214E+03","350.4367E+00","-348.7901E+00"
"99","37.495E+03","349.7933E+00","-348.1895E+00"
"100","37.776E+03","347.9170E+00","-346.5087E+00"
"101","38.056E+03","344.8656E+00","-343.5388E+00"
"102","38.337E+03","342.6023E+00","-341.2997E+00"
"103","38.617E+03","340.8271E+00","-339.5719E+00"
"104","38.898E+03","339.0906E+00","-337.9544E+00"
"105","39.178E+03","336.1443E+00","-335.1331E+00"
"106","39.459E+03","332.7594E+00","-331.8022E+00"
"107","39.739E+03","329.8688E+00","-328.9251E+00"
"108","40.020E+03","327.0403E+00","-326.1005E+00"
"109","40.301E+03","324.8660E+00","-323.9167E+00"
"110","40.581E+03","322.6768E+00","-321.7746E+00"
"111","40.862E+03","319.9082E+00","-319.0340E+00"
"112","41.142E+03","317.2256E+00","-316.3438E+00"
"113","41.423E+03","315.0721E+00","-314.1719E+00"
"114","41.703E+03","313.1716E+00","-312.2741E+00"
"115","41.984E+03","311.1321E+00","-310.2683E+00"
"116","42.265E+03","308.6786E+00","-307.8496E+00"
"117","42.545E+03","305.9716E+00","-305.1403E+00"
"118","42.826E+03","303.7131E+00","-302.8402E+00"
"119","43.106E+03","302.2974E+00","-301.3921E+00"
"120","43.387E+03","300.6944E+00","-299.8391E+00"
"121","43.667E+03","298.3373E+00","-297.5171E+00"
"122","43.948E+03","295.8107E+00","-294.9947E+00"
"123","44.228E+03","293.4660E+00","-292.6066E+00"
"124","44.509E+03","292.0946E+00","-291.1787E+00"
"125","44.790E+03","290.8072E+00","-289.9174E+00"
"126","45.070E+03","288.9541E+00","-288.0844E+00"
"127","45.351E+03","287.1251E+00","-286.2678E+00"
"128","45.631E+03","285.2069E+00","-284.3583E+00"
"129","45.912E+03","283.3646E+00","-282.5074E+00"
"130","46.192E+03","281.7430E+00","-280.8944E+00"
"131","46.473E+03","279.8375E+00","-278.9964E+00"
"132","46.754E+03","277.9735E+00","-277.1250E+00"
"133","47.034E+03","276.3472E+00","-275.4817E+00"
"134","47.315E+03","274.8362E+00","-273.9750E+00"
"135","47.595E+03","273.0665E+00","-272.2080E+00"
"136","47.876E+03","271.5132E+00","-270.6475E+00"
"137","48.156E+03","269.7927E+00","-268.9375E+00"
"138","48.437E+03","267.9447E+00","-267.0761E+00"
"139","48.717E+03","266.3491E+00","-265.4549E+00"
"140","48.998E+03","264.7453E+00","-263.8246E+00"
"141","49.279E+03","263.4176E+00","-262.4491E+00"
"142","49.559E+03","262.3487E+00","-261.3493E+00"
"143","49.840E+03","261.4137E+00","-260.3815E+00"
"144","50.120E+03","260.9506E+00","-259.9239E+00"
"145","50.401E+03","259.8484E+00","-258.8907E+00"
"146","50.681E+03","258.1368E+00","-257.1969E+00"
"147","50.962E+03","257.0784E+00","-256.1127E+00"
"148","51.242E+03","256.2712E+00","-255.3378E+00"
"149","51.523E+03","255.1198E+00","-254.2275E+00"
"150","51.804E+03","253.7999E+00","-252.9570E+00"
"151","52.084E+03","252.2306E+00","-251.4230E+00"
"152","52.365E+03","250.6762E+00","-249.8829E+00"
"153","52.645E+03","249.3125E+00","-248.5274E+00"
"154","52.926E+03","248.0544E+00","-247.2910E+00"
"155","53.206E+03","246.5770E+00","-245.8369E+00"
"156","53.487E+03","245.1645E+00","-244.4382E+00"
"157","53.768E+03","243.7167E+00","-243.0074E+00"
"158","54.048E+03","242.2465E+00","-241.5460E+00"
"159","54.329E+03","240.8342E+00","-240.1395E+00"
"160","54.609E+03","239.4773E+00","-238.7884E+00"
"161","54.890E+03","238.0671E+00","-237.3872E+00"
"162","55.170E+03","236.6475E+00","-235.9661E+00"
"163","55.451E+03","235.3769E+00","-234.6885E+00"
"164","55.731E+03","234.2803E+00","-233.5955E+00"
"165","56.012E+03","233.0071E+00","-232.3421E+00"
"166","56.293E+03","231.5207E+00","-230.8646E+00"
"167","56.573E+03","230.1110E+00","-229.4464E+00"
"168","56.854E+03","228.8500E+00","-228.1766E+00"
"169","57.134E+03","227.6026E+00","-226.9195E+00"
"170","57.415E+03","226.4095E+00","-225.7140E+00"
"171","57.695E+03","225.2824E+00","-224.5671E+00"
"172","57.976E+03","224.4424E+00","-223.7061E+00"
"173","58.257E+03","223.7241E+00","-222.9892E+00"
"174","58.537E+03","222.8895E+00","-222.1772E+00"
"175","58.818E+03","221.8239E+00","-221.1391E+00"
"176","59.098E+03","220.6047E+00","-219.9414E+00"
"177","59.379E+03","219.2952E+00","-218.6410E+00"
"178","59.659E+03","218.0892E+00","-217.4321E+00"
"179","59.940E+03","216.9874E+00","-216.3271E+00"
"180","60.220E+03","215.9462E+00","-215.2865E+00"
"181","60.501E+03","214.8992E+00","-214.2438E+00"
"182","60.782E+03","213.7953E+00","-213.1465E+00"
"183","61.062E+03","212.6311E+00","-211.9816E+00"
"184","61.343E+03","211.6026E+00","-210.9445E+00"
"185","61.623E+03","210.6627E+00","-210.0052E+00"
"186","61.904E+03","209.6433E+00","-208.9916E+00"
"187","62.184E+03","208.5510E+00","-207.8998E+00"
"188","62.465E+03","207.5394E+00","-206.8816E+00"
"189","62.745E+03","206.6177E+00","-205.9553E+00"
"190","63.026E+03","205.7263E+00","-205.0660E+00"
"191","63.307E+03","204.7547E+00","-204.1025E+00"
"192","63.587E+03","203.7154E+00","-203.0635E+00"
"193","63.868E+03","202.7780E+00","-202.1238E+00"
"194","64.148E+03","201.8058E+00","-201.1557E+00"
"195","64.429E+03","200.7470E+00","-200.0941E+00"
"196","64.709E+03","199.7764E+00","-199.1093E+00"
"197","64.990E+03","198.9944E+00","-198.3128E+00"
"198","65.271E+03","198.2694E+00","-197.5867E+00"
"199","65.551E+03","197.4854E+00","-196.8074E+00"
"200","65.832E+03","196.6694E+00","-195.9968E+00"
"201","66.112E+03","195.8566E+00","-195.1910E+00"
"202","66.393E+03","194.9992E+00","-194.3439E+00"
"203","66.673E+03","194.1021E+00","-193.4546E+00"
"204","66.954E+03","193.2042E+00","-192.5635E+00"
"205","67.234E+03","192.2850E+00","-191.6501E+00"
"206","67.515E+03","191.3577E+00","-190.7264E+00"
"207","67.796E+03","190.4209E+00","-189.7906E+00"
"208","68.076E+03","189.5216E+00","-188.8870E+00"
"209","68.357E+03","188.7360E+00","-188.0971E+00"
"210","68.637E+03","187.9585E+00","-187.3270E+00"
"211","68.918E+03","187.0454E+00","-186.4242E+00"
"212","69.198E+03","186.0525E+00","-185.4328E+00"
"213","69.479E+03","185.0947E+00","-184.4659E+00"
"214","69.760E+03","184.2541E+00","-183.6101E+00"
"215","70.040E+03","183.5428E+00","-182.8868E+00"
"216","70.321E+03","182.8553E+00","-182.1945E+00"
"217","70.601E+03","182.1759E+00","-181.5125E+00"
"218","70.882E+03","181.5296E+00","-180.8665E+00"
"219","71.162E+03","180.8840E+00","-180.2300E+00"
"220","71.443E+03","180.1548E+00","-179.5161E+00"
"221","71.723E+03","179.3325E+00","-178.7085E+00"
"222","72.004E+03","178.4445E+00","-177.8309E+00"
"223","72.285E+03","177.5306E+00","-176.9213E+00"
"224","72.565E+03","176.6636E+00","-176.0541E+00"
"225","72.846E+03","175.8089E+00","-175.1995E+00"
"226","73.126E+03","174.9402E+00","-174.3296E+00"
"227","73.407E+03","174.0695E+00","-173.4548E+00"
"228","73.687E+03","173.2042E+00","-172.5806E+00"
"229","73.968E+03","172.3861E+00","-171.7487E+00"
"230","74.248E+03","171.6367E+00","-170.9842E+00"
"231","74.529E+03","170.9086E+00","-170.2382E+00"
