"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:35:06"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.279764E+03","-1.277013E+03"
"2","10.581E+03","1.234949E+03","-1.231845E+03"
"3","11.162E+03","1.170967E+03","-1.168537E+03"
"4","11.743E+03","1.111179E+03","-1.109263E+03"
"5","12.325E+03","1.057844E+03","-1.056311E+03"
"6","12.906E+03","1.007346E+03","-1.005717E+03"
"7","13.487E+03","960.3932E+00","-958.7380E+00"
"8","14.068E+03","928.8149E+00","-927.2664E+00"
"9","14.649E+03","883.5708E+00","-881.5900E+00"
"10","15.230E+03","857.6767E+00","-856.2539E+00"
"11","15.812E+03","823.0269E+00","-821.3263E+00"
"12","16.393E+03","796.6007E+00","-795.0785E+00"
"13","16.974E+03","766.1171E+00","-764.2229E+00"
"14","17.555E+03","741.3027E+00","-739.8567E+00"
"15","18.136E+03","713.9819E+00","-711.2741E+00"
"16","18.717E+03","706.3378E+00","-704.2596E+00"
"17","19.299E+03","682.6772E+00","-680.6522E+00"
"18","19.880E+03","660.9980E+00","-658.1259E+00"
"19","20.461E+03","660.9321E+00","-658.9648E+00"
"20","21.042E+03","639.2488E+00","-637.6016E+00"
"21","21.623E+03","624.4294E+00","-623.0261E+00"
"22","22.204E+03","604.3674E+00","-603.2584E+00"
"23","22.786E+03","586.9243E+00","-585.8041E+00"
"24","23.367E+03","572.9765E+00","-571.8775E+00"
"25","23.948E+03","558.3360E+00","-557.2385E+00"
"26","24.529E+03","546.2816E+00","-545.2151E+00"
"27","25.110E+03","534.5391E+00","-533.4958E+00"
"28","25.691E+03","521.8295E+00","-520.9601E+00"
"29","26.273E+03","508.6265E+00","-507.7733E+00"
"30","26.854E+03","497.0391E+00","-496.1995E+00"
"31","27.435E+03","485.7402E+00","-484.8635E+00"
"32","28.016E+03","475.3045E+00","-474.4395E+00"
"33","28.597E+03","464.7572E+00","-463.8604E+00"
"34","29.178E+03","457.5232E+00","-456.6023E+00"
"35","29.760E+03","446.7081E+00","-445.8599E+00"
"36","30.341E+03","437.5246E+00","-436.5237E+00"
"37","30.922E+03","431.9794E+00","-431.0609E+00"
"38","31.503E+03","422.1562E+00","-421.2865E+00"
"39","32.084E+03","414.9256E+00","-413.9557E+00"
"40","32.665E+03","407.9747E+00","-407.0531E+00"
"41","33.246E+03","399.8716E+00","-399.0304E+00"
"42","33.828E+03","391.2939E+00","-390.4358E+00"
"43","34.409E+03","382.6468E+00","-381.7165E+00"
"44","34.990E+03","375.3293E+00","-374.1592E+00"
"45","35.571E+03","369.4983E+00","-368.0908E+00"
"46","36.152E+03","365.5071E+00","-363.6581E+00"
"47","36.733E+03","371.9020E+00","-369.7018E+00"
"48","37.315E+03","366.8804E+00","-365.7117E+00"
"49","37.896E+03","358.9586E+00","-357.9006E+00"
"50","38.477E+03","352.0017E+00","-351.0432E+00"
"51","39.058E+03","345.3497E+00","-344.4716E+00"
"52","39.639E+03","338.5602E+00","-337.5735E+00"
"53","40.220E+03","334.5403E+00","-333.4403E+00"
"54","40.802E+03","332.3232E+00","-331.2038E+00"
"55","41.383E+03","326.8876E+00","-325.9779E+00"
"56","41.964E+03","323.4370E+00","-322.5020E+00"
"57","42.545E+03","317.4626E+00","-316.6750E+00"
"58","43.126E+03","311.1215E+00","-310.2974E+00"
"59","43.707E+03","305.8988E+00","-304.9054E+00"
"60","44.289E+03","306.2318E+00","-305.0585E+00"
"61","44.870E+03","302.9797E+00","-301.9826E+00"
"62","45.451E+03","299.1368E+00","-298.3208E+00"
"63","46.032E+03","294.2729E+00","-293.5075E+00"
"64","46.613E+03","289.9116E+00","-289.1925E+00"
"65","47.194E+03","285.3643E+00","-284.6548E+00"
"66","47.776E+03","281.4473E+00","-280.7377E+00"
"67","48.357E+03","277.2173E+00","-276.5010E+00"
"68","48.938E+03","273.3383E+00","-272.6018E+00"
"69","49.519E+03","269.9464E+00","-269.1691E+00"
"70","50.100E+03","266.6604E+00","-265.9229E+00"
"71","50.681E+03","262.3164E+00","-261.5565E+00"
"72","51.263E+03","258.6151E+00","-257.7709E+00"
"73","51.844E+03","255.7629E+00","-254.8371E+00"
"74","52.425E+03","253.0919E+00","-252.1376E+00"
"75","53.006E+03","250.7013E+00","-249.6441E+00"
"76","53.587E+03","248.4005E+00","-247.3310E+00"
"77","54.168E+03","246.7189E+00","-245.7215E+00"
"78","54.749E+03","242.4391E+00","-241.4673E+00"
"79","55.331E+03","239.7991E+00","-238.7609E+00"
"80","55.912E+03","236.7116E+00","-235.6680E+00"
"81","56.493E+03","234.2414E+00","-233.1675E+00"
"82","57.074E+03","229.5433E+00","-228.4399E+00"
"83","57.655E+03","227.0454E+00","-225.4683E+00"
"84","58.236E+03","226.9846E+00","-225.3447E+00"
"85","58.818E+03","225.5160E+00","-223.7820E+00"
"86","59.399E+03","224.5214E+00","-222.6495E+00"
"87","59.980E+03","223.4057E+00","-221.5201E+00"
"88","60.561E+03","222.2291E+00","-220.1416E+00"
"89","61.142E+03","222.0504E+00","-219.9436E+00"
"90","61.723E+03","223.6260E+00","-221.4393E+00"
"91","62.305E+03","223.0277E+00","-221.3414E+00"
"92","62.886E+03","220.9492E+00","-219.5040E+00"
"93","63.467E+03","217.5105E+00","-216.3115E+00"
"94","64.048E+03","213.8134E+00","-212.6223E+00"
"95","64.629E+03","211.0070E+00","-209.7045E+00"
