"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:36:48"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.282573E+03","-1.279842E+03"
"2","10.581E+03","1.237513E+03","-1.234430E+03"
"3","11.162E+03","1.173159E+03","-1.170746E+03"
"4","11.743E+03","1.113377E+03","-1.111472E+03"
"5","12.325E+03","1.059984E+03","-1.058463E+03"
"6","12.906E+03","1.009330E+03","-1.007714E+03"
"7","13.487E+03","962.3085E+00","-960.6692E+00"
"8","14.068E+03","930.6918E+00","-929.1512E+00"
"9","14.649E+03","885.2184E+00","-883.2606E+00"
"10","15.230E+03","859.4453E+00","-858.0343E+00"
"11","15.812E+03","824.6189E+00","-822.9395E+00"
"12","16.393E+03","798.1544E+00","-796.6418E+00"
"13","16.974E+03","767.4000E+00","-765.5202E+00"
"14","17.555E+03","742.8013E+00","-741.3672E+00"
"15","18.136E+03","715.1509E+00","-712.4720E+00"
"16","18.717E+03","707.7916E+00","-705.7206E+00"
"17","19.299E+03","683.8097E+00","-681.7973E+00"
"18","19.880E+03","662.0786E+00","-659.2173E+00"
"19","20.461E+03","662.2492E+00","-660.2791E+00"
"20","21.042E+03","640.5059E+00","-638.8670E+00"
"21","21.623E+03","625.5760E+00","-624.1765E+00"
"22","22.204E+03","605.5512E+00","-604.4492E+00"
"23","22.786E+03","588.0328E+00","-586.9219E+00"
"24","23.367E+03","574.0287E+00","-572.9364E+00"
"25","23.948E+03","559.3816E+00","-558.2900E+00"
"26","24.529E+03","547.3079E+00","-546.2469E+00"
"27","25.110E+03","535.5266E+00","-534.4876E+00"
"28","25.691E+03","522.8255E+00","-521.9605E+00"
"29","26.273E+03","509.5898E+00","-508.7423E+00"
"30","26.854E+03","497.9771E+00","-497.1434E+00"
"31","27.435E+03","486.6350E+00","-485.7651E+00"
"32","28.016E+03","476.1732E+00","-475.3144E+00"
"33","28.597E+03","465.5971E+00","-464.7078E+00"
"34","29.178E+03","458.3543E+00","-457.4377E+00"
"35","29.760E+03","447.5282E+00","-446.6864E+00"
"36","30.341E+03","438.2859E+00","-437.2925E+00"
"37","30.922E+03","432.7843E+00","-431.8691E+00"
"38","31.503E+03","422.9391E+00","-422.0748E+00"
"39","32.084E+03","415.6609E+00","-414.6952E+00"
"40","32.665E+03","408.7207E+00","-407.8020E+00"
"41","33.246E+03","400.6446E+00","-399.8079E+00"
"42","33.828E+03","392.0499E+00","-391.1980E+00"
"43","34.409E+03","383.3868E+00","-382.4654E+00"
"44","34.990E+03","375.9969E+00","-374.8391E+00"
