"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","16:41:37"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.434203E+03","-1.428095E+03"
"2","10.281E+03","1.387563E+03","-1.384621E+03"
"3","10.561E+03","1.344343E+03","-1.340897E+03"
"4","10.842E+03","1.318534E+03","-1.315730E+03"
"5","11.122E+03","1.277807E+03","-1.275334E+03"
"6","11.403E+03","1.245849E+03","-1.242730E+03"
"7","11.683E+03","1.225087E+03","-1.222418E+03"
"8","11.964E+03","1.189833E+03","-1.187578E+03"
"9","12.244E+03","1.155848E+03","-1.153339E+03"
"10","12.525E+03","1.131913E+03","-1.129307E+03"
"11","12.806E+03","1.107536E+03","-1.104602E+03"
"12","13.086E+03","1.098474E+03","-1.094934E+03"
"13","13.367E+03","1.072012E+03","-1.069612E+03"
"14","13.647E+03","1.045152E+03","-1.042766E+03"
"15","13.928E+03","1.024626E+03","-1.022083E+03"
"16","14.208E+03","1.004693E+03","-1.002031E+03"
"17","14.489E+03","983.5483E+00","-980.9381E+00"
"18","14.770E+03","961.9326E+00","-959.4777E+00"
"19","15.050E+03","941.6461E+00","-938.6748E+00"
"20","15.331E+03","923.0648E+00","-919.5127E+00"
"21","15.611E+03","919.7168E+00","-916.0269E+00"
"22","15.892E+03","902.2745E+00","-898.6608E+00"
"23","16.172E+03","888.3838E+00","-884.5719E+00"
"24","16.453E+03","882.4952E+00","-876.9361E+00"
"25","16.733E+03","883.1830E+00","-880.1361E+00"
"26","17.014E+03","856.0307E+00","-853.4801E+00"
"27","17.295E+03","835.4192E+00","-832.4501E+00"
"28","17.575E+03","840.1510E+00","-835.8100E+00"
"29","17.856E+03","827.5288E+00","-824.8552E+00"
"30","18.136E+03","816.6518E+00","-814.2211E+00"
"31","18.417E+03","799.2183E+00","-797.2965E+00"
"32","18.697E+03","783.4991E+00","-781.6840E+00"
"33","18.978E+03","768.3779E+00","-766.4430E+00"
"34","19.259E+03","759.3573E+00","-757.3844E+00"
"35","19.539E+03","745.6806E+00","-743.8529E+00"
"36","19.820E+03","731.1358E+00","-729.1102E+00"
"37","20.100E+03","726.1565E+00","-723.5256E+00"
"38","20.381E+03","718.3024E+00","-716.1990E+00"
"39","20.661E+03","704.9131E+00","-702.7353E+00"
"40","20.942E+03","700.8442E+00","-698.0543E+00"
"41","21.222E+03","697.6803E+00","-695.5989E+00"
"42","21.503E+03","686.0059E+00","-684.2381E+00"
"43","21.784E+03","674.5110E+00","-672.8846E+00"
"44","22.064E+03","663.4812E+00","-661.8674E+00"
"45","22.345E+03","653.2319E+00","-651.5701E+00"
"46","22.625E+03","644.4349E+00","-642.6072E+00"
"47","22.906E+03","637.9485E+00","-636.0489E+00"
"48","23.186E+03","629.7081E+00","-627.8847E+00"
"49","23.467E+03","621.6679E+00","-619.7021E+00"
"50","23.747E+03","615.7924E+00","-613.7375E+00"
"51","24.028E+03","611.0559E+00","-608.9805E+00"
"52","24.309E+03","604.2833E+00","-602.3646E+00"
"53","24.589E+03","597.9608E+00","-596.0474E+00"
"54","24.870E+03","591.0957E+00","-589.3485E+00"
"55","25.150E+03","583.5775E+00","-581.7720E+00"
"56","25.431E+03","578.9456E+00","-577.1579E+00"
"57","25.711E+03","571.9693E+00","-570.3562E+00"
"58","25.992E+03","564.2375E+00","-562.6781E+00"
"59","26.273E+03","556.8643E+00","-555.2804E+00"
"60","26.553E+03","549.9069E+00","-548.2340E+00"
"61","26.834E+03","545.2985E+00","-543.5557E+00"
"62","27.114E+03","539.8817E+00","-538.1740E+00"
"63","27.395E+03","533.0602E+00","-531.4393E+00"
"64","27.675E+03","525.1260E+00","-523.4228E+00"
"65","27.956E+03","518.5173E+00","-516.3830E+00"
"66","28.236E+03","520.3169E+00","-517.9325E+00"
"67","28.517E+03","518.0831E+00","-515.9088E+00"
"68","28.798E+03","513.0978E+00","-511.2402E+00"
"69","29.078E+03","508.0358E+00","-506.2818E+00"
"70","29.359E+03","501.4107E+00","-499.7959E+00"
"71","29.639E+03","495.2992E+00","-493.5909E+00"
"72","29.920E+03","491.6830E+00","-489.9717E+00"
"73","30.200E+03","486.1239E+00","-484.4803E+00"
"74","30.481E+03","482.3697E+00","-480.6491E+00"
"75","30.762E+03","477.3485E+00","-475.7965E+00"
"76","31.042E+03","471.1085E+00","-469.5493E+00"
"77","31.323E+03","465.7026E+00","-464.0154E+00"
"78","31.603E+03","462.5388E+00","-460.7602E+00"
"79","31.884E+03","458.0282E+00","-456.2622E+00"
