"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","17:31:09"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.336242E+03","-1.332921E+03"
"2","10.281E+03","1.291389E+03","-1.288517E+03"
"3","10.561E+03","1.236969E+03","-1.233421E+03"
"4","10.842E+03","1.246597E+03","-1.241672E+03"
"5","11.122E+03","1.208080E+03","-1.205088E+03"
"6","11.403E+03","1.180808E+03","-1.177954E+03"
"7","11.683E+03","1.144821E+03","-1.142586E+03"
"8","11.964E+03","1.109925E+03","-1.107563E+03"
"9","12.244E+03","1.076899E+03","-1.074157E+03"
"10","12.525E+03","1.061704E+03","-1.058377E+03"
"11","12.806E+03","1.035721E+03","-1.032693E+03"
"12","13.086E+03","1.018695E+03","-1.014337E+03"
"13","13.367E+03","1.003910E+03","-999.5064E+00"
"14","13.647E+03","998.9558E+00","-995.8064E+00"
"15","13.928E+03","976.3436E+00","-973.4830E+00"
"16","14.208E+03","945.9950E+00","-943.4360E+00"
"17","14.489E+03","937.0123E+00","-933.7791E+00"
"18","14.770E+03","924.7032E+00","-922.2286E+00"
"19","15.050E+03","900.8519E+00","-898.8910E+00"
"20","15.331E+03","876.8341E+00","-874.8436E+00"
"21","15.611E+03","858.7989E+00","-856.1513E+00"
"22","15.892E+03","853.2491E+00","-850.8746E+00"
"23","16.172E+03","830.5188E+00","-828.6114E+00"
"24","16.453E+03","808.5992E+00","-806.2352E+00"
"25","16.733E+03","790.9919E+00","-788.0254E+00"
"26","17.014E+03","791.1216E+00","-785.6929E+00"
"27","17.295E+03","799.9199E+00","-796.2215E+00"
"28","17.575E+03","785.3663E+00","-782.7340E+00"
"29","17.856E+03","761.6573E+00","-759.3573E+00"
"30","18.136E+03","753.0036E+00","-749.4263E+00"
"31","18.417E+03","750.4908E+00","-748.1727E+00"
"32","18.697E+03","729.0001E+00","-726.8953E+00"
"33","18.978E+03","717.3505E+00","-714.6929E+00"
"34","19.259E+03","710.0575E+00","-707.3739E+00"
"35","19.539E+03","697.3975E+00","-694.6441E+00"
"36","19.820E+03","693.8172E+00","-690.5344E+00"
"37","20.100E+03","689.8601E+00","-686.7361E+00"
"38","20.381E+03","681.7218E+00","-679.1661E+00"
"39","20.661E+03","671.3893E+00","-669.0304E+00"
"40","20.942E+03","663.0187E+00","-660.6482E+00"
"41","21.222E+03","654.1367E+00","-652.0913E+00"
"42","21.503E+03","643.1913E+00","-641.1788E+00"
"43","21.784E+03","633.4551E+00","-631.5657E+00"
"44","22.064E+03","619.5352E+00","-617.5272E+00"
"45","22.345E+03","611.7518E+00","-608.9454E+00"
"46","22.625E+03","611.7311E+00","-608.3099E+00"
"47","22.906E+03","614.8071E+00","-611.7294E+00"
"48","23.186E+03","609.3299E+00","-607.0670E+00"
"49","23.467E+03","598.6182E+00","-596.7386E+00"
"50","23.747E+03","589.9184E+00","-588.0644E+00"
"51","24.028E+03","582.4521E+00","-580.7177E+00"
"52","24.309E+03","573.3121E+00","-571.5566E+00"
"53","24.589E+03","567.5030E+00","-565.8213E+00"
"54","24.870E+03","559.1400E+00","-557.4469E+00"
"55","25.150E+03","553.0032E+00","-551.3181E+00"
"56","25.431E+03","544.6651E+00","-543.0490E+00"
"57","25.711E+03","536.8666E+00","-535.1384E+00"
"58","25.992E+03","528.5831E+00","-526.8267E+00"
"59","26.273E+03","517.1603E+00","-515.0162E+00"
"60","26.553E+03","513.7457E+00","-510.4060E+00"
"61","26.834E+03","513.9172E+00","-509.6103E+00"
"62","27.114E+03","524.9564E+00","-519.6739E+00"
"63","27.395E+03","532.7427E+00","-528.8717E+00"
"64","27.675E+03","528.3014E+00","-525.5684E+00"
"65","27.956E+03","522.3806E+00","-520.1538E+00"
"66","28.236E+03","516.8659E+00","-515.0772E+00"
"67","28.517E+03","510.1027E+00","-508.5833E+00"
"68","28.798E+03","503.7898E+00","-502.4713E+00"
"69","29.078E+03","497.5892E+00","-496.4384E+00"
"70","29.359E+03","490.8568E+00","-489.8258E+00"
"71","29.639E+03","484.4835E+00","-483.5115E+00"
"72","29.920E+03","478.3762E+00","-477.4525E+00"
"73","30.200E+03","472.4278E+00","-471.5180E+00"
"74","30.481E+03","466.8764E+00","-465.9646E+00"
"75","30.762E+03","461.7447E+00","-460.8168E+00"
"76","31.042E+03","456.6892E+00","-455.7688E+00"
"77","31.323E+03","451.2269E+00","-450.2806E+00"
"78","31.603E+03","445.6789E+00","-444.6160E+00"
"79","31.884E+03","443.5557E+00","-442.2181E+00"
"80","32.164E+03","442.7512E+00","-441.5322E+00"
"81","32.445E+03","438.8125E+00","-437.6640E+00"
"82","32.725E+03","436.0028E+00","-434.8682E+00"
"83","33.006E+03","432.6832E+00","-431.6675E+00"
"84","33.287E+03","428.3239E+00","-427.3628E+00"
"85","33.567E+03","424.3244E+00","-423.4077E+00"
"86","33.848E+03","419.7487E+00","-418.8506E+00"
"87","34.128E+03","415.6649E+00","-414.7212E+00"
"88","34.409E+03","412.0352E+00","-411.0298E+00"
"89","34.689E+03","410.1835E+00","-409.1114E+00"
"90","34.970E+03","408.1075E+00","-407.0441E+00"
"91","35.251E+03","406.4274E+00","-405.4903E+00"
"92","35.531E+03","402.2408E+00","-401.4328E+00"
"93","35.812E+03","397.6063E+00","-396.8169E+00"
"94","36.092E+03","394.0401E+00","-393.1725E+00"
"95","36.373E+03","392.7097E+00","-391.8318E+00"
"96","36.653E+03","389.8869E+00","-389.1146E+00"
"97","36.934E+03","386.2302E+00","-385.5140E+00"
"98","37.214E+03","382.5990E+00","-381.8974E+00"
"99","37.495E+03","379.3036E+00","-378.5986E+00"
"100","37.776E+03","376.6739E+00","-375.9610E+00"
"101","38.056E+03","373.9861E+00","-373.3170E+00"
"102","38.337E+03","370.7294E+00","-370.0976E+00"
"103","38.617E+03","367.3636E+00","-366.7525E+00"
"104","38.898E+03","363.9675E+00","-363.3624E+00"
"105","39.178E+03","360.7187E+00","-360.1069E+00"
"106","39.459E+03","357.4797E+00","-356.8583E+00"
"107","39.739E+03","354.1926E+00","-353.5380E+00"
"108","40.020E+03","351.5091E+00","-350.7735E+00"
"109","40.301E+03","350.1194E+00","-349.3692E+00"
"110","40.581E+03","347.0809E+00","-346.3532E+00"
"111","40.862E+03","344.3701E+00","-343.5486E+00"
"112","41.142E+03","343.4764E+00","-342.5926E+00"
"113","41.423E+03","342.4055E+00","-341.5679E+00"
"114","41.703E+03","340.1113E+00","-339.3394E+00"
"115","41.984E+03","337.4649E+00","-336.6884E+00"
"116","42.265E+03","336.0115E+00","-335.2248E+00"
"117","42.545E+03","334.1782E+00","-333.4575E+00"
"118","42.826E+03","331.3550E+00","-330.6810E+00"
"119","43.106E+03","328.6366E+00","-327.9362E+00"
"120","43.387E+03","327.3354E+00","-326.6092E+00"
"121","43.667E+03","325.6744E+00","-325.0184E+00"
"122","43.948E+03","323.0565E+00","-322.4427E+00"
"123","44.228E+03","320.6303E+00","-320.0304E+00"
"124","44.509E+03","318.3278E+00","-317.7425E+00"
"125","44.790E+03","315.9407E+00","-315.3743E+00"
"126","45.070E+03","313.3695E+00","-312.8076E+00"
"127","45.351E+03","311.0325E+00","-310.4508E+00"
"128","45.631E+03","309.2597E+00","-308.6635E+00"
"129","45.912E+03","307.4289E+00","-306.8566E+00"
"130","46.192E+03","305.0380E+00","-304.4871E+00"
"131","46.473E+03","302.5802E+00","-302.0278E+00"
"132","46.754E+03","300.3064E+00","-299.7395E+00"
"133","47.034E+03","298.0990E+00","-297.5201E+00"
"134","47.315E+03","295.7725E+00","-295.1666E+00"
"135","47.595E+03","293.7398E+00","-293.0751E+00"
"136","47.876E+03","292.3864E+00","-291.6626E+00"
"137","48.156E+03","291.2663E+00","-290.4946E+00"
"138","48.437E+03","291.0170E+00","-290.2401E+00"
"139","48.717E+03","289.7962E+00","-289.1143E+00"
"140","48.998E+03","287.4655E+00","-286.8365E+00"
"141","49.279E+03","285.0649E+00","-284.4414E+00"
"142","49.559E+03","282.9902E+00","-282.3419E+00"
"143","49.840E+03","281.3047E+00","-280.6344E+00"
"144","50.120E+03","279.6310E+00","-278.9417E+00"
"145","50.401E+03","278.2075E+00","-277.5031E+00"
"146","50.681E+03","276.5484E+00","-275.8428E+00"
"147","50.962E+03","274.9784E+00","-274.2470E+00"
"148","51.242E+03","273.6803E+00","-272.9351E+00"
"149","51.523E+03","272.2887E+00","-271.5446E+00"
"150","51.804E+03","270.6640E+00","-269.9171E+00"
"151","52.084E+03","269.1075E+00","-268.3306E+00"
"152","52.365E+03","267.9432E+00","-267.1291E+00"
"153","52.645E+03","267.2122E+00","-266.3704E+00"
"154","52.926E+03","266.8200E+00","-266.0203E+00"
"155","53.206E+03","265.2301E+00","-264.5233E+00"
"156","53.487E+03","262.9418E+00","-262.2607E+00"
"157","53.768E+03","260.9906E+00","-260.2961E+00"
"158","54.048E+03","259.1477E+00","-258.4329E+00"
"159","54.329E+03","257.3302E+00","-256.5723E+00"
"160","54.609E+03","255.8028E+00","-254.9665E+00"
"161","54.890E+03","254.9883E+00","-254.0317E+00"
"162","55.170E+03","255.6909E+00","-254.6598E+00"
"163","55.451E+03","255.9272E+00","-255.0065E+00"
"164","55.731E+03","254.6089E+00","-253.7751E+00"
"165","56.012E+03","253.4533E+00","-252.6675E+00"
"166","56.293E+03","251.9494E+00","-251.2243E+00"
"167","56.573E+03","250.1972E+00","-249.4992E+00"
"168","56.854E+03","248.5732E+00","-247.8799E+00"
"169","57.134E+03","247.1758E+00","-246.4791E+00"
"170","57.415E+03","245.8899E+00","-245.1993E+00"
"171","57.695E+03","244.4888E+00","-243.8129E+00"
"172","57.976E+03","242.8054E+00","-242.1351E+00"
"173","58.257E+03","241.1307E+00","-240.4266E+00"
"174","58.537E+03","240.1114E+00","-239.3523E+00"
"175","58.818E+03","239.3984E+00","-238.6238E+00"
"176","59.098E+03","238.4218E+00","-237.6465E+00"
"177","59.379E+03","237.4215E+00","-236.6286E+00"
"178","59.659E+03","236.8027E+00","-235.9822E+00"
"179","59.940E+03","236.6879E+00","-235.8843E+00"
"180","60.220E+03","235.9842E+00","-235.2741E+00"
"181","60.501E+03","234.2410E+00","-233.6004E+00"
"182","60.782E+03","232.2513E+00","-231.6172E+00"
"183","61.062E+03","230.6989E+00","-230.0147E+00"
"184","61.343E+03","230.1793E+00","-229.4343E+00"
"185","61.623E+03","230.1340E+00","-229.4080E+00"
"186","61.904E+03","229.3922E+00","-228.7399E+00"
"187","62.184E+03","228.0143E+00","-227.4191E+00"
"188","62.465E+03","226.4459E+00","-225.8798E+00"
"189","62.745E+03","224.9356E+00","-224.3780E+00"
"190","63.026E+03","223.5455E+00","-222.9872E+00"
"191","63.307E+03","222.2596E+00","-221.6961E+00"
"192","63.587E+03","221.0524E+00","-220.4826E+00"
"193","63.868E+03","219.9116E+00","-219.3327E+00"
"194","64.148E+03","218.9032E+00","-218.3138E+00"
"195","64.429E+03","218.0499E+00","-217.4610E+00"
"196","64.709E+03","217.0802E+00","-216.5121E+00"
"197","64.990E+03","215.7801E+00","-215.2313E+00"
"198","65.271E+03","214.3662E+00","-213.8164E+00"
"199","65.551E+03","213.1031E+00","-212.5384E+00"
"200","65.832E+03","211.9077E+00","-211.3246E+00"
"201","66.112E+03","210.8382E+00","-210.2213E+00"
"202","66.393E+03","210.1682E+00","-209.5155E+00"
