"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","17:35:18"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.288051E+03","-1.284451E+03"
"2","10.281E+03","1.250772E+03","-1.247664E+03"
"3","10.561E+03","1.216019E+03","-1.213013E+03"
"4","10.842E+03","1.181474E+03","-1.178471E+03"
"5","11.122E+03","1.148573E+03","-1.145172E+03"
"6","11.403E+03","1.122746E+03","-1.118874E+03"
"7","11.683E+03","1.107367E+03","-1.102785E+03"
"8","11.964E+03","1.092951E+03","-1.089269E+03"
"9","12.244E+03","1.063359E+03","-1.060276E+03"
"10","12.525E+03","1.037075E+03","-1.034047E+03"
"11","12.806E+03","1.010905E+03","-1.007809E+03"
"12","13.086E+03","988.7732E+00","-985.1761E+00"
"13","13.367E+03","972.8556E+00","-968.8253E+00"
"14","13.647E+03","961.1770E+00","-956.9641E+00"
"15","13.928E+03","946.2093E+00","-942.2478E+00"
"16","14.208E+03","933.0665E+00","-929.6299E+00"
"17","14.489E+03","912.8994E+00","-909.5260E+00"
"18","14.770E+03","901.6395E+00","-898.2426E+00"
"19","15.050E+03","888.9453E+00","-886.1898E+00"
"20","15.331E+03","868.7494E+00","-866.5005E+00"
"21","15.611E+03","847.6491E+00","-845.4524E+00"
"22","15.892E+03","830.5984E+00","-828.1132E+00"
"23","16.172E+03","816.7560E+00","-814.2224E+00"
"24","16.453E+03","805.9769E+00","-802.9596E+00"
"25","16.733E+03","794.4868E+00","-791.5451E+00"
"26","17.014E+03","788.4669E+00","-785.4381E+00"
"27","17.295E+03","777.9930E+00","-775.0587E+00"
"28","17.575E+03","772.3049E+00","-770.1685E+00"
"29","17.856E+03","756.1801E+00","-754.4214E+00"
"30","18.136E+03","741.9447E+00","-740.3159E+00"
"31","18.417E+03","728.5413E+00","-727.0026E+00"
"32","18.697E+03","715.3678E+00","-713.8629E+00"
"33","18.978E+03","702.5906E+00","-701.0224E+00"
"34","19.259E+03","693.2163E+00","-691.5806E+00"
"35","19.539E+03","682.2459E+00","-680.5943E+00"
"36","19.820E+03","672.6779E+00","-670.9707E+00"
"37","20.100E+03","663.3652E+00","-661.6327E+00"
"38","20.381E+03","654.0554E+00","-652.2781E+00"
"39","20.661E+03","645.5871E+00","-643.7158E+00"
"40","20.942E+03","638.1301E+00","-636.1852E+00"
"41","21.222E+03","631.4653E+00","-629.4717E+00"
"42","21.503E+03","624.2815E+00","-622.3498E+00"
"43","21.784E+03","618.2994E+00","-616.3054E+00"
"44","22.064E+03","612.3371E+00","-610.5836E+00"
"45","22.345E+03","602.7426E+00","-601.1092E+00"
"46","22.625E+03","594.8138E+00","-593.0625E+00"
"47","22.906E+03","589.9404E+00","-588.1613E+00"
"48","23.186E+03","583.9837E+00","-582.3852E+00"
"49","23.467E+03","575.0503E+00","-573.5710E+00"
"50","23.747E+03","568.2466E+00","-566.5950E+00"
"51","24.028E+03","563.9520E+00","-562.3152E+00"
"52","24.309E+03","558.7969E+00","-557.3067E+00"
"53","24.589E+03","552.3169E+00","-550.9974E+00"
"54","24.870E+03","544.7727E+00","-543.5794E+00"
"55","25.150E+03","536.8459E+00","-535.7129E+00"
"56","25.431E+03","529.0534E+00","-527.9353E+00"
"57","25.711E+03","520.9786E+00","-519.8521E+00"
"58","25.992E+03","511.8737E+00","-510.6198E+00"
"59","26.273E+03","506.0511E+00","-504.2818E+00"
"60","26.553E+03","504.8536E+00","-502.9234E+00"
"61","26.834E+03","501.6042E+00","-499.5282E+00"
"62","27.114E+03","500.6886E+00","-498.5044E+00"
"63","27.395E+03","499.1862E+00","-497.2236E+00"
"64","27.675E+03","494.4755E+00","-492.7109E+00"
"65","27.956E+03","490.7805E+00","-489.0086E+00"
"66","28.236E+03","488.8853E+00","-487.3289E+00"
"67","28.517E+03","483.5429E+00","-482.2941E+00"
"68","28.798E+03","476.8658E+00","-475.7624E+00"
