"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:29:30"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.324201E+03","-1.320671E+03"
"2","10.581E+03","1.252415E+03","-1.249662E+03"
"3","11.162E+03","1.178604E+03","-1.175660E+03"
"4","11.743E+03","1.123238E+03","-1.120135E+03"
"5","12.325E+03","1.086549E+03","-1.083105E+03"
"6","12.906E+03","1.032289E+03","-1.029394E+03"
"7","13.487E+03","992.0305E+00","-988.4455E+00"
"8","14.068E+03","961.4713E+00","-957.7147E+00"
"9","14.649E+03","924.2355E+00","-921.0812E+00"
"10","15.230E+03","901.4598E+00","-898.6258E+00"
"11","15.812E+03","860.2410E+00","-858.0960E+00"
"12","16.393E+03","826.1318E+00","-823.6459E+00"
"13","16.974E+03","804.3131E+00","-801.3571E+00"
"14","17.555E+03","789.4400E+00","-786.8270E+00"
"15","18.136E+03","762.7648E+00","-761.1616E+00"
"16","18.717E+03","734.7504E+00","-733.3318E+00"
"17","19.299E+03","708.1287E+00","-706.5129E+00"
"18","19.880E+03","690.6768E+00","-689.0208E+00"
"19","20.461E+03","670.0205E+00","-668.3865E+00"
"20","21.042E+03","652.4993E+00","-650.6713E+00"
"21","21.623E+03","637.5993E+00","-635.7786E+00"
"22","22.204E+03","626.0729E+00","-624.4308E+00"
"23","22.786E+03","608.3360E+00","-606.8316E+00"
"24","23.367E+03","593.7182E+00","-592.3830E+00"
"25","23.948E+03","578.8148E+00","-577.3256E+00"
"26","24.529E+03","568.4738E+00","-567.1712E+00"
"27","25.110E+03","553.2645E+00","-552.2009E+00"
"28","25.691E+03","537.1588E+00","-536.1431E+00"
"29","26.273E+03","520.3148E+00","-518.9235E+00"
"30","26.854E+03","514.8608E+00","-513.3072E+00"
"31","27.435E+03","508.4699E+00","-506.7322E+00"
"32","28.016E+03","501.1010E+00","-499.5084E+00"
"33","28.597E+03","494.9834E+00","-493.8950E+00"
"34","29.178E+03","480.5304E+00","-479.6723E+00"
"35","29.760E+03","468.5258E+00","-467.6436E+00"
"36","30.341E+03","457.0344E+00","-456.0361E+00"
"37","30.922E+03","450.7447E+00","-449.5951E+00"
"38","31.503E+03","441.2414E+00","-440.0590E+00"
"39","32.084E+03","441.0690E+00","-439.8858E+00"
"40","32.665E+03","430.2696E+00","-429.4341E+00"
"41","33.246E+03","420.0161E+00","-419.2188E+00"
"42","33.828E+03","409.4024E+00","-408.4385E+00"
"43","34.409E+03","404.0596E+00","-402.5506E+00"
"44","34.990E+03","409.6153E+00","-408.3558E+00"
"45","35.571E+03","400.2167E+00","-399.4331E+00"
"46","36.152E+03","391.2507E+00","-390.5832E+00"
"47","36.733E+03","382.6706E+00","-382.0042E+00"
"48","37.315E+03","377.1118E+00","-376.3320E+00"
"49","37.896E+03","371.9591E+00","-371.3062E+00"
"50","38.477E+03","364.9695E+00","-364.3577E+00"
"51","39.058E+03","358.8207E+00","-358.2262E+00"
"52","39.639E+03","353.1684E+00","-352.5445E+00"
"53","40.220E+03","346.2228E+00","-345.6580E+00"
"54","40.802E+03","337.9150E+00","-337.1589E+00"
"55","41.383E+03","340.9313E+00","-339.7592E+00"
"56","41.964E+03","335.7286E+00","-334.8975E+00"
"57","42.545E+03","333.9647E+00","-333.2203E+00"
"58","43.126E+03","327.9263E+00","-327.3836E+00"
"59","43.707E+03","321.9548E+00","-321.4542E+00"
"60","44.289E+03","316.6235E+00","-316.1201E+00"
"61","44.870E+03","311.7533E+00","-311.2707E+00"
"62","45.451E+03","306.5546E+00","-306.0629E+00"
"63","46.032E+03","301.9725E+00","-301.4433E+00"
"64","46.613E+03","297.0011E+00","-296.4205E+00"
"65","47.194E+03","294.8890E+00","-294.1496E+00"
"66","47.776E+03","292.1690E+00","-291.4941E+00"
"67","48.357E+03","289.1430E+00","-288.5823E+00"
"68","48.938E+03","283.6062E+00","-283.0609E+00"
"69","49.519E+03","280.1449E+00","-279.5257E+00"
"70","50.100E+03","276.6624E+00","-276.0007E+00"
"71","50.681E+03","274.2838E+00","-273.6105E+00"
"72","51.263E+03","271.0963E+00","-270.4843E+00"
"73","51.844E+03","266.4527E+00","-265.8504E+00"
"74","52.425E+03","262.3844E+00","-261.6748E+00"
"75","53.006E+03","259.3899E+00","-258.4985E+00"
"76","53.587E+03","259.6966E+00","-258.7035E+00"
"77","54.168E+03","257.6826E+00","-256.7666E+00"
"78","54.749E+03","255.6716E+00","-254.7668E+00"
"79","55.331E+03","253.8638E+00","-253.0762E+00"
"80","55.912E+03","250.4124E+00","-249.6859E+00"
"81","56.493E+03","247.9011E+00","-247.1751E+00"
"82","57.074E+03","244.3631E+00","-243.6942E+00"
"83","57.655E+03","241.5087E+00","-240.8027E+00"
"84","58.236E+03","237.9263E+00","-237.1350E+00"
"85","58.818E+03","237.9143E+00","-236.8572E+00"
"86","59.399E+03","238.4108E+00","-237.5999E+00"
"87","59.980E+03","235.1153E+00","-234.5150E+00"
"88","60.561E+03","230.6353E+00","-230.0277E+00"
"89","61.142E+03","228.9599E+00","-228.2917E+00"
"90","61.723E+03","226.3849E+00","-225.7678E+00"
"91","62.305E+03","223.6536E+00","-223.0196E+00"
"92","62.886E+03","221.9147E+00","-221.2174E+00"
"93","63.467E+03","220.3854E+00","-219.7524E+00"
"94","64.048E+03","217.6442E+00","-217.0402E+00"
"95","64.629E+03","215.3312E+00","-214.6865E+00"
"96","65.210E+03","214.0146E+00","-213.3963E+00"
"97","65.792E+03","211.5370E+00","-210.9751E+00"
"98","66.373E+03","208.7370E+00","-208.1595E+00"
"99","66.954E+03","206.2724E+00","-205.6826E+00"
"100","67.535E+03","204.0131E+00","-203.3195E+00"
"101","68.116E+03","202.9759E+00","-202.2517E+00"
"102","68.697E+03","201.5993E+00","-200.8276E+00"
"103","69.279E+03","200.8031E+00","-200.0379E+00"
"104","69.860E+03","199.6660E+00","-198.9568E+00"
"105","70.441E+03","198.0276E+00","-197.4077E+00"
"106","71.022E+03","195.5448E+00","-194.9684E+00"
"107","71.603E+03","193.4146E+00","-192.8574E+00"
"108","72.184E+03","190.8466E+00","-190.2927E+00"
"109","72.766E+03","188.6449E+00","-188.0240E+00"
"110","73.347E+03","187.3530E+00","-186.6721E+00"
"111","73.928E+03","186.1354E+00","-185.4407E+00"
"112","74.509E+03","184.9454E+00","-184.2506E+00"
"113","75.090E+03","183.4717E+00","-182.8136E+00"
"114","75.671E+03","181.4501E+00","-180.7549E+00"
"115","76.253E+03","181.0075E+00","-180.2885E+00"
"116","76.834E+03","179.7181E+00","-179.0887E+00"
"117","77.415E+03","177.5315E+00","-176.9581E+00"
"118","77.996E+03","175.1078E+00","-174.5239E+00"
"119","78.577E+03","173.3984E+00","-172.7333E+00"
"120","79.158E+03","172.5781E+00","-171.8924E+00"
"121","79.739E+03","171.3986E+00","-170.7044E+00"
"122","80.321E+03","170.2622E+00","-169.6055E+00"
"123","80.902E+03","168.5979E+00","-167.9784E+00"
"124","81.483E+03","166.8284E+00","-166.2043E+00"
"125","82.064E+03","165.3458E+00","-164.7199E+00"
"126","82.645E+03","163.6811E+00","-163.0769E+00"
"127","83.226E+03","161.5935E+00","-160.9680E+00"
"128","83.808E+03","159.8692E+00","-159.1720E+00"
"129","84.389E+03","159.0924E+00","-158.3362E+00"
"130","84.970E+03","157.9097E+00","-157.1587E+00"
"131","85.551E+03","156.3247E+00","-155.5681E+00"
"132","86.132E+03","154.6014E+00","-153.7814E+00"
"133","86.713E+03","153.3915E+00","-152.4341E+00"
"134","87.295E+03","154.0572E+00","-152.9600E+00"
"135","87.876E+03","153.8318E+00","-152.9040E+00"
"136","88.457E+03","152.3153E+00","-151.4426E+00"
"137","89.038E+03","150.8106E+00","-149.9547E+00"
"138","89.619E+03","149.6054E+00","-148.7086E+00"
"139","90.200E+03","148.8319E+00","-147.9505E+00"
"140","90.782E+03","147.6352E+00","-146.7763E+00"
"141","91.363E+03","146.5307E+00","-145.6780E+00"
"142","91.944E+03","145.5831E+00","-144.7659E+00"
"143","92.525E+03","144.1340E+00","-143.3710E+00"
"144","93.106E+03","142.5708E+00","-141.8245E+00"
"145","93.687E+03","140.9465E+00","-140.2107E+00"
"146","94.269E+03","139.4884E+00","-138.7447E+00"
"147","94.850E+03","137.9216E+00","-137.1747E+00"
"148","95.431E+03","136.3044E+00","-135.5602E+00"
"149","96.012E+03","134.2757E+00","-133.4851E+00"
"150","96.593E+03","132.9484E+00","-132.0299E+00"
"151","97.174E+03","132.3813E+00","-131.4238E+00"
"152","97.756E+03","130.7516E+00","-129.8188E+00"
"153","98.337E+03","128.7028E+00","-127.6507E+00"
"154","98.918E+03","127.8471E+00","-126.5547E+00"
"155","99.499E+03","128.1853E+00","-126.7053E+00"
"156","100.08E+03","128.9857E+00","-127.5695E+00"
"157","100.66E+03","127.9085E+00","-126.7320E+00"
"158","101.24E+03","125.2817E+00","-124.1846E+00"
"159","101.82E+03","122.9105E+00","-121.6589E+00"
"160","102.40E+03","122.1817E+00","-120.6159E+00"
"161","102.99E+03","122.9083E+00","-121.2152E+00"
"162","103.57E+03","122.9099E+00","-121.3787E+00"
"163","104.15E+03","121.1194E+00","-119.7082E+00"
"164","104.73E+03","119.9226E+00","-118.4429E+00"
"165","105.31E+03","118.9737E+00","-117.5922E+00"
"166","105.89E+03","116.5515E+00","-115.2409E+00"
"167","106.47E+03","114.4535E+00","-112.9409E+00"
"168","107.05E+03","113.9440E+00","-112.2806E+00"
"169","107.64E+03","112.8746E+00","-111.2277E+00"
"170","108.22E+03","111.3173E+00","-109.6831E+00"
"171","108.80E+03","109.0425E+00","-107.4068E+00"
"172","109.38E+03","106.6262E+00","-104.7814E+00"
"173","109.96E+03","105.1042E+00","-102.9029E+00"
"174","110.54E+03","104.3542E+00","-101.8769E+00"
"175","111.12E+03","102.8270E+00","-100.1866E+00"
"176","111.70E+03","101.1772E+00","-98.05475E+00"
"177","112.28E+03","101.1140E+00","-97.44456E+00"
"178","112.87E+03","100.9556E+00","-97.03634E+00"
"179","113.45E+03","99.69443E+00","-95.70250E+00"
"180","114.03E+03","97.73372E+00","-93.24038E+00"
"181","114.61E+03","96.93861E+00","-91.80479E+00"
"182","115.19E+03","95.79221E+00","-90.06061E+00"
"183","115.77E+03","93.61598E+00","-87.06820E+00"
"184","116.35E+03","92.68939E+00","-83.61107E+00"
"185","116.93E+03","97.33416E+00","-84.98387E+00"
"186","117.52E+03","104.4310E+00","-90.34448E+00"
"187","118.10E+03","109.8474E+00","-96.59458E+00"
"188","118.68E+03","110.5541E+00","-99.00603E+00"
"189","119.26E+03","109.7271E+00","-98.93745E+00"
"190","119.84E+03","108.7410E+00","-98.42561E+00"
"191","120.42E+03","106.7183E+00","-96.42589E+00"
"192","121.00E+03","106.4529E+00","-95.01682E+00"
"193","121.58E+03","107.9436E+00","-96.23843E+00"
"194","122.16E+03","107.5973E+00","-96.08797E+00"
"195","122.75E+03","105.4327E+00","-94.06074E+00"
"196","123.33E+03","103.6635E+00","-90.57364E+00"
"197","123.91E+03","105.9785E+00","-90.58724E+00"
"198","124.49E+03","109.3198E+00","-92.63009E+00"
"199","125.07E+03","111.6720E+00","-94.65702E+00"
"200","125.65E+03","112.9970E+00","-95.71802E+00"
"201","126.23E+03","115.2493E+00","-97.29180E+00"
"202","126.81E+03","116.9506E+00","-99.93198E+00"
"203","127.39E+03","114.4346E+00","-98.23258E+00"
"204","127.98E+03","112.6921E+00","-94.54428E+00"
"205","128.56E+03","116.6835E+00","-95.02773E+00"
"206","129.14E+03","123.0734E+00","-100.2925E+00"
"207","129.72E+03","127.0650E+00","-105.5020E+00"
"208","130.30E+03","127.7225E+00","-108.2445E+00"
"209","130.88E+03","124.9832E+00","-107.0858E+00"
"210","131.46E+03","121.5649E+00","-102.7277E+00"
"211","132.04E+03","122.7365E+00","-100.1437E+00"
"212","132.63E+03","129.8268E+00","-103.2755E+00"
"213","133.21E+03","139.3306E+00","-111.2544E+00"
"214","133.79E+03","146.7053E+00","-121.3527E+00"
"215","134.37E+03","148.4586E+00","-126.8364E+00"
"216","134.95E+03","147.8347E+00","-129.0414E+00"
"217","135.53E+03","146.4697E+00","-129.6371E+00"
"218","136.11E+03","144.4650E+00","-128.6634E+00"
"219","136.69E+03","144.6747E+00","-129.1350E+00"
"220","137.27E+03","144.2623E+00","-129.9015E+00"
"221","137.86E+03","142.0897E+00","-128.0853E+00"
"222","138.44E+03","141.9407E+00","-127.0581E+00"
"223","139.02E+03","144.9372E+00","-128.7437E+00"
"224","139.60E+03","151.3445E+00","-134.7277E+00"
"225","140.18E+03","157.3664E+00","-143.0434E+00"
"226","140.76E+03","157.3155E+00","-146.5643E+00"
"227","141.34E+03","153.3598E+00","-144.8097E+00"
"228","141.92E+03","149.3272E+00","-141.6829E+00"
"229","142.51E+03","147.2182E+00","-139.7083E+00"
"230","143.09E+03","147.0124E+00","-139.6291E+00"
"231","143.67E+03","148.2921E+00","-141.2993E+00"
"232","144.25E+03","149.0816E+00","-143.4271E+00"
"233","144.83E+03","145.8170E+00","-141.6624E+00"
"234","145.41E+03","140.0668E+00","-136.5921E+00"
"235","145.99E+03","134.9621E+00","-131.3221E+00"
"236","146.57E+03","132.6662E+00","-128.2781E+00"
"237","147.15E+03","133.2686E+00","-128.1310E+00"
"238","147.74E+03","135.2361E+00","-129.7185E+00"
"239","148.32E+03","137.4059E+00","-132.0042E+00"
"240","148.90E+03","138.9653E+00","-134.0304E+00"
"241","149.48E+03","139.8496E+00","-135.6268E+00"
"242","150.06E+03","139.1884E+00","-135.8195E+00"
"243","150.64E+03","136.8881E+00","-134.1542E+00"
"244","151.22E+03","134.2549E+00","-131.8313E+00"
"245","151.80E+03","132.1703E+00","-129.8751E+00"
"246","152.38E+03","130.4971E+00","-128.3162E+00"
"247","152.97E+03","128.6965E+00","-126.5980E+00"
"248","153.55E+03","126.9701E+00","-124.8681E+00"
"249","154.13E+03","125.7275E+00","-123.5104E+00"
"250","154.71E+03","125.3066E+00","-122.9538E+00"
"251","155.29E+03","125.5437E+00","-123.1359E+00"
"252","155.87E+03","125.8517E+00","-123.5771E+00"
"253","156.45E+03","125.3535E+00","-123.3173E+00"
"254","157.03E+03","124.0926E+00","-122.2486E+00"
"255","157.62E+03","122.4474E+00","-120.6690E+00"
"256","158.20E+03","121.1483E+00","-119.2811E+00"
"257","158.78E+03","120.9062E+00","-118.8663E+00"
"258","159.36E+03","121.5390E+00","-119.4524E+00"
"259","159.94E+03","121.9836E+00","-120.0205E+00"
"260","160.52E+03","121.9558E+00","-120.1752E+00"
"261","161.10E+03","121.5486E+00","-119.9749E+00"
"262","161.68E+03","120.5924E+00","-119.2108E+00"
"263","162.26E+03","119.3472E+00","-118.0896E+00"
"264","162.85E+03","118.0581E+00","-116.8791E+00"
"265","163.43E+03","116.7219E+00","-115.5714E+00"
"266","164.01E+03","115.6409E+00","-114.4526E+00"
"267","164.59E+03","115.0860E+00","-113.8418E+00"
"268","165.17E+03","114.8085E+00","-113.5485E+00"
"269","165.75E+03","114.4890E+00","-113.2385E+00"
"270","166.33E+03","114.2237E+00","-112.9786E+00"
"271","166.91E+03","114.2260E+00","-113.0008E+00"
"272","167.49E+03","114.2910E+00","-113.1624E+00"
