"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:30:29"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.326025E+03","-1.322335E+03"
"2","10.581E+03","1.255278E+03","-1.252529E+03"
"3","11.162E+03","1.178714E+03","-1.175864E+03"
"4","11.743E+03","1.124166E+03","-1.121111E+03"
"5","12.325E+03","1.085918E+03","-1.082418E+03"
"6","12.906E+03","1.033805E+03","-1.030723E+03"
"7","13.487E+03","995.6162E+00","-992.1032E+00"
"8","14.068E+03","963.1544E+00","-959.5721E+00"
"9","14.649E+03","924.9370E+00","-921.8886E+00"
"10","15.230E+03","900.6513E+00","-897.8823E+00"
"11","15.812E+03","860.7133E+00","-858.6243E+00"
"12","16.393E+03","826.4743E+00","-824.1295E+00"
"13","16.974E+03","803.2694E+00","-800.3781E+00"
"14","17.555E+03","787.3742E+00","-784.8769E+00"
"15","18.136E+03","761.7286E+00","-760.0955E+00"
"16","18.717E+03","734.4722E+00","-733.0157E+00"
"17","19.299E+03","707.7676E+00","-706.1237E+00"
"18","19.880E+03","690.6607E+00","-688.9350E+00"
"19","20.461E+03","670.5429E+00","-668.8591E+00"
"20","21.042E+03","652.9962E+00","-651.1270E+00"
"21","21.623E+03","638.2428E+00","-636.3856E+00"
"22","22.204E+03","626.9636E+00","-625.3089E+00"
"23","22.786E+03","608.9887E+00","-607.4920E+00"
"24","23.367E+03","594.2250E+00","-592.8914E+00"
"25","23.948E+03","579.4205E+00","-577.9400E+00"
"26","24.529E+03","568.8733E+00","-567.5871E+00"
"27","25.110E+03","553.6756E+00","-552.6239E+00"
"28","25.691E+03","537.5899E+00","-536.5855E+00"
"29","26.273E+03","520.8112E+00","-519.4690E+00"
"30","26.854E+03","514.9277E+00","-513.4013E+00"
"31","27.435E+03","508.1264E+00","-506.3939E+00"
"32","28.016E+03","501.2021E+00","-499.5975E+00"
"33","28.597E+03","495.2055E+00","-494.1140E+00"
"34","29.178E+03","480.7103E+00","-479.8531E+00"
"35","29.760E+03","468.7337E+00","-467.8532E+00"
"36","30.341E+03","457.1922E+00","-456.2070E+00"
"37","30.922E+03","450.8210E+00","-449.6675E+00"
"38","31.503E+03","441.4375E+00","-440.2640E+00"
"39","32.084E+03","441.1324E+00","-439.9439E+00"
"40","32.665E+03","430.3939E+00","-429.5603E+00"
"41","33.246E+03","420.1690E+00","-419.3681E+00"
"42","33.828E+03","409.5620E+00","-408.5995E+00"
"43","34.409E+03","404.2502E+00","-402.7408E+00"
"44","34.990E+03","409.6554E+00","-408.3939E+00"
"45","35.571E+03","400.3970E+00","-399.6132E+00"
"46","36.152E+03","391.4030E+00","-390.7359E+00"
"47","36.733E+03","382.8262E+00","-382.1591E+00"
"48","37.315E+03","377.2830E+00","-376.5038E+00"
"49","37.896E+03","372.1364E+00","-371.4838E+00"
"50","38.477E+03","365.1585E+00","-364.5487E+00"
"51","39.058E+03","359.0108E+00","-358.4187E+00"
"52","39.639E+03","353.3102E+00","-352.6927E+00"
"53","40.220E+03","346.3312E+00","-345.7704E+00"
"54","40.802E+03","338.0150E+00","-337.2682E+00"
"55","41.383E+03","340.8085E+00","-339.6014E+00"
"56","41.964E+03","336.1005E+00","-335.2802E+00"
"57","42.545E+03","333.9959E+00","-333.2554E+00"
"58","43.126E+03","328.0523E+00","-327.5098E+00"
"59","43.707E+03","322.0866E+00","-321.5871E+00"
"60","44.289E+03","316.7501E+00","-316.2491E+00"
"61","44.870E+03","311.8707E+00","-311.3896E+00"
"62","45.451E+03","306.6563E+00","-306.1666E+00"
"63","46.032E+03","302.0519E+00","-301.5233E+00"
"64","46.613E+03","297.1082E+00","-296.5271E+00"
"65","47.194E+03","295.0176E+00","-294.2785E+00"
"66","47.776E+03","292.3013E+00","-291.6283E+00"
"67","48.357E+03","289.2623E+00","-288.7025E+00"
"68","48.938E+03","283.7260E+00","-283.1830E+00"
"69","49.519E+03","280.2396E+00","-279.6218E+00"
"70","50.100E+03","276.7607E+00","-276.1015E+00"
"71","50.681E+03","274.4032E+00","-273.7293E+00"
"72","51.263E+03","271.2273E+00","-270.6177E+00"
"73","51.844E+03","266.5608E+00","-265.9609E+00"
"74","52.425E+03","262.4718E+00","-261.7644E+00"
"75","53.006E+03","259.5253E+00","-258.6375E+00"
"76","53.587E+03","259.7923E+00","-258.8024E+00"
"77","54.168E+03","257.7749E+00","-256.8645E+00"
"78","54.749E+03","255.7328E+00","-254.8344E+00"
"79","55.331E+03","253.8869E+00","-253.1004E+00"
"80","55.912E+03","250.4755E+00","-249.7481E+00"
"81","56.493E+03","247.9749E+00","-247.2487E+00"
"82","57.074E+03","244.4361E+00","-243.7667E+00"
"83","57.655E+03","241.6236E+00","-240.9135E+00"
"84","58.236E+03","238.0941E+00","-237.3047E+00"
"85","58.818E+03","238.0008E+00","-236.9485E+00"
"86","59.399E+03","238.5399E+00","-237.7345E+00"
"87","59.980E+03","235.1812E+00","-234.5854E+00"
"88","60.561E+03","230.6928E+00","-230.0899E+00"
"89","61.142E+03","228.9723E+00","-228.3069E+00"
"90","61.723E+03","226.4277E+00","-225.8107E+00"
"91","62.305E+03","223.7086E+00","-223.0748E+00"
"92","62.886E+03","221.9714E+00","-221.2730E+00"
"93","63.467E+03","220.4615E+00","-219.8278E+00"
"94","64.048E+03","217.7211E+00","-217.1169E+00"
"95","64.629E+03","215.4022E+00","-214.7562E+00"
"96","65.210E+03","214.1184E+00","-213.4999E+00"
"97","65.792E+03","211.6390E+00","-211.0780E+00"
"98","66.373E+03","208.8298E+00","-208.2544E+00"
"99","66.954E+03","206.3545E+00","-205.7662E+00"
"100","67.535E+03","204.0960E+00","-203.4047E+00"
"101","68.116E+03","203.0595E+00","-202.3384E+00"
"102","68.697E+03","201.6544E+00","-200.8872E+00"
"103","69.279E+03","200.8428E+00","-200.0796E+00"
"104","69.860E+03","199.7095E+00","-199.0005E+00"
"105","70.441E+03","198.0848E+00","-197.4647E+00"
"106","71.022E+03","195.6157E+00","-195.0385E+00"
"107","71.603E+03","193.4982E+00","-192.9414E+00"
"108","72.184E+03","190.9216E+00","-190.3688E+00"
"109","72.766E+03","188.7119E+00","-188.0925E+00"
"110","73.347E+03","187.4145E+00","-186.7345E+00"
"111","73.928E+03","186.2067E+00","-185.5131E+00"
"112","74.509E+03","185.0088E+00","-184.3157E+00"
"113","75.090E+03","183.5325E+00","-182.8752E+00"
"114","75.671E+03","181.5083E+00","-180.8139E+00"
"115","76.253E+03","181.0778E+00","-180.3588E+00"
"116","76.834E+03","179.7914E+00","-179.1631E+00"
"117","77.415E+03","177.5952E+00","-177.0228E+00"
"118","77.996E+03","175.1770E+00","-174.5941E+00"
"119","78.577E+03","173.4593E+00","-172.7956E+00"
"120","79.158E+03","172.6403E+00","-171.9559E+00"
"121","79.739E+03","171.4588E+00","-170.7656E+00"
"122","80.321E+03","170.3248E+00","-169.6697E+00"
"123","80.902E+03","168.6530E+00","-168.0348E+00"
"124","81.483E+03","166.8830E+00","-166.2598E+00"
"125","82.064E+03","165.4047E+00","-164.7795E+00"
"126","82.645E+03","163.7453E+00","-163.1426E+00"
"127","83.226E+03","161.6423E+00","-161.0186E+00"
"128","83.808E+03","159.9176E+00","-159.2214E+00"
"129","84.389E+03","159.1413E+00","-158.3856E+00"
"130","84.970E+03","157.9620E+00","-157.2111E+00"
"131","85.551E+03","156.3855E+00","-155.6294E+00"
"132","86.132E+03","154.6578E+00","-153.8391E+00"
"133","86.713E+03","153.4459E+00","-152.4901E+00"
"134","87.295E+03","154.0979E+00","-153.0008E+00"
"135","87.876E+03","153.9027E+00","-152.9748E+00"
"136","88.457E+03","152.3787E+00","-151.5078E+00"
"137","89.038E+03","150.8663E+00","-150.0123E+00"
"138","89.619E+03","149.6529E+00","-148.7582E+00"
"139","90.200E+03","148.8748E+00","-147.9944E+00"
"140","90.782E+03","147.6819E+00","-146.8234E+00"
"141","91.363E+03","146.5848E+00","-145.7326E+00"
"142","91.944E+03","145.6363E+00","-144.8201E+00"
"143","92.525E+03","144.1841E+00","-143.4220E+00"
"144","93.106E+03","142.6207E+00","-141.8753E+00"
"145","93.687E+03","140.9954E+00","-140.2603E+00"
"146","94.269E+03","139.5385E+00","-138.7954E+00"
"147","94.850E+03","137.9702E+00","-137.2238E+00"
"148","95.431E+03","136.3583E+00","-135.6142E+00"
"149","96.012E+03","134.3309E+00","-133.5411E+00"
"150","96.593E+03","132.9964E+00","-132.0789E+00"
"151","97.174E+03","132.4326E+00","-131.4751E+00"
"152","97.756E+03","130.8167E+00","-129.8844E+00"
"153","98.337E+03","128.7652E+00","-127.7156E+00"
"154","98.918E+03","127.8985E+00","-126.6087E+00"
"155","99.499E+03","128.2384E+00","-126.7622E+00"
"156","100.08E+03","129.0231E+00","-127.6102E+00"
"157","100.66E+03","127.9556E+00","-126.7806E+00"
"158","101.24E+03","125.3280E+00","-124.2343E+00"
"159","101.82E+03","122.9397E+00","-121.6922E+00"
"160","102.40E+03","122.2003E+00","-120.6353E+00"
"161","102.99E+03","122.9470E+00","-121.2530E+00"
"162","103.57E+03","122.9619E+00","-121.4303E+00"
"163","104.15E+03","121.1727E+00","-119.7642E+00"
"164","104.73E+03","119.9539E+00","-118.4772E+00"
"165","105.31E+03","119.0071E+00","-117.6267E+00"
"166","105.89E+03","116.5857E+00","-115.2763E+00"
"167","106.47E+03","114.4773E+00","-112.9654E+00"
"168","107.05E+03","113.9806E+00","-112.3133E+00"
"169","107.64E+03","112.9348E+00","-111.2847E+00"
"170","108.22E+03","111.3924E+00","-109.7577E+00"
"171","108.80E+03","109.1104E+00","-107.4779E+00"
"172","109.38E+03","106.6752E+00","-104.8351E+00"
"173","109.96E+03","105.1473E+00","-102.9487E+00"
"174","110.54E+03","104.4023E+00","-101.9283E+00"
"175","111.12E+03","102.8795E+00","-100.2415E+00"
"176","111.70E+03","101.2340E+00","-98.11893E+00"
"177","112.28E+03","101.1475E+00","-97.48736E+00"
"178","112.87E+03","100.9791E+00","-97.06389E+00"
"179","113.45E+03","99.75241E+00","-95.76089E+00"
"180","114.03E+03","97.78647E+00","-93.30471E+00"
"181","114.61E+03","96.97247E+00","-91.85125E+00"
"182","115.19E+03","95.81684E+00","-90.09589E+00"
"183","115.77E+03","93.65879E+00","-87.12187E+00"
"184","116.35E+03","92.71238E+00","-83.65740E+00"
"185","116.93E+03","97.35247E+00","-85.02603E+00"
"186","117.52E+03","104.4243E+00","-90.38076E+00"
