"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:31:15"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.327767E+03","-1.324079E+03"
"2","10.581E+03","1.256727E+03","-1.253985E+03"
"3","11.162E+03","1.180340E+03","-1.177496E+03"
"4","11.743E+03","1.124783E+03","-1.121729E+03"
"5","12.325E+03","1.086497E+03","-1.083012E+03"
"6","12.906E+03","1.034934E+03","-1.031836E+03"
"7","13.487E+03","996.8650E+00","-993.3847E+00"
"8","14.068E+03","964.0690E+00","-960.5099E+00"
"9","14.649E+03","925.9936E+00","-922.9557E+00"
"10","15.230E+03","901.7536E+00","-899.0442E+00"
"11","15.812E+03","861.2318E+00","-859.1673E+00"
"12","16.393E+03","827.0752E+00","-824.7414E+00"
"13","16.974E+03","803.8477E+00","-800.9529E+00"
"14","17.555E+03","788.1508E+00","-785.6540E+00"
"15","18.136E+03","762.1803E+00","-760.5523E+00"
"16","18.717E+03","734.9751E+00","-733.5228E+00"
"17","19.299E+03","708.2920E+00","-706.6437E+00"
"18","19.880E+03","691.1694E+00","-689.4414E+00"
"19","20.461E+03","671.1377E+00","-669.4467E+00"
"20","21.042E+03","653.6958E+00","-651.8283E+00"
"21","21.623E+03","638.8691E+00","-637.0216E+00"
"22","22.204E+03","627.5025E+00","-625.8564E+00"
"23","22.786E+03","609.4836E+00","-607.9886E+00"
"24","23.367E+03","594.7782E+00","-593.4465E+00"
"25","23.948E+03","580.0406E+00","-578.5629E+00"
"26","24.529E+03","569.4412E+00","-568.1661E+00"
"27","25.110E+03","554.1222E+00","-553.0796E+00"
"28","25.691E+03","538.0231E+00","-537.0251E+00"
"29","26.273E+03","521.2575E+00","-519.9167E+00"
"30","26.854E+03","515.3801E+00","-513.8611E+00"
"31","27.435E+03","508.6011E+00","-506.8807E+00"
"32","28.016E+03","501.5135E+00","-499.9212E+00"
"33","28.597E+03","495.5827E+00","-494.4946E+00"
"34","29.178E+03","481.1119E+00","-480.2587E+00"
"35","29.760E+03","469.1508E+00","-468.2764E+00"
"36","30.341E+03","457.5294E+00","-456.5560E+00"
"37","30.922E+03","451.0529E+00","-449.9022E+00"
"38","31.503E+03","441.7897E+00","-440.6148E+00"
"39","32.084E+03","441.4882E+00","-440.3072E+00"
"40","32.665E+03","430.7323E+00","-429.9021E+00"
"41","33.246E+03","420.4793E+00","-419.6817E+00"
"42","33.828E+03","409.9271E+00","-408.9680E+00"
"43","34.409E+03","404.5584E+00","-403.0563E+00"
"44","34.990E+03","409.9797E+00","-408.7207E+00"
"45","35.571E+03","400.6954E+00","-399.9159E+00"
"46","36.152E+03","391.6829E+00","-391.0190E+00"
"47","36.733E+03","383.1123E+00","-382.4466E+00"
"48","37.315E+03","377.6201E+00","-376.8443E+00"
"49","37.896E+03","372.4095E+00","-371.7610E+00"
"50","38.477E+03","365.4231E+00","-364.8159E+00"
"51","39.058E+03","359.3137E+00","-358.7238E+00"
"52","39.639E+03","353.5872E+00","-352.9744E+00"
"53","40.220E+03","346.6019E+00","-346.0445E+00"
"54","40.802E+03","338.2823E+00","-337.5398E+00"
"55","41.383E+03","341.0338E+00","-339.8354E+00"
"56","41.964E+03","336.3185E+00","-335.4938E+00"
"57","42.545E+03","334.3151E+00","-333.5794E+00"
"58","43.126E+03","328.3105E+00","-327.7722E+00"
"59","43.707E+03","322.3330E+00","-321.8369E+00"
"60","44.289E+03","316.9928E+00","-316.4961E+00"
"61","44.870E+03","312.0881E+00","-311.6104E+00"
"62","45.451E+03","306.8603E+00","-306.3733E+00"
"63","46.032E+03","302.2709E+00","-301.7437E+00"
"64","46.613E+03","297.3331E+00","-296.7547E+00"
"65","47.194E+03","295.2294E+00","-294.4921E+00"
"66","47.776E+03","292.5294E+00","-291.8594E+00"
"67","48.357E+03","289.4827E+00","-288.9254E+00"
"68","48.938E+03","283.9486E+00","-283.4086E+00"
"69","49.519E+03","280.4454E+00","-279.8303E+00"
"70","50.100E+03","276.9848E+00","-276.3287E+00"
"71","50.681E+03","274.6083E+00","-273.9388E+00"
"72","51.263E+03","271.4159E+00","-270.8092E+00"
"73","51.844E+03","266.7559E+00","-266.1589E+00"
"74","52.425E+03","262.6541E+00","-261.9513E+00"
"75","53.006E+03","259.6835E+00","-258.7948E+00"
"76","53.587E+03","260.0143E+00","-259.0260E+00"
