"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-12"
"TIME","16:31:33"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.327163E+03","-1.323506E+03"
"2","10.581E+03","1.256301E+03","-1.253550E+03"
"3","11.162E+03","1.180292E+03","-1.177439E+03"
"4","11.743E+03","1.124906E+03","-1.121853E+03"
"5","12.325E+03","1.086618E+03","-1.083152E+03"
"6","12.906E+03","1.034649E+03","-1.031583E+03"
"7","13.487E+03","996.4006E+00","-992.9012E+00"
"8","14.068E+03","964.0347E+00","-960.4515E+00"
"9","14.649E+03","925.9835E+00","-922.9258E+00"
"10","15.230E+03","902.2397E+00","-899.5533E+00"
"11","15.812E+03","861.0483E+00","-858.9872E+00"
"12","16.393E+03","827.0048E+00","-824.6461E+00"
"13","16.974E+03","803.9206E+00","-801.0040E+00"
"14","17.555E+03","788.9066E+00","-786.3742E+00"
"15","18.136E+03","762.3297E+00","-760.7115E+00"
"16","18.717E+03","734.9797E+00","-733.5390E+00"
"17","19.299E+03","708.3282E+00","-706.6804E+00"
"18","19.880E+03","691.1197E+00","-689.4000E+00"
"19","20.461E+03","671.0777E+00","-669.3852E+00"
"20","21.042E+03","653.8102E+00","-651.9462E+00"
"21","21.623E+03","638.8606E+00","-637.0264E+00"
"22","22.204E+03","627.3590E+00","-625.7237E+00"
"23","22.786E+03","609.3478E+00","-607.8476E+00"
"24","23.367E+03","594.7384E+00","-593.4068E+00"
"25","23.948E+03","580.0666E+00","-578.5866E+00"
"26","24.529E+03","569.4456E+00","-568.1788E+00"
"27","25.110E+03","553.9863E+00","-552.9487E+00"
"28","25.691E+03","537.8569E+00","-536.8590E+00"
"29","26.273E+03","521.0893E+00","-519.7224E+00"
"30","26.854E+03","515.4561E+00","-513.9284E+00"
"31","27.435E+03","508.8452E+00","-507.1298E+00"
"32","28.016E+03","501.4456E+00","-499.8612E+00"
"33","28.597E+03","495.5255E+00","-494.4403E+00"
"34","29.178E+03","481.0778E+00","-480.2249E+00"
"35","29.760E+03","469.1357E+00","-468.2629E+00"
"36","30.341E+03","457.5136E+00","-456.5404E+00"
"37","30.922E+03","450.9676E+00","-449.8171E+00"
"38","31.503E+03","441.7477E+00","-440.5653E+00"
"39","32.084E+03","441.5506E+00","-440.3777E+00"
"40","32.665E+03","430.7121E+00","-429.8825E+00"
"41","33.246E+03","420.4401E+00","-419.6436E+00"
"42","33.828E+03","409.9387E+00","-408.9778E+00"
"43","34.409E+03","404.5556E+00","-403.0543E+00"
"44","34.990E+03","410.0110E+00","-408.7567E+00"
