"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-05"
"TIME","17:41:48"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.514214E+03","-1.509847E+03"
"2","10.281E+03","1.478743E+03","-1.475257E+03"
"3","10.561E+03","1.441602E+03","-1.438161E+03"
"4","10.842E+03","1.406667E+03","-1.403645E+03"
"5","11.122E+03","1.370899E+03","-1.368203E+03"
"6","11.403E+03","1.335026E+03","-1.332535E+03"
"7","11.683E+03","1.300937E+03","-1.298536E+03"
"8","11.964E+03","1.268023E+03","-1.265641E+03"
"9","12.244E+03","1.237294E+03","-1.234810E+03"
"10","12.525E+03","1.209046E+03","-1.206437E+03"
"11","12.806E+03","1.182186E+03","-1.179368E+03"
"12","13.086E+03","1.159140E+03","-1.155998E+03"
"13","13.367E+03","1.140780E+03","-1.137409E+03"
"14","13.647E+03","1.123999E+03","-1.120865E+03"
"15","13.928E+03","1.100027E+03","-1.097216E+03"
"16","14.208E+03","1.077658E+03","-1.074413E+03"
"17","14.489E+03","1.067124E+03","-1.063908E+03"
"18","14.770E+03","1.050328E+03","-1.047690E+03"
"19","15.050E+03","1.029299E+03","-1.027006E+03"
"20","15.331E+03","1.008440E+03","-1.006313E+03"
"21","15.611E+03","988.3366E+00","-986.3241E+00"
"22","15.892E+03","966.0902E+00","-964.1243E+00"
"23","16.172E+03","949.6246E+00","-947.0259E+00"
"24","16.453E+03","937.8339E+00","-935.3716E+00"
"25","16.733E+03","921.8617E+00","-919.4919E+00"
"26","17.014E+03","905.6997E+00","-902.8721E+00"
"27","17.295E+03","900.1831E+00","-897.2441E+00"
"28","17.575E+03","891.0708E+00","-888.5446E+00"
"29","17.856E+03","877.7501E+00","-875.6296E+00"
"30","18.136E+03","862.7818E+00","-860.9230E+00"
"31","18.417E+03","847.4118E+00","-845.7031E+00"
"32","18.697E+03","832.2154E+00","-830.5819E+00"
"33","18.978E+03","816.9993E+00","-815.3798E+00"
"34","19.259E+03","801.0954E+00","-799.3343E+00"
"35","19.539E+03","788.0910E+00","-785.9342E+00"
"36","19.820E+03","782.4649E+00","-779.7209E+00"
"37","20.100E+03","781.3272E+00","-778.6826E+00"
"38","20.381E+03","773.1004E+00","-770.9359E+00"
"39","20.661E+03","762.3499E+00","-760.3677E+00"
"40","20.942E+03","753.0944E+00","-751.2798E+00"
"41","21.222E+03","742.0591E+00","-740.4651E+00"
"42","21.503E+03","729.5609E+00","-728.0413E+00"
"43","21.784E+03","717.7530E+00","-716.1479E+00"
"44","22.064E+03","708.4609E+00","-706.6172E+00"
"45","22.345E+03","703.2131E+00","-701.2130E+00"
"46","22.625E+03","697.3856E+00","-695.5296E+00"
