"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:24:12"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.884419E+03",""
"2","12.481E+03","2.179290E+03",""
"3","14.962E+03","1.676028E+03",""
"4","17.444E+03","1.311241E+03",""
"5","19.925E+03","1.349927E+03",""
"6","22.406E+03","1.031518E+03",""
"7","24.887E+03","1.081977E+03",""
"8","27.368E+03","941.1719E+00",""
"9","29.850E+03","851.3338E+00",""
"10","32.331E+03","787.6525E+00",""
"11","34.812E+03","754.2520E+00",""
"12","37.293E+03","697.4839E+00",""
"13","39.774E+03","661.3132E+00",""
"14","42.256E+03","615.7971E+00",""
"15","44.737E+03","578.0166E+00",""
"16","47.218E+03","544.4581E+00",""
"17","49.699E+03","514.4514E+00",""
"18","52.180E+03","484.8207E+00",""
"19","54.662E+03","456.9984E+00",""
"20","57.143E+03","476.4791E+00",""
"21","59.624E+03","435.9906E+00",""
"22","62.105E+03","396.5739E+00",""
"23","64.586E+03","446.3244E+00",""
"24","67.068E+03","402.0602E+00",""
"25","69.549E+03","385.5808E+00",""
"26","72.030E+03","364.7191E+00",""
"27","74.511E+03","348.1807E+00",""
"28","76.992E+03","335.5920E+00",""
"29","79.474E+03","338.2992E+00",""
"30","81.955E+03","322.3291E+00",""
"31","84.436E+03","308.1236E+00",""
"32","86.917E+03","295.8105E+00",""
"33","89.398E+03","285.9701E+00",""
"34","91.880E+03","282.2616E+00",""
"35","94.361E+03","268.0038E+00",""
"36","96.842E+03","262.3458E+00",""
"37","99.323E+03","255.9321E+00",""
"38","101.80E+03","253.8494E+00",""
"39","104.29E+03","282.9665E+00",""
"40","106.77E+03","255.5237E+00",""
"41","109.25E+03","240.7110E+00",""
"42","111.73E+03","235.5395E+00",""
"43","114.21E+03","230.3698E+00",""
"44","116.69E+03","229.6140E+00",""
"45","119.17E+03","218.2794E+00",""
"46","121.65E+03","217.2772E+00",""
"47","124.14E+03","209.0592E+00",""
"48","126.62E+03","200.8593E+00",""
"49","129.10E+03","194.1181E+00",""
"50","131.58E+03","187.9001E+00",""
"51","134.06E+03","180.9700E+00",""
"52","136.54E+03","175.9943E+00",""
"53","139.02E+03","167.9377E+00",""
"54","141.50E+03","160.6155E+00",""
"55","143.98E+03","152.2315E+00",""
"56","146.47E+03","148.8317E+00",""
"57","148.95E+03","134.3976E+00",""
"58","151.43E+03","128.4210E+00",""
"59","153.91E+03","123.1649E+00",""
"60","156.39E+03","107.3575E+00",""
"61","158.87E+03","107.5081E+00",""
"62","161.35E+03","95.13398E+00",""
"63","163.83E+03","187.9697E+00",""
"64","166.32E+03","155.9289E+00",""
"65","168.80E+03","119.6857E+00",""
"66","171.28E+03","127.7529E+00",""
"67","173.76E+03","127.4430E+00",""
"68","176.24E+03","120.6228E+00",""
"69","178.72E+03","235.2258E+00",""
"70","181.20E+03","174.3186E+00",""
"71","183.68E+03","448.7952E+00",""
"72","186.17E+03","422.8711E+00",""
"73","188.65E+03","330.5780E+00",""
"74","191.13E+03","292.1186E+00",""
"75","193.61E+03","245.4817E+00",""
"76","196.09E+03","230.2027E+00",""
"77","198.57E+03","224.6921E+00",""
"78","201.05E+03","187.8336E+00",""
"79","203.53E+03","205.4313E+00",""
"80","206.02E+03","209.8083E+00",""
"81","208.50E+03","195.8019E+00",""
"82","210.98E+03","233.5667E+00",""
"83","213.46E+03","210.1016E+00",""
"84","215.94E+03","204.8319E+00",""
"85","218.42E+03","191.6144E+00",""
"86","220.90E+03","181.8060E+00",""
"87","223.38E+03","175.3410E+00",""
"88","225.86E+03","176.0417E+00",""
"89","228.35E+03","167.9346E+00",""
"90","230.83E+03","170.0990E+00",""
"91","233.31E+03","171.6611E+00",""
"92","235.79E+03","167.2669E+00",""
"93","238.27E+03","161.3605E+00",""
"94","240.75E+03","155.6580E+00",""
"95","243.23E+03","152.0219E+00",""
"96","245.71E+03","145.5596E+00",""
"97","248.20E+03","150.8825E+00",""
"98","250.68E+03","145.5963E+00",""
"99","253.16E+03","148.9339E+00",""
"100","255.64E+03","146.6350E+00",""
"101","258.12E+03","144.0704E+00",""
"102","260.60E+03","142.3316E+00",""
"103","263.08E+03","138.9067E+00",""
"104","265.56E+03","137.8531E+00",""
"105","268.05E+03","139.9176E+00",""
"106","270.53E+03","134.1098E+00",""
"107","273.01E+03","127.3566E+00",""
"108","275.49E+03","129.4704E+00",""
"109","277.97E+03","128.2790E+00",""
"110","280.45E+03","132.2889E+00",""
"111","282.93E+03","130.8332E+00",""
"112","285.41E+03","130.4547E+00",""
"113","287.89E+03","128.6333E+00",""
"114","290.38E+03","127.4949E+00",""
"115","292.86E+03","126.0878E+00",""
"116","295.34E+03","123.0930E+00",""
"117","297.82E+03","119.1803E+00",""
"118","300.30E+03","117.8900E+00",""
"119","302.78E+03","120.2454E+00",""
"120","305.26E+03","119.4251E+00",""
"121","307.74E+03","118.0721E+00",""
"122","310.23E+03","115.6952E+00",""
"123","312.71E+03","114.7079E+00",""
"124","315.19E+03","112.5866E+00",""
"125","317.67E+03","110.5443E+00",""
"126","320.15E+03","108.5989E+00",""
"127","322.63E+03","106.6129E+00",""
"128","325.11E+03","104.9941E+00",""
"129","327.59E+03","109.0593E+00",""
"130","330.08E+03","113.0422E+00",""
"131","332.56E+03","109.9924E+00",""
"132","335.04E+03","107.6458E+00",""
"133","337.52E+03","111.3648E+00",""
"134","340.00E+03","109.9175E+00",""
"135","342.48E+03","108.5602E+00",""
"136","344.96E+03","109.8568E+00",""
"137","347.44E+03","106.4022E+00",""
"138","349.92E+03","103.9491E+00",""
"139","352.41E+03","102.0405E+00",""
"140","354.89E+03","100.8746E+00",""
"141","357.37E+03","100.2660E+00",""
"142","359.85E+03","98.46656E+00",""
"143","362.33E+03","97.43668E+00",""
"144","364.81E+03","97.23638E+00",""
"145","367.29E+03","97.80077E+00",""
"146","369.77E+03","96.51182E+00",""
"147","372.26E+03","94.50613E+00",""
"148","374.74E+03","93.81411E+00",""
"149","377.22E+03","94.92849E+00",""
"150","379.70E+03","95.12292E+00",""
"151","382.18E+03","93.99487E+00",""
"152","384.66E+03","92.61438E+00",""
"153","387.14E+03","91.57453E+00",""
"154","389.62E+03","90.87960E+00",""
"155","392.11E+03","89.42453E+00",""
"156","394.59E+03","88.30021E+00",""
"157","397.07E+03","86.84151E+00",""
"158","399.55E+03","85.40775E+00",""
"159","402.03E+03","83.30619E+00",""
"160","404.51E+03","83.83745E+00",""
"161","406.99E+03","84.38652E+00",""
