"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-20"
"TIME","13:29:46"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","25.31825E+03",""
"2","1.2481E+03","20.35616E+03",""
"3","1.4962E+03","17.03430E+03",""
"4","1.7444E+03","14.63905E+03",""
"5","1.9925E+03","12.83505E+03",""
"6","2.2406E+03","11.42828E+03",""
"7","2.4887E+03","10.29512E+03",""
"8","2.7368E+03","9.365931E+03",""
"9","2.9850E+03","8.594210E+03",""
"10","3.2331E+03","7.932562E+03",""
"11","3.4812E+03","7.362823E+03",""
"12","3.7293E+03","6.866026E+03",""
"13","3.9774E+03","6.428208E+03",""
"14","4.2256E+03","6.038711E+03",""
"15","4.4737E+03","5.690989E+03",""
"16","4.7218E+03","5.372872E+03",""
"17","4.9699E+03","5.091462E+03",""
"18","5.2180E+03","4.873238E+03",""
"19","5.4662E+03","4.659030E+03",""
"20","5.7143E+03","4.418661E+03",""
"21","5.9624E+03","4.200873E+03",""
"22","6.2105E+03","4.021624E+03",""
"23","6.4586E+03","3.849446E+03",""
"24","6.7068E+03","3.671350E+03",""
"25","6.9549E+03","3.492187E+03",""
"26","7.2030E+03","3.309422E+03",""
"27","7.4511E+03","3.115947E+03",""
"28","7.6992E+03","2.892822E+03",""
"29","7.9474E+03","2.605340E+03",""
"30","8.1955E+03","2.177364E+03",""
"31","8.4436E+03","2.740866E+03",""
"32","8.6917E+03","3.923583E+03",""
"33","8.9398E+03","3.460662E+03",""
"34","9.1880E+03","3.097290E+03",""
"35","9.4361E+03","2.834445E+03",""
"36","9.6842E+03","2.568901E+03",""
"37","9.9323E+03","2.217586E+03",""
"38","10.180E+03","1.473520E+03",""
"39","10.429E+03","6.255107E+03",""
"40","10.677E+03","3.692823E+03",""
"41","10.925E+03","3.135074E+03",""
"42","11.173E+03","2.887816E+03",""
"43","11.421E+03","2.727273E+03",""
"44","11.669E+03","2.606870E+03",""
"45","11.917E+03","2.508021E+03",""
"46","12.165E+03","2.424086E+03",""
"47","12.414E+03","2.348191E+03",""
"48","12.662E+03","2.274804E+03",""
"49","12.910E+03","2.199737E+03",""
"50","13.158E+03","2.193781E+03",""
"51","13.406E+03","2.199319E+03",""
"52","13.654E+03","2.108697E+03",""
"53","13.902E+03","2.040893E+03",""
"54","14.150E+03","1.981941E+03",""
"55","14.398E+03","1.926117E+03",""
"56","14.647E+03","1.870553E+03",""
"57","14.895E+03","1.815760E+03",""
"58","15.143E+03","1.765356E+03",""
"59","15.391E+03","1.712379E+03",""
"60","15.639E+03","1.659299E+03",""
"61","15.887E+03","1.575551E+03",""
"62","16.135E+03","1.467884E+03",""
"63","16.383E+03","1.299718E+03",""
"64","16.632E+03","1.021131E+03",""
"65","16.880E+03","1.750308E+03",""
"66","17.128E+03","2.825787E+03",""
"67","17.376E+03","2.132292E+03",""
"68","17.624E+03","1.925885E+03",""
"69","17.872E+03","1.811060E+03",""
"70","18.120E+03","1.730520E+03",""
"71","18.368E+03","1.664500E+03",""
"72","18.617E+03","1.604737E+03",""
"73","18.865E+03","1.543561E+03",""
"74","19.113E+03","1.467416E+03",""
"75","19.361E+03","1.358157E+03",""
"76","19.609E+03","1.617908E+03",""
"77","19.857E+03","1.732314E+03",""
"78","20.105E+03","1.565178E+03",""
"79","20.353E+03","1.502328E+03",""
"80","20.602E+03","1.450142E+03",""
"81","20.850E+03","1.401832E+03",""
"82","21.098E+03","1.348522E+03",""
"83","21.346E+03","1.292778E+03",""
"84","21.594E+03","1.323316E+03",""
"85","21.842E+03","1.517867E+03",""
"86","22.090E+03","1.502471E+03",""
"87","22.338E+03","1.445186E+03",""
"88","22.586E+03","1.404806E+03",""
"89","22.835E+03","1.371315E+03",""
"90","23.083E+03","1.343383E+03",""
"91","23.331E+03","1.318262E+03",""
"92","23.579E+03","1.294761E+03",""
"93","23.827E+03","1.271339E+03",""
"94","24.075E+03","1.246276E+03",""
"95","24.323E+03","1.225122E+03",""
"96","24.571E+03","1.244182E+03",""
"97","24.820E+03","1.235942E+03",""
"98","25.068E+03","1.211471E+03",""
"99","25.316E+03","1.192933E+03",""
"100","25.564E+03","1.178286E+03",""
"101","25.812E+03","1.168023E+03",""
"102","26.060E+03","1.155699E+03",""
"103","26.308E+03","1.142000E+03",""
"104","26.556E+03","1.126573E+03",""
"105","26.805E+03","1.112532E+03",""
"106","27.053E+03","1.098676E+03",""
"107","27.301E+03","1.084735E+03",""
"108","27.549E+03","1.070403E+03",""
"109","27.797E+03","1.055942E+03",""
