"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","13:10:20"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.129580E+03",""
"2","12.481E+03","2.273358E+03",""
"3","14.962E+03","1.776706E+03",""
"4","17.444E+03","2.064625E+03",""
"5","19.925E+03","1.615637E+03",""
"6","22.406E+03","1.391636E+03",""
"7","24.887E+03","1.198272E+03",""
"8","27.368E+03","1.065191E+03",""
"9","29.850E+03","983.2962E+00",""
"10","32.331E+03","889.6410E+00",""
"11","34.812E+03","842.8049E+00",""
"12","37.293E+03","773.3050E+00",""
"13","39.774E+03","748.7855E+00",""
"14","42.256E+03","686.3021E+00",""
"15","44.737E+03","671.9126E+00",""
"16","47.218E+03","617.3623E+00",""
"17","49.699E+03","583.1251E+00",""
"18","52.180E+03","552.3348E+00",""
"19","54.662E+03","525.1411E+00",""
"20","57.143E+03","499.7530E+00",""
"21","59.624E+03","472.9009E+00",""
"22","62.105E+03","457.9160E+00",""
"23","64.586E+03","449.9539E+00",""
"24","67.068E+03","419.3314E+00",""
"25","69.549E+03","380.4826E+00",""
"26","72.030E+03","416.4283E+00",""
"27","74.511E+03","365.7628E+00",""
"28","76.992E+03","401.6395E+00",""
"29","79.474E+03","367.5911E+00",""
"30","81.955E+03","332.6391E+00",""
"31","84.436E+03","378.2608E+00",""
"32","86.917E+03","345.2236E+00",""
"33","89.398E+03","331.3781E+00",""
"34","91.880E+03","318.7882E+00",""
"35","94.361E+03","313.0714E+00",""
"36","96.842E+03","303.7782E+00",""
"37","99.323E+03","291.4842E+00",""
"38","101.80E+03","284.8583E+00",""
"39","104.29E+03","273.7477E+00",""
"40","106.77E+03","267.8699E+00",""
"41","109.25E+03","261.0698E+00",""
"42","111.73E+03","253.7277E+00",""
"43","114.21E+03","246.1596E+00",""
