"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:50:22"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","4.000276E+03",""
"2","12.481E+03","2.476452E+03",""
"3","14.962E+03","1.804906E+03",""
"4","17.444E+03","1.965565E+03",""
"5","19.925E+03","1.571013E+03",""
"6","22.406E+03","1.426736E+03",""
"7","24.887E+03","1.252540E+03",""
"8","27.368E+03","1.143458E+03",""
"9","29.850E+03","1.029846E+03",""
"10","32.331E+03","1.001867E+03",""
"11","34.812E+03","897.2239E+00",""
"12","37.293E+03","830.8321E+00",""
"13","39.774E+03","791.7700E+00",""
"14","42.256E+03","735.7475E+00",""
"15","44.737E+03","697.8323E+00",""
"16","47.218E+03","659.7867E+00",""
"17","49.699E+03","621.4526E+00",""
"18","52.180E+03","593.2654E+00",""
"19","54.662E+03","562.5200E+00",""
"20","57.143E+03","532.6617E+00",""
"21","59.624E+03","501.9912E+00",""
"22","62.105E+03","500.4038E+00",""
"23","64.586E+03","487.4376E+00",""
"24","67.068E+03","460.6682E+00",""
"25","69.549E+03","449.5259E+00",""
"26","72.030E+03","426.0962E+00",""
"27","74.511E+03","404.2808E+00",""
"28","76.992E+03","387.6534E+00",""
"29","79.474E+03","388.2353E+00",""
"30","81.955E+03","358.2214E+00",""
"31","84.436E+03","362.2895E+00",""
"32","86.917E+03","374.6817E+00",""
"33","89.398E+03","352.4756E+00",""
"34","91.880E+03","341.8700E+00",""
"35","94.361E+03","335.7046E+00",""
"36","96.842E+03","320.3743E+00",""
"37","99.323E+03","309.7547E+00",""
"38","101.80E+03","299.9899E+00",""
"39","104.29E+03","290.0298E+00",""
"40","106.77E+03","280.4985E+00",""
"41","109.25E+03","268.6674E+00",""
"42","111.73E+03","262.1982E+00",""
"43","114.21E+03","267.0550E+00",""
"44","116.69E+03","259.5088E+00",""
"45","119.17E+03","254.2589E+00",""
"46","121.65E+03","246.5083E+00",""
"47","124.14E+03","238.5964E+00",""
"48","126.62E+03","232.2177E+00",""
"49","129.10E+03","224.5407E+00",""
"50","131.58E+03","218.3477E+00",""
"51","134.06E+03","213.0551E+00",""
"52","136.54E+03","206.3751E+00",""
"53","139.02E+03","199.5982E+00",""
"54","141.50E+03","193.6233E+00",""
"55","143.98E+03","186.7833E+00",""
"56","146.47E+03","180.3285E+00",""
"57","148.95E+03","172.2584E+00",""
"58","151.43E+03","163.5402E+00",""
"59","153.91E+03","155.9213E+00",""
"60","156.39E+03","145.3561E+00",""
"61","158.87E+03","132.4578E+00",""
"62","161.35E+03","122.5189E+00",""
"63","163.83E+03","103.3448E+00",""
"64","166.32E+03","143.8730E+00",""
"65","168.80E+03","143.0923E+00",""
"66","171.28E+03","178.0022E+00",""
"67","173.76E+03","130.5231E+00",""
"68","176.24E+03","90.16232E+00",""
"69","178.72E+03","74.80479E+00",""
"70","181.20E+03","34.71242E+00",""
"71","183.68E+03","146.9904E+00",""
"72","186.17E+03","673.0206E+00",""
"73","188.65E+03","582.4520E+00",""
"74","191.13E+03","434.6917E+00",""
"75","193.61E+03","464.8481E+00",""
"76","196.09E+03","342.3222E+00",""
"77","198.57E+03","275.7360E+00",""
"78","201.05E+03","233.1943E+00",""
"79","203.53E+03","255.7509E+00",""
"80","206.02E+03","201.4072E+00",""
"81","208.50E+03","270.2437E+00",""
"82","210.98E+03","250.7378E+00",""
"83","213.46E+03","232.8446E+00",""
"84","215.94E+03","225.5085E+00",""
"85","218.42E+03","223.1366E+00",""
"86","220.90E+03","211.9475E+00",""
"87","223.38E+03","206.5325E+00",""
"88","225.86E+03","196.9927E+00",""
"89","228.35E+03","191.1073E+00",""
"90","230.83E+03","184.8328E+00",""
"91","233.31E+03","181.1060E+00",""
"92","235.79E+03","175.3993E+00",""
"93","238.27E+03","173.1827E+00",""
"94","240.75E+03","168.1997E+00",""
"95","243.23E+03","163.1400E+00",""
"96","245.71E+03","159.3636E+00",""
"97","248.20E+03","156.6519E+00",""
"98","250.68E+03","151.7814E+00",""
"99","253.16E+03","152.7698E+00",""
"100","255.64E+03","154.9580E+00",""
"101","258.12E+03","146.6493E+00",""
"102","260.60E+03","153.1355E+00",""
"103","263.08E+03","172.1381E+00",""
"104","265.56E+03","163.2770E+00",""
"105","268.05E+03","156.4561E+00",""
"106","270.53E+03","151.8279E+00",""
"107","273.01E+03","148.9290E+00",""
"108","275.49E+03","144.5305E+00",""
"109","277.97E+03","145.7896E+00",""
"110","280.45E+03","143.4791E+00",""
"111","282.93E+03","139.9799E+00",""
"112","285.41E+03","136.3916E+00",""
"113","287.89E+03","135.0109E+00",""
"114","290.38E+03","139.9380E+00",""
"115","292.86E+03","136.2898E+00",""
"116","295.34E+03","133.0696E+00",""
"117","297.82E+03","132.0281E+00",""
"118","300.30E+03","131.2290E+00",""
"119","302.78E+03","128.5331E+00",""
"120","305.26E+03","126.6791E+00",""
"121","307.74E+03","124.7087E+00",""
"122","310.23E+03","128.1213E+00",""
"123","312.71E+03","125.3574E+00",""
"124","315.19E+03","122.7367E+00",""
"125","317.67E+03","121.9455E+00",""
"126","320.15E+03","119.4041E+00",""
"127","322.63E+03","118.9306E+00",""
"128","325.11E+03","119.3239E+00",""
"129","327.59E+03","118.1805E+00",""
"130","330.08E+03","116.3045E+00",""
"131","332.56E+03","114.5929E+00",""
"132","335.04E+03","112.9036E+00",""
"133","337.52E+03","111.4300E+00",""
"134","340.00E+03","109.9744E+00",""
"135","342.48E+03","108.5412E+00",""
"136","344.96E+03","107.0615E+00",""
"137","347.44E+03","105.4738E+00",""
"138","349.92E+03","114.4695E+00",""
"139","352.41E+03","110.6062E+00",""
"140","354.89E+03","107.5885E+00",""
"141","357.37E+03","105.0510E+00",""
"142","359.85E+03","103.0722E+00",""
"143","362.33E+03","103.1543E+00",""
"144","364.81E+03","103.5194E+00",""
"145","367.29E+03","102.5499E+00",""
"146","369.77E+03","101.4448E+00",""
