"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:35:39"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.961615E+03",""
"2","12.481E+03","2.653246E+03",""
"3","14.962E+03","2.106691E+03",""
"4","17.444E+03","1.750602E+03",""
"5","19.925E+03","1.488760E+03",""
"6","22.406E+03","1.312646E+03",""
"7","24.887E+03","993.0959E+00",""
"8","27.368E+03","1.174172E+03",""
"9","29.850E+03","1.029875E+03",""
"10","32.331E+03","952.6255E+00",""
"11","34.812E+03","869.6527E+00",""
"12","37.293E+03","804.0557E+00",""
"13","39.774E+03","762.5995E+00",""
"14","42.256E+03","719.3172E+00",""
"15","44.737E+03","675.1693E+00",""
"16","47.218E+03","635.2773E+00",""
"17","49.699E+03","600.5633E+00",""
"18","52.180E+03","568.8303E+00",""
"19","54.662E+03","539.2977E+00",""
"20","57.143E+03","510.9664E+00",""
"21","59.624E+03","482.8562E+00",""
"22","62.105E+03","474.1884E+00",""
"23","64.586E+03","445.7539E+00",""
"24","67.068E+03","386.7727E+00",""
"25","69.549E+03","476.4694E+00",""
"26","72.030E+03","431.3742E+00",""
"27","74.511E+03","432.0742E+00",""
"28","76.992E+03","399.1587E+00",""
"29","79.474E+03","377.1239E+00",""
"30","81.955E+03","380.5552E+00",""
"31","84.436E+03","360.9940E+00",""
"32","86.917E+03","349.6701E+00",""
"33","89.398E+03","336.2846E+00",""
"34","91.880E+03","324.7555E+00",""
"35","94.361E+03","313.5180E+00",""
"36","96.842E+03","302.6494E+00",""
"37","99.323E+03","290.0320E+00",""
"38","101.80E+03","291.9129E+00",""
"39","104.29E+03","285.0777E+00",""
"40","106.77E+03","272.9857E+00",""
"41","109.25E+03","267.1436E+00",""
"42","111.73E+03","261.9561E+00",""
"43","114.21E+03","253.6963E+00",""
"44","116.69E+03","244.2756E+00",""
"45","119.17E+03","237.1270E+00",""
"46","121.65E+03","230.3622E+00",""
"47","124.14E+03","222.3314E+00",""
"48","126.62E+03","214.6116E+00",""
"49","129.10E+03","211.5099E+00",""
"50","131.58E+03","202.9849E+00",""
"51","134.06E+03","196.6774E+00",""
"52","136.54E+03","190.8287E+00",""
"53","139.02E+03","183.1680E+00",""
"54","141.50E+03","174.3427E+00",""
"55","143.98E+03","164.4787E+00",""
"56","146.47E+03","160.6899E+00",""
"57","148.95E+03","147.4479E+00",""
"58","151.43E+03","140.8512E+00",""
