"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","13:11:18"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","1.759512E+03",""
"2","12.481E+03","2.614709E+03",""
"3","14.962E+03","1.886586E+03",""
"4","17.444E+03","1.571447E+03",""
"5","19.925E+03","1.443940E+03",""
"6","22.406E+03","1.235469E+03",""
"7","24.887E+03","1.234332E+03",""
"8","27.368E+03","1.077981E+03",""
"9","29.850E+03","1.034375E+03",""
"10","32.331E+03","907.1383E+00",""
"11","34.812E+03","835.5869E+00",""
"12","37.293E+03","774.3229E+00",""
"13","39.774E+03","721.2701E+00",""
"14","42.256E+03","692.4818E+00",""
"15","44.737E+03","641.8169E+00",""
"16","47.218E+03","605.1607E+00",""
"17","49.699E+03","572.4637E+00",""
"18","52.180E+03","542.6712E+00",""
"19","54.662E+03","514.8203E+00",""
"20","57.143E+03","487.6086E+00",""
"21","59.624E+03","455.0721E+00",""
"22","62.105E+03","448.2679E+00",""
"23","64.586E+03","413.9617E+00",""
"24","67.068E+03","430.3747E+00",""
"25","69.549E+03","463.0480E+00",""
"26","72.030E+03","416.3050E+00",""
"27","74.511E+03","393.5870E+00",""
"28","76.992E+03","377.9892E+00",""
"29","79.474E+03","362.6015E+00",""
"30","81.955E+03","349.8965E+00",""
"31","84.436E+03","336.2606E+00",""
"32","86.917E+03","330.3905E+00",""
"33","89.398E+03","317.4503E+00",""
"34","91.880E+03","308.7112E+00",""
"35","94.361E+03","297.2932E+00",""
"36","96.842E+03","287.3762E+00",""
"37","99.323E+03","281.8400E+00",""
"38","101.80E+03","273.1719E+00",""
"39","104.29E+03","269.1244E+00",""
"40","106.77E+03","260.7374E+00",""
"41","109.25E+03","252.3478E+00",""
"42","111.73E+03","246.6522E+00",""
"43","114.21E+03","238.3711E+00",""
"44","116.69E+03","231.8293E+00",""
"45","119.17E+03","225.3829E+00",""
"46","121.65E+03","218.1087E+00",""
"47","124.14E+03","211.7948E+00",""
"48","126.62E+03","204.4197E+00",""
"49","129.10E+03","200.6251E+00",""
"50","131.58E+03","193.1082E+00",""
"51","134.06E+03","185.9642E+00",""
"52","136.54E+03","180.5836E+00",""
"53","139.02E+03","174.7210E+00",""
"54","141.50E+03","167.1451E+00",""
"55","143.98E+03","159.4936E+00",""
"56","146.47E+03","152.0650E+00",""
"57","148.95E+03","142.6663E+00",""
"58","151.43E+03","133.3351E+00",""
"59","153.91E+03","120.2580E+00",""
"60","156.39E+03","119.6024E+00",""
"61","158.87E+03","104.6230E+00",""
"62","161.35E+03","120.7001E+00",""
"63","163.83E+03","82.65186E+00",""
