"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-08"
"TIME","11:16:56"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","24.82675E+03",""
"2","1.2481E+03","19.89141E+03",""
"3","1.4962E+03","17.00467E+03",""
"4","1.7444E+03","14.53272E+03",""
"5","1.9925E+03","12.71850E+03",""
"6","2.2406E+03","11.31007E+03",""
"7","2.4887E+03","10.18589E+03",""
"8","2.7368E+03","9.263330E+03",""
"9","2.9850E+03","8.489063E+03",""
"10","3.2331E+03","7.829940E+03",""
"11","3.4812E+03","7.265949E+03",""
"12","3.7293E+03","6.778539E+03",""
"13","3.9774E+03","6.344327E+03",""
"14","4.2256E+03","5.954958E+03",""
"15","4.4737E+03","5.604742E+03",""
"16","4.7218E+03","5.282594E+03",""
"17","4.9699E+03","4.981028E+03",""
"18","5.2180E+03","4.692637E+03",""
"19","5.4662E+03","4.419346E+03",""
"20","5.7143E+03","4.216553E+03",""
"21","5.9624E+03","4.265306E+03",""
"22","6.2105E+03","3.968200E+03",""
"23","6.4586E+03","4.088637E+03",""
"24","6.7068E+03","4.021961E+03",""
"25","6.9549E+03","3.787120E+03",""
"26","7.2030E+03","3.603692E+03",""
"27","7.4511E+03","3.450157E+03",""
"28","7.6992E+03","3.311786E+03",""
"29","7.9474E+03","3.181428E+03",""
"30","8.1955E+03","3.054982E+03",""
"31","8.4436E+03","2.932396E+03",""
"32","8.6917E+03","2.812418E+03",""
"33","8.9398E+03","2.694619E+03",""
"34","9.1880E+03","2.572843E+03",""
"35","9.4361E+03","2.444758E+03",""
"36","9.6842E+03","2.314268E+03",""
"37","9.9323E+03","2.142757E+03",""
"38","10.180E+03","1.926485E+03",""
"39","10.429E+03","1.445709E+03",""
"40","10.677E+03","4.033946E+03",""
"41","10.925E+03","5.261945E+03",""
"42","11.173E+03","4.154811E+03",""
"43","11.421E+03","3.420275E+03",""
"44","11.669E+03","2.994505E+03",""
"45","11.917E+03","2.841174E+03",""
"46","12.165E+03","3.015155E+03",""
"47","12.414E+03","2.837115E+03",""
"48","12.662E+03","2.675677E+03",""
"49","12.910E+03","2.542185E+03",""
"50","13.158E+03","2.430086E+03",""
"51","13.406E+03","2.352831E+03",""
"52","13.654E+03","2.284907E+03",""
"53","13.902E+03","2.209624E+03",""
"54","14.150E+03","2.151666E+03",""
"55","14.398E+03","2.103779E+03",""
"56","14.647E+03","2.051114E+03",""
"57","14.895E+03","2.005265E+03",""
"58","15.143E+03","1.959890E+03",""
"59","15.391E+03","1.913907E+03",""
"60","15.639E+03","1.867301E+03",""
"61","15.887E+03","1.830138E+03",""
"62","16.135E+03","1.824655E+03",""
"63","16.383E+03","1.785436E+03",""
"64","16.632E+03","1.747187E+03",""
"65","16.880E+03","1.723362E+03",""
"66","17.128E+03","1.716851E+03",""
"67","17.376E+03","1.683137E+03",""
"68","17.624E+03","1.653933E+03",""
"69","17.872E+03","1.624793E+03",""
"70","18.120E+03","1.595595E+03",""
"71","18.368E+03","1.569118E+03",""
"72","18.617E+03","1.544169E+03",""
"73","18.865E+03","1.518543E+03",""
"74","19.113E+03","1.499311E+03",""
"75","19.361E+03","1.477759E+03",""
"76","19.609E+03","1.453378E+03",""
"77","19.857E+03","1.430512E+03",""
"78","20.105E+03","1.407854E+03",""
"79","20.353E+03","1.384838E+03",""
"80","20.602E+03","1.361316E+03",""
"81","20.850E+03","1.352882E+03",""
"82","21.098E+03","1.349694E+03",""
"83","21.346E+03","1.329867E+03",""
"84","21.594E+03","1.306023E+03",""
"85","21.842E+03","1.283641E+03",""
"86","22.090E+03","1.263563E+03",""
"87","22.338E+03","1.241627E+03",""
"88","22.586E+03","1.216138E+03",""
"89","22.835E+03","1.192512E+03",""
"90","23.083E+03","1.198793E+03",""
"91","23.331E+03","1.207659E+03",""
"92","23.579E+03","1.165070E+03",""
"93","23.827E+03","1.177954E+03",""
"94","24.075E+03","1.222908E+03",""
"95","24.323E+03","1.200731E+03",""
"96","24.571E+03","1.172467E+03",""
"97","24.820E+03","1.143806E+03",""
"98","25.068E+03","1.120836E+03",""
"99","25.316E+03","1.128428E+03",""
