"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:10:38"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.448250E+03","-1.446889E+03"
"2","10.281E+03","1.387092E+03","-1.385466E+03"
"3","10.561E+03","1.388694E+03","-1.383850E+03"
"4","10.842E+03","1.344391E+03","-1.341744E+03"
"5","11.122E+03","1.310511E+03","-1.308778E+03"
"6","11.403E+03","1.268448E+03","-1.267066E+03"
"7","11.683E+03","1.229242E+03","-1.228018E+03"
"8","11.964E+03","1.188966E+03","-1.187613E+03"
"9","12.244E+03","1.170542E+03","-1.168981E+03"
"10","12.525E+03","1.140920E+03","-1.139678E+03"
"11","12.806E+03","1.111812E+03","-1.110664E+03"
"12","13.086E+03","1.084494E+03","-1.083402E+03"
"13","13.367E+03","1.058300E+03","-1.057255E+03"
"14","13.647E+03","1.033139E+03","-1.032126E+03"
"15","13.928E+03","1.008572E+03","-1.007588E+03"
"16","14.208E+03","984.2451E+00","-983.2806E+00"
"17","14.489E+03","959.1709E+00","-958.2076E+00"
"18","14.770E+03","931.3190E+00","-930.2721E+00"
"19","15.050E+03","899.3146E+00","-897.5121E+00"
"20","15.331E+03","902.5319E+00","-900.4626E+00"
"21","15.611E+03","880.7073E+00","-878.7749E+00"
"22","15.892E+03","843.9261E+00","-840.8999E+00"
"23","16.172E+03","845.9782E+00","-828.9979E+00"
"24","16.453E+03","940.1984E+00","-932.1135E+00"
"25","16.733E+03","905.3531E+00","-903.1862E+00"
"26","17.014E+03","869.6613E+00","-868.4645E+00"
"27","17.295E+03","844.4040E+00","-843.4509E+00"
"28","17.575E+03","824.4148E+00","-823.5591E+00"
"29","17.856E+03","807.0842E+00","-806.2794E+00"
"30","18.136E+03","791.3388E+00","-790.5938E+00"
"31","18.417E+03","777.5272E+00","-776.7587E+00"
"32","18.697E+03","764.5538E+00","-763.8353E+00"
"33","18.978E+03","751.6838E+00","-750.9900E+00"
"34","19.259E+03","739.4134E+00","-738.7365E+00"
"35","19.539E+03","727.6406E+00","-726.9748E+00"
"36","19.820E+03","716.5302E+00","-715.8701E+00"
"37","20.100E+03","705.7675E+00","-705.1206E+00"
"38","20.381E+03","695.3030E+00","-694.6673E+00"
"39","20.661E+03","685.1840E+00","-684.5579E+00"
"40","20.942E+03","675.3458E+00","-674.7285E+00"
"41","21.222E+03","665.8012E+00","-665.1921E+00"
"42","21.503E+03","656.4927E+00","-655.8902E+00"
"43","21.784E+03","647.4176E+00","-646.8205E+00"
"44","22.064E+03","638.4794E+00","-637.8783E+00"
"45","22.345E+03","630.3700E+00","-629.7638E+00"
"46","22.625E+03","622.1469E+00","-621.5559E+00"
"47","22.906E+03","613.8434E+00","-613.2570E+00"
"48","23.186E+03","605.6578E+00","-605.0549E+00"
"49","23.467E+03","599.1077E+00","-598.5098E+00"
"50","23.747E+03","591.0620E+00","-590.4540E+00"
"51","24.028E+03","584.9941E+00","-584.3627E+00"
"52","24.309E+03","578.3418E+00","-577.7716E+00"
"53","24.589E+03","570.9209E+00","-570.3799E+00"
"54","24.870E+03","563.6812E+00","-563.1513E+00"
"55","25.150E+03","556.6496E+00","-556.1235E+00"
"56","25.431E+03","549.7735E+00","-549.2383E+00"
"57","25.711E+03","543.5267E+00","-542.9712E+00"
"58","25.992E+03","537.9230E+00","-537.3799E+00"
"59","26.273E+03","531.5245E+00","-531.0074E+00"
"60","26.553E+03","525.2967E+00","-524.7736E+00"
