"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:29:30"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.474290E+03","-1.461596E+03"
"2","10.281E+03","1.432726E+03","-1.423937E+03"
"3","10.561E+03","1.389496E+03","-1.382909E+03"
"4","10.842E+03","1.347511E+03","-1.342338E+03"
"5","11.122E+03","1.307258E+03","-1.303024E+03"
"6","11.403E+03","1.268347E+03","-1.264693E+03"
"7","11.683E+03","1.231740E+03","-1.228423E+03"
"8","11.964E+03","1.197965E+03","-1.194739E+03"
"9","12.244E+03","1.167887E+03","-1.164593E+03"
"10","12.525E+03","1.141981E+03","-1.138523E+03"
"11","12.806E+03","1.121183E+03","-1.117666E+03"
"12","13.086E+03","1.102124E+03","-1.098816E+03"
"13","13.367E+03","1.082299E+03","-1.079397E+03"
"14","13.647E+03","1.061140E+03","-1.058662E+03"
"15","13.928E+03","1.038964E+03","-1.036838E+03"
"16","14.208E+03","1.016821E+03","-1.014957E+03"
"17","14.489E+03","995.1472E+00","-993.4652E+00"
"18","14.770E+03","974.3525E+00","-972.7993E+00"
"19","15.050E+03","954.5493E+00","-953.0873E+00"
"20","15.331E+03","935.6081E+00","-934.2116E+00"
"21","15.611E+03","917.6875E+00","-916.3374E+00"
"22","15.892E+03","900.9154E+00","-899.5905E+00"
"23","16.172E+03","884.0866E+00","-882.8069E+00"
"24","16.453E+03","868.7239E+00","-867.4773E+00"
"25","16.733E+03","853.7917E+00","-852.5833E+00"
"26","17.014E+03","839.2117E+00","-838.0436E+00"
"27","17.295E+03","825.0554E+00","-823.9208E+00"
"28","17.575E+03","811.4040E+00","-810.2957E+00"
"29","17.856E+03","798.2067E+00","-797.1557E+00"
"30","18.136E+03","785.4775E+00","-784.4434E+00"
"31","18.417E+03","773.1182E+00","-772.0999E+00"
"32","18.697E+03","761.2550E+00","-760.2480E+00"
