"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:27:35"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.469597E+03","-1.454758E+03"
"2","10.281E+03","1.440445E+03","-1.429704E+03"
"3","10.561E+03","1.402037E+03","-1.394565E+03"
"4","10.842E+03","1.358861E+03","-1.353401E+03"
"5","11.122E+03","1.316723E+03","-1.312444E+03"
"6","11.403E+03","1.276587E+03","-1.273021E+03"
"7","11.683E+03","1.239119E+03","-1.235960E+03"
"8","11.964E+03","1.204546E+03","-1.201583E+03"
"9","12.244E+03","1.173414E+03","-1.170497E+03"
"10","12.525E+03","1.145905E+03","-1.142943E+03"
"11","12.806E+03","1.122971E+03","-1.120043E+03"
"12","13.086E+03","1.101289E+03","-1.098576E+03"
"13","13.367E+03","1.079347E+03","-1.076937E+03"
"14","13.647E+03","1.056912E+03","-1.054798E+03"
"15","13.928E+03","1.034184E+03","-1.032299E+03"
"16","14.208E+03","1.012128E+03","-1.010418E+03"
"17","14.489E+03","990.6587E+00","-989.0680E+00"
"18","14.770E+03","970.2648E+00","-968.7572E+00"
"19","15.050E+03","950.9452E+00","-949.4941E+00"
"20","15.331E+03","932.6385E+00","-931.2341E+00"
"21","15.611E+03","915.3094E+00","-913.9488E+00"
"22","15.892E+03","898.9686E+00","-897.6524E+00"
"23","16.172E+03","882.1510E+00","-880.8833E+00"
"24","16.453E+03","866.8638E+00","-865.6384E+00"
"25","16.733E+03","851.8035E+00","-850.6232E+00"
"26","17.014E+03","837.1084E+00","-835.9650E+00"
"27","17.295E+03","822.8926E+00","-821.7774E+00"
"28","17.575E+03","809.2703E+00","-808.1751E+00"
"29","17.856E+03","796.1069E+00","-795.0653E+00"
"30","18.136E+03","783.3934E+00","-782.3655E+00"
