"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:31:59"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.729493E+03",""
"2","12.481E+03","2.166160E+03",""
"3","14.962E+03","1.671360E+03",""
"4","17.444E+03","1.292122E+03",""
"5","19.925E+03","1.325880E+03",""
"6","22.406E+03","1.025174E+03",""
"7","24.887E+03","1.081504E+03",""
"8","27.368E+03","937.7200E+00",""
"9","29.850E+03","852.6519E+00",""
"10","32.331E+03","810.2156E+00",""
"11","34.812E+03","737.8375E+00",""
"12","37.293E+03","679.2666E+00",""
"13","39.774E+03","659.3623E+00",""
"14","42.256E+03","615.1012E+00",""
"15","44.737E+03","577.4295E+00",""
"16","47.218E+03","544.2134E+00",""
"17","49.699E+03","513.7339E+00",""
"18","52.180E+03","483.2161E+00",""
"19","54.662E+03","455.3669E+00",""
"20","57.143E+03","473.7012E+00",""
"21","59.624E+03","434.1135E+00",""
"22","62.105E+03","394.9302E+00",""
"23","64.586E+03","443.1049E+00",""
"24","67.068E+03","398.9551E+00",""
"25","69.549E+03","384.1008E+00",""
"26","72.030E+03","363.2246E+00",""
"27","74.511E+03","346.9333E+00",""
"28","76.992E+03","340.9309E+00",""
"29","79.474E+03","337.4680E+00",""
"30","81.955E+03","321.0654E+00",""
"31","84.436E+03","308.1494E+00",""
"32","86.917E+03","294.0201E+00",""
"33","89.398E+03","292.2469E+00",""
"34","91.880E+03","283.4673E+00",""
"35","94.361E+03","270.3888E+00",""
"36","96.842E+03","259.0039E+00",""
"37","99.323E+03","247.7235E+00",""
"38","101.80E+03","240.8734E+00",""
"39","104.29E+03","289.2919E+00",""
"40","106.77E+03","255.4673E+00",""
"41","109.25E+03","247.2533E+00",""
"42","111.73E+03","235.8887E+00",""
"43","114.21E+03","226.6847E+00",""
"44","116.69E+03","231.3800E+00",""
"45","119.17E+03","218.9984E+00",""
"46","121.65E+03","216.6311E+00",""
"47","124.14E+03","207.5064E+00",""
"48","126.62E+03","198.0986E+00",""
"49","129.10E+03","194.6762E+00",""
"50","131.58E+03","187.2795E+00",""
"51","134.06E+03","181.4703E+00",""
"52","136.54E+03","173.8404E+00",""
"53","139.02E+03","167.3847E+00",""
"54","141.50E+03","160.5682E+00",""
"55","143.98E+03","153.5530E+00",""
"56","146.47E+03","147.8687E+00",""
"57","148.95E+03","133.7631E+00",""
"58","151.43E+03","128.0036E+00",""
"59","153.91E+03","125.1066E+00",""
"60","156.39E+03","110.9946E+00",""
"61","158.87E+03","91.21195E+00",""
"62","161.35E+03","99.41629E+00",""
"63","163.83E+03","204.3657E+00",""
"64","166.32E+03","143.1217E+00",""
"65","168.80E+03","107.8999E+00",""
"66","171.28E+03","142.2488E+00",""
"67","173.76E+03","120.5826E+00",""
"68","176.24E+03","132.5329E+00",""
"69","178.72E+03","224.2430E+00",""
"70","181.20E+03","184.1675E+00",""
"71","183.68E+03","414.8759E+00",""
"72","186.17E+03","355.6513E+00",""
"73","188.65E+03","324.4261E+00",""
"74","191.13E+03","286.9549E+00",""
"75","193.61E+03","295.8605E+00",""
"76","196.09E+03","246.3622E+00",""
"77","198.57E+03","216.4132E+00",""
"78","201.05E+03","183.3230E+00",""
"79","203.53E+03","215.5913E+00",""
"80","206.02E+03","192.4387E+00",""
"81","208.50E+03","231.6355E+00",""
"82","210.98E+03","229.0187E+00",""
"83","213.46E+03","211.8239E+00",""
"84","215.94E+03","200.7103E+00",""
"85","218.42E+03","188.8204E+00",""
"86","220.90E+03","179.6395E+00",""
"87","223.38E+03","174.5188E+00",""
"88","225.86E+03","174.7128E+00",""
"89","228.35E+03","167.9089E+00",""
"90","230.83E+03","169.9167E+00",""
"91","233.31E+03","169.8599E+00",""
"92","235.79E+03","163.6283E+00",""
"93","238.27E+03","159.8611E+00",""
"94","240.75E+03","153.7575E+00",""
"95","243.23E+03","149.6433E+00",""
"96","245.71E+03","149.6007E+00",""
"97","248.20E+03","149.0863E+00",""
"98","250.68E+03","145.7018E+00",""
"99","253.16E+03","148.7166E+00",""
"100","255.64E+03","145.8376E+00",""
"101","258.12E+03","144.2586E+00",""
"102","260.60E+03","140.6939E+00",""
"103","263.08E+03","137.0538E+00",""
"104","265.56E+03","137.9382E+00",""
"105","268.05E+03","139.0908E+00",""
"106","270.53E+03","132.8805E+00",""
"107","273.01E+03","126.1512E+00",""
"108","275.49E+03","128.6055E+00",""
"109","277.97E+03","128.0227E+00",""
"110","280.45E+03","132.7140E+00",""
"111","282.93E+03","130.1427E+00",""
"112","285.41E+03","129.8715E+00",""
"113","287.89E+03","128.0685E+00",""
"114","290.38E+03","127.5333E+00",""
"115","292.86E+03","126.3669E+00",""
"116","295.34E+03","122.7679E+00",""
"117","297.82E+03","118.7399E+00",""
"118","300.30E+03","118.5189E+00",""
"119","302.78E+03","120.6722E+00",""
"120","305.26E+03","119.3543E+00",""
"121","307.74E+03","117.0009E+00",""
"122","310.23E+03","114.9329E+00",""
"123","312.71E+03","113.7917E+00",""
"124","315.19E+03","111.6412E+00",""
"125","317.67E+03","109.8912E+00",""
"126","320.15E+03","107.8859E+00",""
"127","322.63E+03","105.6299E+00",""
"128","325.11E+03","105.9908E+00",""
"129","327.59E+03","114.0048E+00",""
"130","330.08E+03","113.1603E+00",""
"131","332.56E+03","110.2603E+00",""
"132","335.04E+03","108.9617E+00",""
"133","337.52E+03","110.5991E+00",""
"134","340.00E+03","108.7967E+00",""
"135","342.48E+03","108.7857E+00",""
"136","344.96E+03","108.8779E+00",""
"137","347.44E+03","105.8343E+00",""
"138","349.92E+03","103.6396E+00",""
"139","352.41E+03","101.3974E+00",""
"140","354.89E+03","100.7419E+00",""
"141","357.37E+03","99.71086E+00",""
"142","359.85E+03","98.18561E+00",""
"143","362.33E+03","97.02026E+00",""
"144","364.81E+03","96.92808E+00",""
"145","367.29E+03","97.75696E+00",""
"146","369.77E+03","95.78505E+00",""
"147","372.26E+03","94.33751E+00",""
"148","374.74E+03","93.27767E+00",""
"149","377.22E+03","94.99486E+00",""
"150","379.70E+03","94.80075E+00",""
"151","382.18E+03","93.39490E+00",""
"152","384.66E+03","92.38323E+00",""
"153","387.14E+03","91.31584E+00",""
"154","389.62E+03","90.77971E+00",""
"155","392.11E+03","89.25568E+00",""
"156","394.59E+03","87.81359E+00",""
"157","397.07E+03","86.26681E+00",""
"158","399.55E+03","84.56666E+00",""
"159","402.03E+03","82.23879E+00",""
"160","404.51E+03","83.32876E+00",""
"161","406.99E+03","83.81889E+00",""
"162","409.47E+03","83.19217E+00",""
"163","411.95E+03","88.90850E+00",""
"164","414.44E+03","93.58026E+00",""
"165","416.92E+03","92.38116E+00",""
"166","419.40E+03","91.99322E+00",""
"167","421.88E+03","89.38767E+00",""
"168","424.36E+03","89.31572E+00",""
"169","426.84E+03","86.94683E+00",""
"170","429.32E+03","87.32469E+00",""
"171","431.80E+03","86.42225E+00",""
"172","434.29E+03","84.88379E+00",""
"173","436.77E+03","83.97498E+00",""
"174","439.25E+03","83.55366E+00",""
"175","441.73E+03","82.59438E+00",""
"176","444.21E+03","82.31653E+00",""
"177","446.69E+03","81.99122E+00",""
"178","449.17E+03","81.61866E+00",""
"179","451.65E+03","81.03916E+00",""
"180","454.14E+03","79.86416E+00",""
"181","456.62E+03","78.86825E+00",""
"182","459.10E+03","78.71018E+00",""
"183","461.58E+03","78.09268E+00",""
"184","464.06E+03","77.08608E+00",""
"185","466.54E+03","76.24848E+00",""
"186","469.02E+03","76.04583E+00",""
"187","471.50E+03","76.22268E+00",""
"188","473.98E+03","75.60821E+00",""
"189","476.47E+03","76.77240E+00",""
"190","478.95E+03","76.30884E+00",""
"191","481.43E+03","75.11776E+00",""
"192","483.91E+03","74.82612E+00",""
"193","486.39E+03","73.87309E+00",""
"194","488.87E+03","73.28482E+00",""
"195","491.35E+03","72.98289E+00",""
"196","493.83E+03","72.49926E+00",""
"197","496.32E+03","71.92894E+00",""
"198","498.80E+03","71.44839E+00",""
"199","501.28E+03","71.85471E+00",""
"200","503.76E+03","71.77507E+00",""
"201","506.24E+03","71.90167E+00",""
"202","508.72E+03","71.25972E+00",""
"203","511.20E+03","70.82792E+00",""
"204","513.68E+03","70.22622E+00",""
"205","516.17E+03","69.66098E+00",""
"206","518.65E+03","68.98311E+00",""
"207","521.13E+03","68.66304E+00",""
"208","523.61E+03","68.59876E+00",""
"209","526.09E+03","67.87181E+00",""
"210","528.57E+03","67.27745E+00",""
"211","531.05E+03","67.10635E+00",""
"212","533.53E+03","66.98771E+00",""
"213","536.02E+03","66.86656E+00",""
"214","538.50E+03","66.50150E+00",""
"215","540.98E+03","66.64856E+00",""
"216","543.46E+03","65.85582E+00",""
"217","545.94E+03","65.06211E+00",""
"218","548.42E+03","64.21627E+00",""
"219","550.90E+03","63.40578E+00",""
"220","553.38E+03","62.85214E+00",""
"221","555.86E+03","62.27672E+00",""
"222","558.35E+03","62.82239E+00",""
"223","560.83E+03","64.25608E+00",""
"224","563.31E+03","63.58838E+00",""
"225","565.79E+03","62.83807E+00",""
"226","568.27E+03","61.32375E+00",""
"227","570.75E+03","60.28396E+00",""
"228","573.23E+03","59.91690E+00",""
