"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-20"
"TIME","13:29:50"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","25.33185E+03",""
"2","1.2481E+03","20.36738E+03",""
"3","1.4962E+03","17.04356E+03",""
"4","1.7444E+03","14.64689E+03",""
"5","1.9925E+03","12.84234E+03",""
"6","2.2406E+03","11.43432E+03",""
"7","2.4887E+03","10.30084E+03",""
"8","2.7368E+03","9.370782E+03",""
"9","2.9850E+03","8.598978E+03",""
"10","3.2331E+03","7.937628E+03",""
"11","3.4812E+03","7.366828E+03",""
"12","3.7293E+03","6.869621E+03",""
"13","3.9774E+03","6.431734E+03",""
"14","4.2256E+03","6.041864E+03",""
"15","4.4737E+03","5.694059E+03",""
"16","4.7218E+03","5.375828E+03",""
"17","4.9699E+03","5.092860E+03",""
"18","5.2180E+03","4.876185E+03",""
"19","5.4662E+03","4.661829E+03",""
"20","5.7143E+03","4.420156E+03",""
"21","5.9624E+03","4.202270E+03",""
"22","6.2105E+03","4.022845E+03",""
"23","6.4586E+03","3.851716E+03",""
"24","6.7068E+03","3.674260E+03",""
"25","6.9549E+03","3.494875E+03",""
"26","7.2030E+03","3.313329E+03",""
"27","7.4511E+03","3.118886E+03",""
"28","7.6992E+03","2.896646E+03",""
"29","7.9474E+03","2.612483E+03",""
"30","8.1955E+03","2.178278E+03",""
"31","8.4436E+03","2.680549E+03",""
"32","8.6917E+03","3.950743E+03",""
"33","8.9398E+03","3.461484E+03",""
"34","9.1880E+03","3.108712E+03",""
"35","9.4361E+03","2.842495E+03",""
"36","9.6842E+03","2.577654E+03",""
"37","9.9323E+03","2.215236E+03",""
"38","10.180E+03","1.480689E+03",""
"39","10.429E+03","6.268705E+03",""
"40","10.677E+03","3.703593E+03",""
"41","10.925E+03","3.139591E+03",""
"42","11.173E+03","2.891927E+03",""
"43","11.421E+03","2.730542E+03",""
"44","11.669E+03","2.609505E+03",""
"45","11.917E+03","2.510047E+03",""
"46","12.165E+03","2.425733E+03",""
"47","12.414E+03","2.350036E+03",""
"48","12.662E+03","2.277549E+03",""
