"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-20"
"TIME","13:29:54"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","25.34210E+03",""
"2","1.2481E+03","20.37535E+03",""
"3","1.4962E+03","17.05014E+03",""
"4","1.7444E+03","14.65274E+03",""
"5","1.9925E+03","12.84718E+03",""
"6","2.2406E+03","11.43926E+03",""
"7","2.4887E+03","10.30513E+03",""
"8","2.7368E+03","9.374390E+03",""
"9","2.9850E+03","8.602280E+03",""
"10","3.2331E+03","7.940972E+03",""
"11","3.4812E+03","7.369954E+03",""
"12","3.7293E+03","6.872560E+03",""
"13","3.9774E+03","6.434532E+03",""
"14","4.2256E+03","6.044319E+03",""
"15","4.4737E+03","5.696240E+03",""
"16","4.7218E+03","5.378293E+03",""
"17","4.9699E+03","5.094472E+03",""
"18","5.2180E+03","4.878416E+03",""
"19","5.4662E+03","4.663993E+03",""
"20","5.7143E+03","4.421951E+03",""
"21","5.9624E+03","4.203082E+03",""
"22","6.2105E+03","4.022401E+03",""
"23","6.4586E+03","3.852127E+03",""
"24","6.7068E+03","3.676220E+03",""
"25","6.9549E+03","3.497352E+03",""
"26","7.2030E+03","3.314984E+03",""
"27","7.4511E+03","3.123612E+03",""
"28","7.6992E+03","2.900626E+03",""
"29","7.9474E+03","2.617502E+03",""
"30","8.1955E+03","2.178544E+03",""
"31","8.4436E+03","2.664096E+03",""
"32","8.6917E+03","3.969622E+03",""
"33","8.9398E+03","3.471586E+03",""
"34","9.1880E+03","3.117936E+03",""
"35","9.4361E+03","2.849749E+03",""
"36","9.6842E+03","2.585378E+03",""
"37","9.9323E+03","2.221800E+03",""
"38","10.180E+03","1.486590E+03",""
"39","10.429E+03","6.291902E+03",""
"40","10.677E+03","3.731297E+03",""
"41","10.925E+03","3.144403E+03",""
"42","11.173E+03","2.894494E+03",""
"43","11.421E+03","2.732782E+03",""
"44","11.669E+03","2.611342E+03",""
"45","11.917E+03","2.511637E+03",""
"46","12.165E+03","2.427359E+03",""
"47","12.414E+03","2.351771E+03",""
"48","12.662E+03","2.279721E+03",""
"49","12.910E+03","2.206491E+03",""
"50","13.158E+03","2.186126E+03",""
"51","13.406E+03","2.200381E+03",""
"52","13.654E+03","2.111609E+03",""
"53","13.902E+03","2.043141E+03",""
"54","14.150E+03","1.984128E+03",""
"55","14.398E+03","1.928259E+03",""
"56","14.647E+03","1.872806E+03",""
"57","14.895E+03","1.817852E+03",""
"58","15.143E+03","1.767432E+03",""
"59","15.391E+03","1.714284E+03",""
"60","15.639E+03","1.662489E+03",""
"61","15.887E+03","1.578543E+03",""
"62","16.135E+03","1.472667E+03",""
"63","16.383E+03","1.303801E+03",""
"64","16.632E+03","1.024545E+03",""
"65","16.880E+03","1.722791E+03",""
"66","17.128E+03","2.847302E+03",""
