"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-20"
"TIME","13:30:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","25.36285E+03",""
"2","1.2481E+03","20.39104E+03",""
"3","1.4962E+03","17.06402E+03",""
"4","1.7444E+03","14.66495E+03",""
"5","1.9925E+03","12.85776E+03",""
"6","2.2406E+03","11.44860E+03",""
"7","2.4887E+03","10.31367E+03",""
"8","2.7368E+03","9.381921E+03",""
"9","2.9850E+03","8.608908E+03",""
"10","3.2331E+03","7.947625E+03",""
"11","3.4812E+03","7.376198E+03",""
"12","3.7293E+03","6.878254E+03",""
"13","3.9774E+03","6.439967E+03",""
"14","4.2256E+03","6.049347E+03",""
"15","4.4737E+03","5.700942E+03",""
"16","4.7218E+03","5.382669E+03",""
"17","4.9699E+03","5.097901E+03",""
"18","5.2180E+03","4.882923E+03",""
"19","5.4662E+03","4.667796E+03",""
"20","5.7143E+03","4.425409E+03",""
"21","5.9624E+03","4.205392E+03",""
"22","6.2105E+03","4.024268E+03",""
"23","6.4586E+03","3.856359E+03",""
"24","6.7068E+03","3.680279E+03",""
"25","6.9549E+03","3.501161E+03",""
"26","7.2030E+03","3.319638E+03",""
"27","7.4511E+03","3.126130E+03",""
"28","7.6992E+03","2.905126E+03",""
"29","7.9474E+03","2.624149E+03",""
"30","8.1955E+03","2.181288E+03",""
"31","8.4436E+03","2.630862E+03",""
"32","8.6917E+03","4.004002E+03",""
"33","8.9398E+03","3.491752E+03",""
"34","9.1880E+03","3.130849E+03",""
"35","9.4361E+03","2.857446E+03",""
"36","9.6842E+03","2.592074E+03",""
"37","9.9323E+03","2.226509E+03",""
"38","10.180E+03","1.495655E+03",""
"39","10.429E+03","6.321202E+03",""
"40","10.677E+03","3.717691E+03",""
"41","10.925E+03","3.149402E+03",""
"42","11.173E+03","2.899974E+03",""
"43","11.421E+03","2.737045E+03",""
"44","11.669E+03","2.615374E+03",""
"45","11.917E+03","2.515424E+03",""
"46","12.165E+03","2.430506E+03",""
"47","12.414E+03","2.354708E+03",""
"48","12.662E+03","2.283929E+03",""
"49","12.910E+03","2.212711E+03",""
"50","13.158E+03","2.178726E+03",""
"51","13.406E+03","2.200374E+03",""
"52","13.654E+03","2.114640E+03",""
"53","13.902E+03","2.044990E+03",""
