"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:48:07"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.710279E+03",""
"2","12.481E+03","2.881306E+03",""
"3","14.962E+03","1.804910E+03",""
"4","17.444E+03","1.834291E+03",""
"5","19.925E+03","1.526939E+03",""
"6","22.406E+03","1.384515E+03",""
"7","24.887E+03","1.198570E+03",""
"8","27.368E+03","1.060156E+03",""
"9","29.850E+03","981.4338E+00",""
"10","32.331E+03","889.2259E+00",""
"11","34.812E+03","837.0008E+00",""
"12","37.293E+03","775.7973E+00",""
"13","39.774E+03","744.0058E+00",""
"14","42.256E+03","689.0806E+00",""
"15","44.737E+03","658.2861E+00",""
"16","47.218E+03","616.2829E+00",""
"17","49.699E+03","582.1000E+00",""
"18","52.180E+03","551.4590E+00",""
"19","54.662E+03","525.3248E+00",""
"20","57.143E+03","498.9463E+00",""
"21","59.624E+03","471.7017E+00",""
"22","62.105E+03","456.8809E+00",""
"23","64.586E+03","448.2119E+00",""
"24","67.068E+03","416.6349E+00",""
"25","69.549E+03","372.6094E+00",""
"26","72.030E+03","418.3490E+00",""
"27","74.511E+03","372.8055E+00",""
"28","76.992E+03","394.9147E+00",""
"29","79.474E+03","375.7751E+00",""
"30","81.955E+03","343.5220E+00",""
"31","84.436E+03","374.2803E+00",""
"32","86.917E+03","345.1711E+00",""
"33","89.398E+03","327.3725E+00",""
"34","91.880E+03","320.8909E+00",""
"35","94.361E+03","311.3059E+00",""
"36","96.842E+03","298.6769E+00",""
"37","99.323E+03","292.3090E+00",""
"38","101.80E+03","283.4893E+00",""
"39","104.29E+03","273.5495E+00",""
"40","106.77E+03","266.6954E+00",""
"41","109.25E+03","260.2656E+00",""
"42","111.73E+03","253.7874E+00",""
"43","114.21E+03","245.5860E+00",""
"44","116.69E+03","238.9749E+00",""
"45","119.17E+03","232.2942E+00",""
"46","121.65E+03","224.7844E+00",""
"47","124.14E+03","217.9312E+00",""
"48","126.62E+03","211.7002E+00",""
"49","129.10E+03","205.1342E+00",""
"50","131.58E+03","198.4749E+00",""
"51","134.06E+03","190.8833E+00",""
"52","136.54E+03","193.3997E+00",""
"53","139.02E+03","184.1125E+00",""
"54","141.50E+03","176.4554E+00",""
"55","143.98E+03","167.2373E+00",""
"56","146.47E+03","157.1910E+00",""
"57","148.95E+03","146.1038E+00",""
"58","151.43E+03","145.4424E+00",""
"59","153.91E+03","126.3340E+00",""
"60","156.39E+03","89.94873E+00",""
"61","158.87E+03","245.6823E+00",""
"62","161.35E+03","176.1842E+00",""
"63","163.83E+03","152.8750E+00",""
"64","166.32E+03","135.6055E+00",""
"65","168.80E+03","124.6195E+00",""
"66","171.28E+03","113.4292E+00",""
"67","173.76E+03","95.45241E+00",""
"68","176.24E+03","70.81766E+00",""
"69","178.72E+03","39.65408E+00",""
"70","181.20E+03","35.22580E+00",""
"71","183.68E+03","113.1172E+00",""
"72","186.17E+03","323.6228E+00",""
"73","188.65E+03","569.8692E+00",""
"74","191.13E+03","825.5804E+00",""
"75","193.61E+03","436.7443E+00",""
"76","196.09E+03","345.1286E+00",""
"77","198.57E+03","269.9551E+00",""
"78","201.05E+03","257.6482E+00",""
"79","203.53E+03","265.8480E+00",""
"80","206.02E+03","231.9952E+00",""
"81","208.50E+03","322.7145E+00",""
"82","210.98E+03","261.4447E+00",""
"83","213.46E+03","236.6057E+00",""
"84","215.94E+03","230.2222E+00",""
"85","218.42E+03","222.5166E+00",""
"86","220.90E+03","226.0376E+00",""
"87","223.38E+03","212.0297E+00",""
"88","225.86E+03","204.4454E+00",""
"89","228.35E+03","195.7356E+00",""
"90","230.83E+03","187.8709E+00",""
"91","233.31E+03","185.5380E+00",""
"92","235.79E+03","180.7055E+00",""
"93","238.27E+03","174.7078E+00",""
"94","240.75E+03","170.6236E+00",""
"95","243.23E+03","164.6433E+00",""
"96","245.71E+03","158.2361E+00",""
"97","248.20E+03","158.2453E+00",""
"98","250.68E+03","152.1278E+00",""
"99","253.16E+03","161.0241E+00",""
"100","255.64E+03","153.2655E+00",""
"101","258.12E+03","146.4003E+00",""
"102","260.60E+03","161.2577E+00",""
"103","263.08E+03","160.3521E+00",""
"104","265.56E+03","153.8560E+00",""
"105","268.05E+03","147.4481E+00",""
"106","270.53E+03","148.5323E+00",""
"107","273.01E+03","143.9160E+00",""
"108","275.49E+03","138.7734E+00",""
"109","277.97E+03","137.4942E+00",""
"110","280.45E+03","143.8292E+00",""
"111","282.93E+03","138.4563E+00",""
"112","285.41E+03","138.8474E+00",""
"113","287.89E+03","142.8112E+00",""
"114","290.38E+03","140.0897E+00",""
"115","292.86E+03","135.4531E+00",""
"116","295.34E+03","133.2396E+00",""
"117","297.82E+03","131.6097E+00",""
"118","300.30E+03","129.2852E+00",""
"119","302.78E+03","127.9424E+00",""
"120","305.26E+03","126.2039E+00",""
"121","307.74E+03","124.5946E+00",""
"122","310.23E+03","122.4972E+00",""
"123","312.71E+03","120.3761E+00",""
"124","315.19E+03","120.7195E+00",""
"125","317.67E+03","118.6807E+00",""
"126","320.15E+03","116.8568E+00",""
"127","322.63E+03","116.1720E+00",""
"128","325.11E+03","115.4222E+00",""
"129","327.59E+03","114.5539E+00",""
"130","330.08E+03","112.8843E+00",""
"131","332.56E+03","112.3956E+00",""
"132","335.04E+03","110.4888E+00",""
"133","337.52E+03","108.2545E+00",""
"134","340.00E+03","107.6011E+00",""
"135","342.48E+03","107.6577E+00",""
"136","344.96E+03","107.7474E+00",""
"137","347.44E+03","108.6759E+00",""
"138","349.92E+03","114.5700E+00",""
"139","352.41E+03","110.3265E+00",""
"140","354.89E+03","107.6646E+00",""
"141","357.37E+03","107.1205E+00",""
"142","359.85E+03","105.1447E+00",""
"143","362.33E+03","103.1941E+00",""
"144","364.81E+03","101.5827E+00",""
"145","367.29E+03","99.54284E+00",""
"146","369.77E+03","100.6748E+00",""
"147","372.26E+03","102.6718E+00",""
"148","374.74E+03","100.9077E+00",""
"149","377.22E+03","99.53372E+00",""
"150","379.70E+03","99.98774E+00",""
"151","382.18E+03","98.30606E+00",""
"152","384.66E+03","97.02858E+00",""
"153","387.14E+03","94.53292E+00",""
"154","389.62E+03","93.38923E+00",""
"155","392.11E+03","96.62216E+00",""
"156","394.59E+03","96.14302E+00",""
"157","397.07E+03","94.49939E+00",""
"158","399.55E+03","95.94951E+00",""
"159","402.03E+03","94.72885E+00",""
"160","404.51E+03","95.13103E+00",""
"161","406.99E+03","96.00382E+00",""
"162","409.47E+03","95.36718E+00",""
"163","411.95E+03","93.52794E+00",""
"164","414.44E+03","92.56080E+00",""
"165","416.92E+03","91.16803E+00",""
"166","419.40E+03","89.93607E+00",""
"167","421.88E+03","91.87175E+00",""
"168","424.36E+03","90.25620E+00",""
"169","426.84E+03","89.03900E+00",""
"170","429.32E+03","88.10268E+00",""
"171","431.80E+03","87.45340E+00",""
"172","434.29E+03","88.26700E+00",""
"173","436.77E+03","87.66137E+00",""
"174","439.25E+03","86.50185E+00",""
"175","441.73E+03","85.79227E+00",""
"176","444.21E+03","85.15342E+00",""
"177","446.69E+03","83.98336E+00",""
"178","449.17E+03","83.10003E+00",""
"179","451.65E+03","82.73044E+00",""
"180","454.14E+03","82.97759E+00",""
"181","456.62E+03","82.23213E+00",""
"182","459.10E+03","81.70341E+00",""
"183","461.58E+03","80.96394E+00",""
"184","464.06E+03","80.39988E+00",""
"185","466.54E+03","80.26183E+00",""
"186","469.02E+03","79.47193E+00",""
"187","471.50E+03","78.86058E+00",""
"188","473.98E+03","78.19691E+00",""
