"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:57:16"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","4.249656E+03",""
"2","12.481E+03","2.569060E+03",""
"3","14.962E+03","1.802374E+03",""
"4","17.444E+03","1.954034E+03",""
"5","19.925E+03","1.563987E+03",""
"6","22.406E+03","1.426354E+03",""
"7","24.887E+03","1.250858E+03",""
"8","27.368E+03","1.156809E+03",""
"9","29.850E+03","1.036148E+03",""
"10","32.331E+03","993.6621E+00",""
"11","34.812E+03","897.0226E+00",""
"12","37.293E+03","835.1539E+00",""
"13","39.774E+03","788.1350E+00",""
"14","42.256E+03","733.2181E+00",""
"15","44.737E+03","696.6730E+00",""
"16","47.218E+03","659.3234E+00",""
"17","49.699E+03","620.8079E+00",""
"18","52.180E+03","592.7315E+00",""
"19","54.662E+03","562.3263E+00",""
"20","57.143E+03","531.8800E+00",""
"21","59.624E+03","502.0139E+00",""
"22","62.105E+03","507.4227E+00",""
"23","64.586E+03","484.2508E+00",""
"24","67.068E+03","458.6187E+00",""
"25","69.549E+03","452.1468E+00",""
"26","72.030E+03","426.0569E+00",""
"27","74.511E+03","403.8501E+00",""
"28","76.992E+03","386.6989E+00",""
"29","79.474E+03","379.4745E+00",""
"30","81.955E+03","395.0779E+00",""
"31","84.436E+03","360.9839E+00",""
"32","86.917E+03","377.1250E+00",""
"33","89.398E+03","351.7596E+00",""
"34","91.880E+03","333.5995E+00",""
"35","94.361E+03","339.7973E+00",""
"36","96.842E+03","321.5496E+00",""
"37","99.323E+03","310.9486E+00",""
"38","101.80E+03","300.2350E+00",""
"39","104.29E+03","290.1840E+00",""
"40","106.77E+03","281.9323E+00",""
"41","109.25E+03","270.7960E+00",""
"42","111.73E+03","262.8588E+00",""
"43","114.21E+03","266.2271E+00",""
"44","116.69E+03","263.2488E+00",""
"45","119.17E+03","252.2490E+00",""
"46","121.65E+03","243.8405E+00",""
"47","124.14E+03","237.5772E+00",""
"48","126.62E+03","232.6261E+00",""
"49","129.10E+03","224.3307E+00",""
"50","131.58E+03","217.7492E+00",""
"51","134.06E+03","212.9108E+00",""
"52","136.54E+03","206.6132E+00",""
"53","139.02E+03","199.4578E+00",""
"54","141.50E+03","193.4667E+00",""
