"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-09"
"TIME","12:57:50"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","1.0000E+03","11.20541E+03","-11.19282E+03"
"2","1.2986E+03","8.687592E+03","-8.677428E+03"
"3","1.5972E+03","7.098004E+03","-7.089379E+03"
"4","1.8958E+03","5.999557E+03","-5.991984E+03"
"5","2.1944E+03","5.191338E+03","-5.184517E+03"
"6","2.4930E+03","4.562874E+03","-4.556533E+03"
"7","2.7916E+03","4.033633E+03","-4.027225E+03"
"8","3.0902E+03","3.564987E+03","-3.504133E+03"
"9","3.3888E+03","3.530331E+03","-3.523242E+03"
"10","3.6874E+03","3.196550E+03","-3.190957E+03"
"11","3.9860E+03","2.941105E+03","-2.936010E+03"
"12","4.2846E+03","2.750228E+03","-2.745236E+03"
"13","4.5832E+03","2.545341E+03","-2.540791E+03"
"14","4.8818E+03","2.389998E+03","-2.382139E+03"
"15","5.1804E+03","2.301507E+03","-2.295853E+03"
"16","5.4790E+03","2.163400E+03","-2.158574E+03"
"17","5.7776E+03","2.039929E+03","-2.035489E+03"
"18","6.0762E+03","1.926901E+03","-1.922296E+03"
"19","6.3747E+03","1.824558E+03","-1.818713E+03"
"20","6.6733E+03","1.745895E+03","-1.735101E+03"
"21","6.9719E+03","1.686769E+03","-1.678362E+03"
"22","7.2705E+03","1.636068E+03","-1.626337E+03"
"23","7.5691E+03","1.612811E+03","-1.600690E+03"
"24","7.8677E+03","1.502073E+03","-1.492519E+03"
"25","8.1663E+03","1.518851E+03","-1.504348E+03"
"26","8.4649E+03","1.498812E+03","-1.490587E+03"
"27","8.7635E+03","1.438875E+03","-1.432600E+03"
"28","9.0621E+03","1.393376E+03","-1.389196E+03"
"29","9.3607E+03","1.327689E+03","-1.323957E+03"
"30","9.6593E+03","1.282863E+03","-1.278249E+03"
"31","9.9579E+03","1.255745E+03","-1.251490E+03"
"32","10.257E+03","1.210513E+03","-1.207449E+03"
"33","10.555E+03","1.152074E+03","-1.148288E+03"
"34","10.854E+03","1.142327E+03","-1.137263E+03"
"35","11.152E+03","1.119328E+03","-1.114700E+03"
"36","11.451E+03","1.072889E+03","-1.069771E+03"
"37","11.749E+03","1.014582E+03","-1.010032E+03"
"38","12.048E+03","992.3463E+00","-973.2258E+00"
"39","12.347E+03","1.126401E+03","-1.112978E+03"
"40","12.645E+03","1.068762E+03","-1.065974E+03"
"41","12.944E+03","1.009186E+03","-1.007257E+03"
"42","13.242E+03","971.2196E+00","-969.0781E+00"
"43","13.541E+03","948.1880E+00","-945.8790E+00"
