"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","22-09-07"
"TIME","15:15:55"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.1000","s"
"DCBIAS","OFF"

"V","0.500","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","4"
"POINT DELAY","0.0100","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","X[Ħ]"
"1","10.000E+03","1.552097E+03","-1.549872E+03"
"2","10.281E+03","1.483626E+03","-1.481717E+03"
"3","10.561E+03","1.420994E+03","-1.417590E+03"
"4","10.842E+03","1.435111E+03","-1.432448E+03"
"5","11.122E+03","1.379455E+03","-1.377633E+03"
"6","11.403E+03","1.340659E+03","-1.338312E+03"
"7","11.683E+03","1.312581E+03","-1.310561E+03"
"8","11.964E+03","1.273210E+03","-1.271471E+03"
"9","12.244E+03","1.228936E+03","-1.227067E+03"
"10","12.525E+03","1.187416E+03","-1.182352E+03"
"11","12.806E+03","1.221789E+03","-1.218735E+03"
"12","13.086E+03","1.182094E+03","-1.179732E+03"
"13","13.367E+03","1.148648E+03","-1.146696E+03"
"14","13.647E+03","1.109300E+03","-1.107228E+03"
"15","13.928E+03","1.078621E+03","-1.073549E+03"
"16","14.208E+03","1.114220E+03","-1.109836E+03"
"17","14.489E+03","1.079778E+03","-1.077522E+03"
"18","14.770E+03","1.048237E+03","-1.046110E+03"
"19","15.050E+03","1.011343E+03","-1.008779E+03"
"20","15.331E+03","1.027903E+03","-1.021616E+03"
"21","15.611E+03","1.017357E+03","-1.014755E+03"
"22","15.892E+03","989.7743E+00","-987.6126E+00"
"23","16.172E+03","976.2541E+00","-974.2310E+00"
"24","16.453E+03","952.5172E+00","-950.7780E+00"
"25","16.733E+03","932.9335E+00","-931.1350E+00"
"26","17.014E+03","915.7050E+00","-913.5282E+00"
"27","17.295E+03","912.2588E+00","-910.4687E+00"
"28","17.575E+03","887.5355E+00","-886.2137E+00"
"29","17.856E+03","864.0663E+00","-862.4949E+00"
"30","18.136E+03","845.8755E+00","-843.2363E+00"
"31","18.417E+03","862.3058E+00","-859.1755E+00"
"32","18.697E+03","842.7149E+00","-841.0067E+00"
"33","18.978E+03","818.6245E+00","-816.4772E+00"
"34","19.259E+03","824.5267E+00","-821.7859E+00"
"35","19.539E+03","813.6008E+00","-812.0641E+00"
"36","19.820E+03","793.0205E+00","-791.7378E+00"
"37","20.100E+03","775.9921E+00","-774.5922E+00"
"38","20.381E+03","758.6152E+00","-756.9724E+00"
"39","20.661E+03","743.6521E+00","-740.8971E+00"
"40","20.942E+03","754.9381E+00","-750.1306E+00"
"41","21.222E+03","768.8724E+00","-766.0667E+00"
"42","21.503E+03","753.8801E+00","-752.3066E+00"
"43","21.784E+03","736.6508E+00","-735.4968E+00"
"44","22.064E+03","720.0307E+00","-718.8941E+00"
"45","22.345E+03","708.4165E+00","-707.1096E+00"
"46","22.625E+03","697.2198E+00","-695.8370E+00"
"47","22.906E+03","690.3604E+00","-688.5466E+00"
"48","23.186E+03","688.6004E+00","-686.9885E+00"
"49","23.467E+03","677.3165E+00","-676.0279E+00"
