"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:33:19"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.974657E+03",""
"2","12.481E+03","2.656779E+03",""
"3","14.962E+03","2.109195E+03",""
"4","17.444E+03","1.752796E+03",""
"5","19.925E+03","1.490224E+03",""
"6","22.406E+03","1.313770E+03",""
"7","24.887E+03","995.8395E+00",""
"8","27.368E+03","1.168073E+03",""
"9","29.850E+03","1.031017E+03",""
"10","32.331E+03","952.9005E+00",""
"11","34.812E+03","870.1914E+00",""
"12","37.293E+03","804.4505E+00",""
"13","39.774E+03","762.7627E+00",""
"14","42.256E+03","719.5210E+00",""
"15","44.737E+03","675.6314E+00",""
"16","47.218E+03","635.7855E+00",""
"17","49.699E+03","601.0327E+00",""
"18","52.180E+03","569.2687E+00",""
"19","54.662E+03","539.7360E+00",""
"20","57.143E+03","511.2577E+00",""
"21","59.624E+03","483.4481E+00",""
"22","62.105E+03","474.5874E+00",""
"23","64.586E+03","446.1059E+00",""
"24","67.068E+03","389.4363E+00",""
"25","69.549E+03","477.5715E+00",""
"26","72.030E+03","431.1049E+00",""
"27","74.511E+03","432.4922E+00",""
"28","76.992E+03","399.5371E+00",""
"29","79.474E+03","377.5768E+00",""
"30","81.955E+03","380.7271E+00",""
"31","84.436E+03","361.2915E+00",""
"32","86.917E+03","349.9942E+00",""
"33","89.398E+03","336.5533E+00",""
"34","91.880E+03","325.0180E+00",""
"35","94.361E+03","313.7311E+00",""
"36","96.842E+03","302.8677E+00",""
"37","99.323E+03","290.2427E+00",""
"38","101.80E+03","291.4195E+00",""
"39","104.29E+03","285.3068E+00",""
"40","106.77E+03","273.2634E+00",""
"41","109.25E+03","267.1144E+00",""
"42","111.73E+03","262.3132E+00",""
"43","114.21E+03","253.9160E+00",""
"44","116.69E+03","244.4941E+00",""
"45","119.17E+03","237.2796E+00",""
"46","121.65E+03","230.5676E+00",""
"47","124.14E+03","222.4944E+00",""
"48","126.62E+03","214.7925E+00",""
"49","129.10E+03","211.6943E+00",""
"50","131.58E+03","203.1613E+00",""
"51","134.06E+03","196.8678E+00",""
"52","136.54E+03","190.9836E+00",""
"53","139.02E+03","183.3441E+00",""
"54","141.50E+03","174.4817E+00",""
"55","143.98E+03","164.6623E+00",""
"56","146.47E+03","160.7993E+00",""
"57","148.95E+03","147.6095E+00",""
"58","151.43E+03","140.8752E+00",""
"59","153.91E+03","126.9746E+00",""
"60","156.39E+03","111.6884E+00",""
"61","158.87E+03","114.0085E+00",""
