"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-09-09"
"TIME","12:36:08"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","10.000E+03","2.522578E+03",""
"2","12.481E+03","2.626314E+03",""
"3","14.962E+03","1.882966E+03",""
"4","17.444E+03","1.579475E+03",""
"5","19.925E+03","1.438538E+03",""
"6","22.406E+03","1.250732E+03",""
"7","24.887E+03","1.068186E+03",""
"8","27.368E+03","1.089609E+03",""
"9","29.850E+03","1.007812E+03",""
"10","32.331E+03","901.3977E+00",""
"11","34.812E+03","833.7486E+00",""
"12","37.293E+03","772.4694E+00",""
"13","39.774E+03","719.2428E+00",""
"14","42.256E+03","678.8525E+00",""
"15","44.737E+03","639.7609E+00",""
"16","47.218E+03","603.4893E+00",""
"17","49.699E+03","570.7811E+00",""
"18","52.180E+03","541.2967E+00",""
"19","54.662E+03","513.5742E+00",""
"20","57.143E+03","486.8945E+00",""
"21","59.624E+03","454.4569E+00",""
"22","62.105E+03","444.6436E+00",""
"23","64.586E+03","409.8542E+00",""
"24","67.068E+03","400.9905E+00",""
"25","69.549E+03","456.8347E+00",""
"26","72.030E+03","414.8883E+00",""
"27","74.511E+03","392.5835E+00",""
"28","76.992E+03","377.0095E+00",""
"29","79.474E+03","361.3419E+00",""
"30","81.955E+03","349.0998E+00",""
"31","84.436E+03","335.1674E+00",""
"32","86.917E+03","328.0917E+00",""
"33","89.398E+03","317.1799E+00",""
"34","91.880E+03","307.3716E+00",""
"35","94.361E+03","296.6089E+00",""
"36","96.842E+03","287.1335E+00",""
"37","99.323E+03","281.7202E+00",""
"38","101.80E+03","273.1430E+00",""
"39","104.29E+03","266.3415E+00",""
"40","106.77E+03","260.3281E+00",""
"41","109.25E+03","251.7693E+00",""
"42","111.73E+03","246.0231E+00",""
"43","114.21E+03","237.6554E+00",""
"44","116.69E+03","231.0932E+00",""
"45","119.17E+03","224.7409E+00",""
"46","121.65E+03","217.4900E+00",""
"47","124.14E+03","211.1296E+00",""
"48","126.62E+03","203.7749E+00",""
"49","129.10E+03","199.9821E+00",""
"50","131.58E+03","192.5038E+00",""
"51","134.06E+03","185.3862E+00",""
"52","136.54E+03","180.5015E+00",""
"53","139.02E+03","174.0252E+00",""
"54","141.50E+03","166.5501E+00",""
