"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","20-10-08"
"TIME","11:16:37"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","OFF"
"1","1.0000E+03","24.95743E+03",""
"2","1.2481E+03","20.06236E+03",""
"3","1.4962E+03","16.76691E+03",""
"4","1.7444E+03","14.38941E+03",""
"5","1.9925E+03","12.57729E+03",""
"6","2.2406E+03","11.27310E+03",""
"7","2.4887E+03","10.22717E+03",""
"8","2.7368E+03","9.284890E+03",""
"9","2.9850E+03","8.491282E+03",""
"10","3.2331E+03","7.828765E+03",""
"11","3.4812E+03","7.266800E+03",""
"12","3.7293E+03","6.779300E+03",""
"13","3.9774E+03","6.345085E+03",""
"14","4.2256E+03","5.955562E+03",""
"15","4.4737E+03","5.604021E+03",""
"16","4.7218E+03","5.279946E+03",""
"17","4.9699E+03","4.970973E+03",""
"18","5.2180E+03","4.666007E+03",""
"19","5.4662E+03","4.524758E+03",""
"20","5.7143E+03","4.556352E+03",""
"21","5.9624E+03","4.216732E+03",""
"22","6.2105E+03","4.120619E+03",""
"23","6.4586E+03","3.977512E+03",""
"24","6.7068E+03","3.789496E+03",""
"25","6.9549E+03","3.621283E+03",""
"26","7.2030E+03","3.465322E+03",""
"27","7.4511E+03","3.318195E+03",""
"28","7.6992E+03","3.176602E+03",""
"29","7.9474E+03","3.037025E+03",""
"30","8.1955E+03","2.893192E+03",""
"31","8.4436E+03","2.744733E+03",""
"32","8.6917E+03","2.589854E+03",""
"33","8.9398E+03","2.437314E+03",""
"34","9.1880E+03","2.280776E+03",""
"35","9.4361E+03","2.129963E+03",""
"36","9.6842E+03","2.062205E+03",""
"37","9.9323E+03","1.953047E+03",""
"38","10.180E+03","1.620726E+03",""
"39","10.429E+03","1.248693E+03",""
"40","10.677E+03","2.966991E+03",""
"41","10.925E+03","5.856767E+03",""
"42","11.173E+03","3.802943E+03",""
"43","11.421E+03","3.129148E+03",""
"44","11.669E+03","3.063262E+03",""
"45","11.917E+03","2.983873E+03",""
"46","12.165E+03","2.933567E+03",""
"47","12.414E+03","2.750800E+03",""
